In file included from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1761:0,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa1731.cpp:22:
/usr/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg   	std    	min    	max    
0  	100  	1122.8	309.414	447.175	1761.88 (447.1750709451747,)
1  	100  	1116.04	313.175	436.073	1760.15 (436.07266360476189,)
2  	100  	1044.81	320.209	339.979	1665.39 (339.97940678590044,)
3  	100  	903.614	319.174	275.858	1624.49 (275.85768576619643,)
4  	100  	824.902	356.253	282.652	1653.34 (275.85768576619643,)
5  	100  	708.076	333.907	263.162	1497.4  (263.16223690531763,)
6  	100  	607.991	353.81 	256.594	1584.93 (256.59403120962332,)
7  	100  	557.363	390.016	246.66 	1560.26 (246.66047181251486,)
8  	100  	485.071	364.908	243.022	1460.7  (243.02209500400474,)
9  	100  	452.193	376.252	235.379	1520.22 (235.37877112706548,)
10 	100  	432.789	372.493	229.23 	1525.75 (229.23041603610989,)
11 	100  	420.593	364.211	222.684	1525.14 (222.68363061268997,)
12 	100  	405.585	344.747	215.811	1445.1  (215.81093471168683,)
13 	100  	382.4  	314.965	212.753	1420.29 (212.75332907955257,)
14 	100  	368.848	312.451	207.343	1383.55 (207.34331517764463,)
15 	100  	338.43 	263.219	204.333	1390.53 (204.33305210270791,)
16 	100  	320.674	245.762	202.821	1264.39 (202.82091606358523,)
17 	100  	315.623	234.393	201.76 	1161.33 (201.7597135042439,)
18 	100  	300.546	215.026	200.61 	1235.8  (200.61013787072517,)
19 	100  	288.747	203.387	199.701	1186.91 (199.7007162146877,)
20 	100  	285.999	210.391	199.309	1350.57 (199.309012688461,)
21 	100  	289.513	208.637	198.407	1340.21 (198.40747149095534,)
22 	100  	281.542	206.274	196.098	1394.66 (196.09811357264579,)
23 	100  	269.61 	181.929	195.558	1108.37 (195.55848887325283,)
24 	100  	275.954	182.925	194.593	1181.78 (194.59265296478796,)
25 	100  	269.385	184.194	193.01 	1257.34 (193.00961783947636,)
26 	100  	269.481	191.825	188.833	1265.44 (188.83335167154343,)
27 	100  	262.23 	185.867	187.813	1154.12 (187.81279080931856,)
28 	100  	256.625	162.766	186.751	1236.15 (186.75132675242304,)
