In file included from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1761:0,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa1735.cpp:22:
/usr/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg    	std    	min    	max   
0  	100  	1125.22	332.071	500.129	1750.6 (500.128725031692,)
1  	100  	1165.51	342.86 	395.198	1769.99 (395.19802755610368,)
2  	100  	1120.11	301.573	332.403	1730.07 (332.40348464135275,)
3  	100  	1063.31	339.272	400.635	1636.4  (332.40348464135275,)
4  	100  	988.013	357.628	268.167	1591.58 (268.16658945988797,)
5  	100  	869.916	387.34 	254.049	1651.39 (254.04928783479224,)
6  	100  	796.49 	461.147	205.932	1688.41 (205.93221601954539,)
7  	100  	672.339	460.877	189.907	1656.46 (189.90689279754756,)
8  	100  	611.61 	483.296	187.398	1716.91 (187.39757085889187,)
9  	100  	558.757	470.34 	181.766	1715.56 (181.76602157506639,)
10 	100  	518.716	440.154	178.925	1624.82 (178.92477869922391,)
11 	100  	472.076	425.331	177.824	1565.27 (177.823907708294,)
12 	100  	450.956	425.601	173.684	1582.29 (173.6840014875371,)
13 	100  	425.579	398.877	170.132	1566.15 (170.13160615711462,)
14 	100  	391.836	379.512	168.997	1592.11 (168.99663106067064,)
15 	100  	391.746	368.468	168.922	1564.34 (168.92218523744566,)
16 	100  	360.316	343.882	166.662	1488.66 (166.66233424651301,)
17 	100  	362.802	350.146	165.597	1578.27 (165.59657614352668,)
18 	100  	381.229	368.334	163.766	1594.38 (163.76611674256563,)
19 	100  	372.873	354.006	161.631	1535.71 (161.63148237292845,)
20 	100  	368.369	358.81 	153.25 	1534.08 (153.25002999871225,)
21 	100  	351.436	351.933	155.213	1655.11 (153.25002999871225,)
22 	100  	345.336	352.189	152.817	1594.14 (152.81684868212935,)
23 	100  	337.358	347.94 	151.175	1602.25 (151.17475965710906,)
24 	100  	326.504	344.854	145.046	1655.26 (145.04591151140767,)
25 	100  	322.678	335.824	142.341	1655.52 (142.34071358825142,)
26 	100  	322.473	355.4  	130.891	1626.17 (130.89079742168346,)
