In file included from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1761:0,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa1767.cpp:22:
/usr/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg    	std    	min    	max    
0  	100  	1090.21	324.051	307.672	1807.04 (307.67176340861317,)
1  	100  	1111.45	324.055	304.24 	1779.11 (304.23954537559769,)
2  	100  	1125.67	296.373	586.88 	1747.19 (304.23954537559769,)
3  	100  	1056.14	301.385	277.893	1707.8  (277.89260463166295,)
4  	100  	1018.46	308.201	363.958	1723.64 (277.89260463166295,)
5  	100  	972.956	345.115	205.843	1707.95 (205.84298069113441,)
6  	100  	860.528	356.978	67.7806	1692.33 (67.780572962094794,)
7  	100  	826.348	428.555	68.011 	1600.64 (67.780572962094794,)
8  	100  	766.363	461.97 	46.318 	1647.89 (46.318026283097417,)
9  	100  	756.103	478.653	50.8766	1669.79 (46.318026283097417,)
10 	100  	727.375	506.849	48.4466	1642.67 (46.318026283097417,)
11 	100  	681.77 	502.679	53.1635	1519.71 (46.318026283097417,)
12 	100  	692.64 	510.448	49.6449	1611.84 (46.318026283097417,)
13 	100  	660.171	503.228	65.3055	1585.41 (46.318026283097417,)
14 	100  	639.733	508.365	62.9688	1622.21 (46.318026283097417,)
15 	100  	666.437	503.074	55.4872	1546.87 (46.318026283097417,)
16 	100  	636.025	498.453	49.4002	1520.49 (46.318026283097417,)
17 	100  	661.817	487.126	52.751 	1591.27 (46.318026283097417,)
18 	100  	619.467	512.156	52.6138	1578.21 (46.318026283097417,)
19 	100  	611.77 	502.955	42.6425	1566.96 (42.642497472487769,)
20 	100  	602.936	495.297	45.9631	1619.79 (42.642497472487769,)
21 	100  	588.849	485.59 	44.9613	1501.15 (42.642497472487769,)
22 	100  	609.245	491.362	40.7296	1547.07 (40.729601010292591,)
23 	100  	599.697	481.096	53.7224	1530.08 (40.729601010292591,)
24 	100  	583.317	484.088	42.0898	1532.4  (40.729601010292591,)
25 	100  	585.968	490.949	61.6692	1542.08 (40.729601010292591,)
26 	100  	601.151	471.704	36.9023	1541.75 (36.902263808030952,)
27 	100  	532.216	482.652	37.6677	1539.54 (36.902263808030952,)
28 	100  	548.818	471.985	36.0538	1587.46 (36.053793500016198,)
29 	100  	578.02 	493.77 	32.2351	1599.2  (32.235102739181535,)
30 	100  	560.344	486.795	37.7119	1562.43 (32.235102739181535,)
31 	100  	566.836	469.484	54.7088	1556    (32.235102739181535,)
32 	100  	537.3  	480.673	28.6554	1525.08 (28.655433888973825,)
33 	100  	531.784	483.203	29.24  	1565.62 (28.655433888973825,)
34 	100  	544.762	487.499	38.0444	1549.95 (28.655433888973825,)
35 	100  	534.84 	495.03 	30.6248	1555.17 (28.655433888973825,)
36 	100  	571.622	475.939	44.5094	1628.15 (28.655433888973825,)
37 	100  	565.47 	487.879	31.2859	1575.15 (28.655433888973825,)
38 	100  	531.951	499.519	26.7606	1588.18 (26.760602814451008,)
39 	100  	498.022	483.688	33.3964	1541.48 (26.760602814451008,)
40 	100  	492.977	465.612	27.3135	1564.94 (26.760602814451008,)
41 	100  	528.604	466.164	32.7757	1562.81 (26.760602814451008,)
42 	100  	522.513	475.349	27.9784	1502.01 (26.760602814451008,)
43 	100  	516.372	470.064	52.2306	1551.28 (26.760602814451008,)
44 	100  	508.79 	479.8  	31.292 	1436.52 (26.760602814451008,)
45 	100  	518.279	478.458	35.9963	1608.06 (26.760602814451008,)
46 	100  	520.807	478.118	25.2458	1627.79 (25.245840861197117,)
47 	100  	500.947	489.36 	30.4131	1600.51 (25.245840861197117,)
48 	100  	482.799	466.351	27.1731	1490.45 (25.245840861197117,)
49 	100  	494.965	476.228	26.8606	1497.51 (25.245840861197117,)
50 	100  	480.732	475.224	32.0034	1490.06 (25.245840861197117,)
51 	100  	490.158	464.863	29.0748	1601.27 (25.245840861197117,)
52 	100  	497.363	463.064	28.2457	1524.01 (25.245840861197117,)
53 	100  	475.75 	459.03 	30.5002	1522.4  (25.245840861197117,)
54 	100  	454.101	456.453	22.4578	1546.36 (22.457834580923315,)
55 	100  	493.454	453.665	20.1767	1510.45 (20.176654232485866,)
56 	100  	481.083	482.054	28.6421	1587.51 (20.176654232485866,)
57 	100  	494.041	459.675	18.2391	1511.05 (18.239060044633618,)
58 	100  	510.197	477.018	23.6306	1537.2  (18.239060044633618,)
59 	100  	512.011	476.372	29.1966	1527.03 (18.239060044633618,)
60 	100  	496.395	468.907	27.3366	1555.31 (18.239060044633618,)
61 	100  	484.384	478.672	28.1842	1542.45 (18.239060044633618,)
62 	100  	492.465	458.114	23.2483	1547    (18.239060044633618,)
63 	100  	485.863	470.849	15.7073	1607.91 (15.707321775619796,)
64 	100  	477.251	479.628	21.3901	1577.74 (15.707321775619796,)
65 	100  	475.33 	478.084	18.9499	1597.49 (15.707321775619796,)
66 	100  	472.898	482.213	24.7235	1480.8  (15.707321775619796,)
67 	100  	463.456	497.31 	19.3194	1612.04 (15.707321775619796,)
68 	100  	464.976	494.507	20.2056	1571.43 (15.707321775619796,)
69 	100  	444.803	479.831	25.8469	1539.03 (15.707321775619796,)
70 	100  	478.356	476.191	19.4428	1576.51 (15.707321775619796,)
71 	100  	491.847	468.431	19.5539	1476.04 (15.707321775619796,)
72 	100  	485.864	482.687	24.7766	1604.69 (15.707321775619796,)
73 	100  	483.88 	477.592	23.5934	1530.53 (15.707321775619796,)
74 	100  	478.914	467.325	15.3018	1543.71 (15.301840233732184,)
75 	100  	472.696	472.014	17.133 	1570.95 (15.301840233732184,)
76 	100  	491.583	457.202	24.7959	1600.67 (15.301840233732184,)
77 	100  	465.077	472.007	16.481 	1532.04 (15.301840233732184,)
78 	100  	474.097	473.906	17.6823	1567.68 (15.301840233732184,)
79 	100  	446.721	443.901	19.7369	1517.68 (15.301840233732184,)
80 	100  	464.742	460.247	24.2328	1559.15 (15.301840233732184,)
81 	100  	465.356	460.184	17.8332	1573.71 (15.301840233732184,)
82 	100  	470.788	468.357	18.2612	1501.18 (15.301840233732184,)
83 	100  	450.52 	446.682	24.8043	1481.34 (15.301840233732184,)
84 	100  	453.058	452.138	31.408 	1579.56 (15.301840233732184,)
85 	100  	446.546	453.074	25.9546	1546.86 (15.301840233732184,)
86 	100  	459.969	436.967	27.0618	1521.47 (15.301840233732184,)
87 	100  	459.103	459.509	22.9795	1553.38 (15.301840233732184,)
88 	100  	440.543	442.669	25.1139	1530.92 (15.301840233732184,)
89 	100  	437.177	461.327	20.4598	1508.01 (15.301840233732184,)
90 	100  	437.205	460.155	22.5571	1541.07 (15.301840233732184,)
91 	100  	450.109	447.654	18.7659	1578    (15.301840233732184,)
92 	100  	458.302	452.999	15.297 	1550.47 (15.296980116562434,)
93 	100  	423.791	454.312	23.1251	1571.75 (15.296980116562434,)
94 	100  	416.006	462.651	17.4827	1524.83 (15.296980116562434,)
95 	100  	424.25 	441.655	19.1615	1441.88 (15.296980116562434,)
96 	100  	420.143	445.312	21.1452	1567.96 (15.296980116562434,)
97 	100  	408.989	454.276	18.6793	1484.64 (15.296980116562434,)
98 	100  	434.995	443.77 	21.306 	1569.93 (15.296980116562434,)
99 	100  	398.916	443.735	23.3017	1563.42 (15.296980116562434,)
100	100  	426.42 	417.395	18.7453	1517.22 (15.296980116562434,)
101	100  	415.968	435.778	21.4736	1606.74 (15.296980116562434,)
102	100  	408.01 	445.497	21.7092	1541.81 (15.296980116562434,)
103	100  	416.141	441.009	17.2645	1567.88 (15.296980116562434,)
104	100  	417.93 	448.122	26.099 	1565.43 (15.296980116562434,)
105	100  	420.058	421.101	22.3255	1510.52 (15.296980116562434,)
106	100  	437.927	441.743	24.6652	1577.15 (15.296980116562434,)
107	100  	429.383	446.978	19.4008	1564.78 (15.296980116562434,)
108	100  	433.266	447.159	24.0677	1505.21 (15.296980116562434,)
109	100  	429.208	439.866	18.8915	1595.9  (15.296980116562434,)
110	100  	420.307	426.541	17.1278	1554.82 (15.296980116562434,)
111	100  	429.046	439.064	20.9457	1592.54 (15.296980116562434,)
112	100  	429.969	442.024	22.0489	1559.61 (15.296980116562434,)
113	100  	436.946	430.009	25.5486	1505.34 (15.296980116562434,)
114	100  	428.984	442.664	16.1654	1497.82 (15.296980116562434,)
115	100  	430.856	451.351	18.6952	1528.68 (15.296980116562434,)
116	100  	420.433	417.532	24.5473	1496.08 (15.296980116562434,)
117	100  	419.898	430.094	13.5236	1537.25 (13.52362933937977,)
118	100  	456.03 	444.101	18.3274	1578.1  (13.52362933937977,)
119	100  	423.906	454.515	15.6383	1532.71 (13.52362933937977,)
120	100  	460.09 	440.775	21.4681	1561.22 (13.52362933937977,)
121	100  	403.415	442.718	16.7282	1529.8  (13.52362933937977,)
122	100  	404.602	433.093	14.0553	1462.78 (13.52362933937977,)
123	100  	395.529	449.848	22.3275	1473.11 (13.52362933937977,)
124	100  	401.617	450.068	20.3638	1572.33 (13.52362933937977,)
125	100  	411.864	448.438	23.1168	1535.54 (13.52362933937977,)
126	100  	395.57 	453.987	20.559 	1602.51 (13.52362933937977,)
127	100  	399.019	450.628	17.9444	1543.19 (13.52362933937977,)
128	100  	385.633	450.304	19.1155	1590.74 (13.52362933937977,)
129	100  	417.488	452.129	15.2158	1547.76 (13.52362933937977,)
130	100  	430.348	452.894	18.5032	1597.4  (13.52362933937977,)
131	100  	425.703	446.927	16.2927	1525.75 (13.52362933937977,)
132	100  	429.54 	439.314	21.3864	1536.95 (13.52362933937977,)
133	100  	425.535	449.472	27.82  	1563.26 (13.52362933937977,)
134	100  	452.306	448.108	22.2211	1625.06 (13.52362933937977,)
135	100  	442.195	424.265	22.1174	1537.85 (13.52362933937977,)
136	100  	425.722	426.664	16.6555	1570.35 (13.52362933937977,)
137	100  	409.926	432.809	13.2827	1549.67 (13.282661186176277,)
138	100  	439.312	431.299	16.2909	1553.8  (13.282661186176277,)
139	100  	421.934	415.238	22.6989	1527.72 (13.282661186176277,)
140	100  	417.156	437.666	14.481 	1538.45 (13.282661186176277,)
141	100  	404.036	459.325	16.4921	1563.09 (13.282661186176277,)
142	100  	427.91 	437.587	22.0059	1523.71 (13.282661186176277,)
143	100  	420.507	443.569	29.2116	1569.53 (13.282661186176277,)
144	100  	426.606	433.696	23.4968	1537.94 (13.282661186176277,)
145	100  	424.026	440.704	18.1199	1609.01 (13.282661186176277,)
146	100  	425.862	444.758	14.049 	1605.45 (13.282661186176277,)
147	100  	405.665	451.423	19.1758	1510.7  (13.282661186176277,)
148	100  	426.865	448.037	15.0124	1526.78 (13.282661186176277,)
149	100  	426.521	444.583	20.5351	1542.89 (13.282661186176277,)
150	100  	426.946	444.992	18.0521	1583.53 (13.282661186176277,)
151	100  	410.429	444.704	13.6352	1553.42 (13.282661186176277,)
152	100  	432.291	425.9  	30.7632	1563.97 (13.282661186176277,)
153	100  	418.788	442.625	14.7764	1526.79 (13.282661186176277,)
154	100  	431.486	437.289	16.9888	1568.19 (13.282661186176277,)
155	100  	401.168	445.827	21.8788	1566.76 (13.282661186176277,)
156	100  	399.538	433.517	17.4206	1545.68 (13.282661186176277,)
157	100  	428.097	451.835	16.8417	1591.67 (13.282661186176277,)
158	100  	423.313	438.475	23.4562	1557.45 (13.282661186176277,)
159	100  	421.827	458.92 	16.6486	1612.2  (13.282661186176277,)
160	100  	398.762	448.622	19.6239	1529.21 (13.282661186176277,)
161	100  	408.689	443.817	13.7269	1510.51 (13.282661186176277,)
162	100  	422.544	459.817	19.9241	1573.96 (13.282661186176277,)
163	100  	433.265	423.449	16.8213	1573    (13.282661186176277,)
164	100  	430.392	434.536	22.4709	1614.39 (13.282661186176277,)
165	100  	423.635	440.625	22.9095	1573.62 (13.282661186176277,)
166	100  	434.791	443.138	14.857 	1533.36 (13.282661186176277,)
167	100  	437.912	418.48 	21.7157	1631.74 (13.282661186176277,)
168	100  	411.145	432.532	22.5566	1620.19 (13.282661186176277,)
169	100  	409.566	451.426	16.0478	1570.49 (13.282661186176277,)
170	100  	394.327	450.568	16.7614	1590.22 (13.282661186176277,)
171	100  	389.918	448.807	15.4337	1579.29 (13.282661186176277,)
172	100  	398.178	434.1  	14.0583	1599.11 (13.282661186176277,)
173	100  	395.229	444.069	15.8268	1622.16 (13.282661186176277,)
174	100  	407.186	426.724	18.7413	1569.58 (13.282661186176277,)
175	100  	409.985	443.354	16.4606	1605.95 (13.282661186176277,)
176	100  	395.176	465.471	13.5523	1613.44 (13.282661186176277,)
177	100  	372.358	446.818	16.7878	1587.65 (13.282661186176277,)
178	100  	430.573	431.088	27.0224	1549.72 (13.282661186176277,)
179	100  	408.19 	427.073	16.519 	1555.61 (13.282661186176277,)
180	100  	399.87 	444.8  	19.7508	1652.17 (13.282661186176277,)
181	100  	405.041	434.751	16.5583	1500.01 (13.282661186176277,)
182	100  	442.973	444.691	25.2933	1563.73 (13.282661186176277,)
183	100  	396.542	441.042	19.8226	1590.07 (13.282661186176277,)
184	100  	410.863	444.65 	18.9604	1573.01 (13.282661186176277,)
185	100  	407.404	426.686	19.1592	1574.77 (13.282661186176277,)
186	100  	407.411	434.745	17.9414	1548.7  (13.282661186176277,)
187	100  	391.183	432.642	16.1821	1589.59 (13.282661186176277,)
188	100  	407.215	432.563	14.9984	1595.22 (13.282661186176277,)
189	100  	409.409	446.699	14.9123	1508.28 (13.282661186176277,)
190	100  	415.952	449.131	16.9408	1582.71 (13.282661186176277,)
191	100  	415.087	453.431	18.4984	1595.22 (13.282661186176277,)
192	100  	414.068	448.835	15.4391	1611.19 (13.282661186176277,)
193	100  	381.532	430.145	15.7582	1482.32 (13.282661186176277,)
194	100  	391.618	435.842	16.2347	1528.96 (13.282661186176277,)
195	100  	411.023	434.395	25.5712	1542.56 (13.282661186176277,)
196	100  	412.418	450.647	14.3977	1566.91 (13.282661186176277,)
197	100  	427.609	439.079	16.2804	1609.06 (13.282661186176277,)
198	100  	408.237	421.59 	21.7392	1498.42 (13.282661186176277,)
199	100  	393.368	433.982	15.6294	1520.89 (13.282661186176277,)
200	100  	407.145	425.912	14.9646	1504.12 (13.282661186176277,)
201	100  	405.489	437.489	18.1135	1487.31 (13.282661186176277,)
202	100  	407.08 	424.009	21.7294	1516.93 (13.282661186176277,)
203	100  	403.866	452.308	16.5405	1592.63 (13.282661186176277,)
204	100  	389.914	446.212	12.3453	1545.43 (12.345287630303137,)
205	100  	422.61 	461.53 	14.8958	1590.23 (12.345287630303137,)
206	100  	444.449	441.229	23.6063	1602.35 (12.345287630303137,)
207	100  	460.602	442.983	10.9631	1555.95 (10.963092436407813,)
208	100  	386.3  	456.867	18.4765	1602.76 (10.963092436407813,)
209	100  	418.335	442.893	19.5671	1647.01 (10.963092436407813,)
210	100  	407.736	448.155	15.0187	1611.94 (10.963092436407813,)
211	100  	429.165	437.583	20.5468	1601.74 (10.963092436407813,)
212	100  	425.934	437.12 	17.863 	1565.77 (10.963092436407813,)
213	100  	434.577	438.358	19.6681	1625.49 (10.963092436407813,)
214	100  	404.913	448.308	18.3544	1662.07 (10.963092436407813,)
215	100  	418.472	467.05 	11.0945	1611.12 (10.963092436407813,)
216	100  	399.85 	464.402	16.3389	1597.04 (10.963092436407813,)
217	100  	404.553	439.968	13.4276	1630.32 (10.963092436407813,)
218	100  	426.03 	442.306	17.1551	1622.06 (10.963092436407813,)
219	100  	402.456	456.725	25.9031	1554.44 (10.963092436407813,)
220	100  	427.991	441.749	17.0806	1622.24 (10.963092436407813,)
221	100  	428.31 	433.695	14.4237	1574.39 (10.963092436407813,)
222	100  	414.007	426.342	13.0144	1519.84 (10.963092436407813,)
223	100  	432.435	426.084	19.8766	1588.97 (10.963092436407813,)
224	100  	416.05 	440.506	14.7858	1605.9  (10.963092436407813,)
225	100  	422.364	439.862	18.8021	1635.07 (10.963092436407813,)
226	100  	429.287	443.701	17.255 	1624.59 (10.963092436407813,)
227	100  	443.647	427.58 	17.9948	1570.14 (10.963092436407813,)
228	100  	418.639	442.086	13.2029	1560.66 (10.963092436407813,)
229	100  	416.92 	443.267	12.475 	1656.12 (10.963092436407813,)
230	100  	458.072	435.68 	14.2966	1637.39 (10.963092436407813,)
231	100  	449.71 	440.264	18.0906	1621.67 (10.963092436407813,)
232	100  	442.332	445.742	14.7114	1559.79 (10.963092436407813,)
233	100  	410.093	445.689	17.9138	1590.67 (10.963092436407813,)
234	100  	406.92 	442.84 	15.1313	1583.57 (10.963092436407813,)
235	100  	408.025	442.59 	15.3295	1619.46 (10.963092436407813,)
236	100  	403.225	447.9  	10.8414	1618.84 (10.841389914963065,)
237	100  	429.964	448.57 	24.933 	1532.58 (10.841389914963065,)
238	100  	443.952	446.206	12.0432	1635.11 (10.841389914963065,)
239	100  	442.17 	442.187	13.7432	1630.07 (10.841389914963065,)
240	100  	466.562	435.853	11.8803	1629.68 (10.841389914963065,)
241	100  	429.2  	450.282	21.2826	1581.13 (10.841389914963065,)
242	100  	406.97 	440.105	15.2643	1571.8  (10.841389914963065,)
243	100  	413.103	434.939	13.211 	1536.71 (10.841389914963065,)
244	100  	402.604	446.175	16.5921	1582.41 (10.841389914963065,)
245	100  	408.486	457.607	12.8588	1559.2  (10.841389914963065,)
246	100  	416.459	438.031	10.6029	1573.26 (10.602870378249525,)
247	100  	394.538	437.453	16.8603	1552.97 (10.602870378249525,)
248	100  	405.372	435.725	16.3594	1513.17 (10.602870378249525,)
249	100  	418.57 	423.703	14.0369	1564.31 (10.602870378249525,)
250	100  	405.027	429.504	20.0979	1598.98 (10.602870378249525,)
251	100  	427.505	417.966	15.5896	1649.62 (10.602870378249525,)
252	100  	421.363	419.979	15.876 	1548.61 (10.602870378249525,)
253	100  	424.979	426.189	15.8826	1574.62 (10.602870378249525,)
254	100  	394.057	433.336	13.2781	1561.01 (10.602870378249525,)
255	100  	426.885	418.075	17.9048	1517.5  (10.602870378249525,)
256	100  	438.25 	421.977	32.213 	1556.01 (10.602870378249525,)
257	100  	407.591	423.232	12.3322	1566.82 (10.602870378249525,)
258	100  	418.184	439.199	18.6827	1595.29 (10.602870378249525,)
259	100  	413.977	448.46 	14.1225	1554.87 (10.602870378249525,)
260	100  	393.982	433.523	13.1654	1525.67 (10.602870378249525,)
261	100  	403.34 	426.569	14.7697	1584.5  (10.602870378249525,)
262	100  	413.585	439.616	17.6792	1645.45 (10.602870378249525,)
263	100  	426.651	443.315	13.3343	1589.8  (10.602870378249525,)
264	100  	440.199	447.894	13.309 	1592.57 (10.602870378249525,)
265	100  	426.32 	445.516	12.9313	1590.49 (10.602870378249525,)
266	100  	420.812	428.695	13.2007	1553.01 (10.602870378249525,)
267	100  	405.014	441.873	12.6764	1613.05 (10.602870378249525,)
268	100  	404.518	430.913	13.6675	1572.96 (10.602870378249525,)
269	100  	420.836	433.105	15.0091	1596.62 (10.602870378249525,)
270	100  	440.097	436.384	11.0067	1570.21 (10.602870378249525,)
271	100  	412.957	429.846	12.5427	1602.82 (10.602870378249525,)
272	100  	419.942	434.816	12.4568	1634.71 (10.602870378249525,)
273	100  	395.034	439.961	15.6007	1612.98 (10.602870378249525,)
