In file included from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1761:0,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa1774.cpp:22:
/usr/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg    	std    	min  	max    
0  	100  	1163.28	330.655	214.9	1783.33 (214.89973763297061,)
1  	100  	1206.39	347.001	216.721	1778.47 (214.89973763297061,)
2  	100  	1251.28	353.236	217.529	1758.42 (214.89973763297061,)
3  	100  	1265.82	337.086	202.739	1788.71 (202.7389822741045,)
4  	100  	1189.84	346.299	155.624	1752.7  (155.6244889262571,)
5  	100  	1126.15	375.488	151.427	1712.01 (151.42734784919813,)
6  	100  	1012.49	473.692	119.149	1716.53 (119.14930725496204,)
7  	100  	980.239	519.24 	97.0351	1698.82 (97.035065180271147,)
8  	100  	907.538	554.87 	97.2887	1726.84 (97.035065180271147,)
9  	100  	862.711	566.649	91.8942	1755.12 (91.894202875852059,)
10 	100  	815.331	578.419	88.6025	1725.71 (88.602502891716469,)
11 	100  	743.679	561.219	82.6866	1732.63 (82.686588707577741,)
12 	100  	721.052	582.687	86.4631	1740.14 (82.686588707577741,)
13 	100  	690.708	578.568	84.0351	1703.24 (82.686588707577741,)
14 	100  	694.052	588.786	88.6829	1679.96 (82.686588707577741,)
15 	100  	676.83 	592.002	73.7623	1710.99 (73.762296530547857,)
16 	100  	660.244	558.684	72.2074	1712.35 (72.207439333907573,)
17 	100  	641.513	567.534	60.834 	1656.72 (60.833958325515212,)
18 	100  	619.757	569.21 	63.2652	1687.22 (60.833958325515212,)
19 	100  	625.632	581.625	60.9375	1696.79 (60.833958325515212,)
20 	100  	625.888	564.365	57.1672	1705.99 (57.167229073865379,)
21 	100  	600.183	580.882	55.67  	1663.72 (55.669976365322725,)
22 	100  	589.466	556.094	57.3385	1673.64 (55.669976365322725,)
23 	100  	581.393	573.013	44.8697	1693.77 (44.869736546115256,)
24 	100  	567.571	575.915	50.3143	1685.26 (44.869736546115256,)
25 	100  	554.238	567.6  	44.7692	1703.9  (44.769200449246412,)
26 	100  	577.049	553.148	51.2838	1722.7  (44.769200449246412,)
27 	100  	556.049	569.225	46.2815	1657.65 (44.769200449246412,)
28 	100  	561.862	559.581	46.303 	1648.35 (44.769200449246412,)
29 	100  	558.96 	539.567	50.8004	1707.4  (44.769200449246412,)
30 	100  	529.751	552.229	38.1814	1717.62 (38.181447585516615,)
31 	100  	536.235	554.818	35.3798	1716.05 (35.379819096981677,)
32 	100  	517.175	554.855	29.596 	1693    (29.595963219078214,)
33 	100  	516.397	557.499	37.7582	1712.45 (29.595963219078214,)
34 	100  	530.366	542.605	39.0381	1692.85 (29.595963219078214,)
35 	100  	516.688	538.198	23.2836	1641.35 (23.283557217900505,)
36 	100  	516.18 	536.738	37.5544	1687.23 (23.283557217900505,)
37 	100  	505.898	538.445	28.5405	1738.67 (23.283557217900505,)
38 	100  	497.412	543.937	28.8298	1694.45 (23.283557217900505,)
39 	100  	504.973	545.051	29.617 	1733.59 (23.283557217900505,)
40 	100  	498.669	554.112	23.7082	1703.2  (23.283557217900505,)
41 	100  	497.548	532.672	29.1373	1637.75 (23.283557217900505,)
42 	100  	496.878	542.393	22.6938	1713.57 (22.693772126533638,)
43 	100  	491.747	543.349	27.0629	1691.15 (22.693772126533638,)
44 	100  	507.739	552.829	27.7278	1708.29 (22.693772126533638,)
45 	100  	489.468	530.29 	32.2697	1697.59 (22.693772126533638,)
46 	100  	504.92 	538.128	23.5307	1692.78 (22.693772126533638,)
47 	100  	490.887	540.052	29.7343	1679.58 (22.693772126533638,)
48 	100  	486.874	527.719	32.1816	1659.91 (22.693772126533638,)
49 	100  	504.987	521.56 	18.2997	1667.73 (18.299733379156823,)
50 	100  	486.584	506.647	28.6194	1654.69 (18.299733379156823,)
51 	100  	501.775	513.697	21.6332	1619.55 (18.299733379156823,)
52 	100  	481.443	513.574	14.4941	1631.52 (14.494118325166006,)
53 	100  	488.532	514.494	41.7534	1693.08 (14.494118325166006,)
54 	100  	463.851	527.336	25.4239	1685.07 (14.494118325166006,)
55 	100  	488.777	515.321	24.8637	1690.62 (14.494118325166006,)
56 	100  	443.403	524.292	18.4555	1709.49 (14.494118325166006,)
57 	100  	466.419	530.896	26.6616	1699.93 (14.494118325166006,)
58 	100  	467.492	517.048	29.6306	1702.86 (14.494118325166006,)
59 	100  	469.766	514.483	17.8155	1695.07 (14.494118325166006,)
60 	100  	463.894	525.569	24.8708	1708.55 (14.494118325166006,)
61 	100  	456.371	520.802	26.9413	1714.67 (14.494118325166006,)
62 	100  	476.321	535.052	26.3627	1710.73 (14.494118325166006,)
63 	100  	472.405	531.489	19.2905	1699.95 (14.494118325166006,)
64 	100  	450.488	522.288	18.3177	1676.05 (14.494118325166006,)
65 	100  	446.403	520.084	15.371 	1679.19 (14.494118325166006,)
66 	100  	462.45 	520.371	22.5531	1701.17 (14.494118325166006,)
67 	100  	455.45 	515.587	29.1466	1693.27 (14.494118325166006,)
68 	100  	454.564	525.037	25.1511	1684.01 (14.494118325166006,)
69 	100  	426.718	532.319	17.8741	1736.15 (14.494118325166006,)
70 	100  	469.014	512.07 	28.5687	1748.47 (14.494118325166006,)
71 	100  	448.931	518.785	20.0677	1739.12 (14.494118325166006,)
72 	100  	441.272	517.082	26.7218	1712.78 (14.494118325166006,)
73 	100  	458.588	509.229	34.2453	1708.33 (14.494118325166006,)
74 	100  	455.973	505.481	18.9206	1712.28 (14.494118325166006,)
75 	100  	445.076	512.239	21.8406	1672.81 (14.494118325166006,)
76 	100  	441.745	510.293	24.3226	1665.84 (14.494118325166006,)
77 	100  	436.682	501.108	18.3587	1673.98 (14.494118325166006,)
78 	100  	427.519	503.842	16.1715	1687.18 (14.494118325166006,)
79 	100  	431.787	508.223	23.0155	1718.29 (14.494118325166006,)
80 	100  	443.05 	515.429	21.8488	1640.8  (14.494118325166006,)
81 	100  	442.653	505.049	19.199 	1649.95 (14.494118325166006,)
82 	100  	454.457	527.477	14.6201	1679.86 (14.494118325166006,)
83 	100  	422.336	510.892	18.9364	1703.6  (14.494118325166006,)
84 	100  	439.966	515.669	22.6022	1706.61 (14.494118325166006,)
85 	100  	432.479	526.6  	16.3942	1692.59 (14.494118325166006,)
86 	100  	456.48 	512.755	15.965 	1678.44 (14.494118325166006,)
87 	100  	454.474	505.165	29.0564	1685.53 (14.494118325166006,)
88 	100  	441.27 	496.964	19.4165	1634.74 (14.494118325166006,)
89 	100  	441.993	511.8  	18.9793	1650.85 (14.494118325166006,)
90 	100  	457.407	511.744	18.5619	1669.86 (14.494118325166006,)
91 	100  	442.658	529.313	20.9104	1669.52 (14.494118325166006,)
92 	100  	438.233	508.453	15.2957	1675.73 (14.494118325166006,)
93 	100  	439.403	518.107	21.0293	1660.91 (14.494118325166006,)
94 	100  	453.754	510.57 	18.6286	1691.77 (14.494118325166006,)
95 	100  	452.643	504.819	24.0581	1722.55 (14.494118325166006,)
96 	100  	455.111	518.985	16.3992	1690.4  (14.494118325166006,)
97 	100  	464.808	508.812	25.1198	1664.01 (14.494118325166006,)
98 	100  	453.722	514.201	21.4233	1679.96 (14.494118325166006,)
99 	100  	456.536	511.411	23.2273	1669.5  (14.494118325166006,)
100	100  	434.11 	517.175	17.2718	1713.06 (14.494118325166006,)
101	100  	438.835	512.01 	15.8553	1681.47 (14.494118325166006,)
102	100  	438.45 	507.131	14.7334	1666.12 (14.494118325166006,)
103	100  	454.279	504.935	29.9288	1685.17 (14.494118325166006,)
104	100  	438.36 	510.064	15.9986	1671.04 (14.494118325166006,)
105	100  	466.494	506.557	14.9979	1679.82 (14.494118325166006,)
106	100  	445.104	508.099	27.767 	1657.76 (14.494118325166006,)
107	100  	480.711	521.087	13.1666	1692.76 (13.166595616148708,)
108	100  	417.296	502.33 	26.8677	1651.71 (13.166595616148708,)
109	100  	437.406	519.165	11.839 	1647.36 (11.839027445096757,)
110	100  	471.432	503.548	17.1999	1652.04 (11.839027445096757,)
111	100  	485.135	493.954	12.7922	1666.8  (11.839027445096757,)
112	100  	468.59 	512.215	7.97912	1675.68 (7.9791151174994148,)
113	100  	447.002	512.778	18.0775	1670.71 (7.9791151174994148,)
114	100  	459.499	502.27 	19.6264	1694.45 (7.9791151174994148,)
115	100  	480.067	516.702	46.0816	1668.65 (7.9791151174994148,)
116	100  	457.478	503.764	13.0709	1650.17 (7.9791151174994148,)
117	100  	470.036	504.511	13.5867	1640.04 (7.9791151174994148,)
118	100  	457.326	519.599	9.30485	1714.67 (7.9791151174994148,)
119	100  	469.801	505.878	12.0289	1674.84 (7.9791151174994148,)
120	100  	446.087	514.619	16.7283	1712.31 (7.9791151174994148,)
121	100  	454.991	503.267	19.4573	1675.34 (7.9791151174994148,)
122	100  	445.22 	498.245	26.0314	1662.38 (7.9791151174994148,)
123	100  	448.951	517.39 	12.9756	1684.99 (7.9791151174994148,)
124	100  	437.652	516.937	14.1924	1677.79 (7.9791151174994148,)
125	100  	453.456	514.199	9.23621	1667.3  (7.9791151174994148,)
126	100  	447.196	516.052	10.0575	1680.98 (7.9791151174994148,)
127	100  	423.846	508.945	14.3134	1679.05 (7.9791151174994148,)
128	100  	439.499	524.166	10.4918	1704.98 (7.9791151174994148,)
129	100  	433.336	519.351	11.8757	1635.85 (7.9791151174994148,)
130	100  	435.359	515.154	15.4496	1671.96 (7.9791151174994148,)
131	100  	448.309	508.724	13.2717	1695.96 (7.9791151174994148,)
132	100  	424.495	509.436	9.95604	1707.52 (7.9791151174994148,)
133	100  	429.04 	508.677	7.49977	1659.19 (7.4997709790645333,)
134	100  	426.16 	498.146	10.524 	1653.59 (7.4997709790645333,)
135	100  	430.582	487.039	13.3147	1648.99 (7.4997709790645333,)
136	100  	422.784	491.159	20.9055	1617.38 (7.4997709790645333,)
137	100  	449.645	485.598	8.59362	1673.44 (7.4997709790645333,)
138	100  	436.289	480.339	13.8882	1673.08 (7.4997709790645333,)
139	100  	450.136	468.831	14.8374	1644.63 (7.4997709790645333,)
140	100  	442.947	474.679	12.7607	1715.38 (7.4997709790645333,)
141	100  	431.193	485.114	18.6297	1700.02 (7.4997709790645333,)
142	100  	450.259	487.223	13.1392	1686.34 (7.4997709790645333,)
143	100  	424.788	482.865	13.9872	1668.35 (7.4997709790645333,)
144	100  	448.367	483.525	13.1624	1680.07 (7.4997709790645333,)
145	100  	417.075	468.654	16.6914	1645.32 (7.4997709790645333,)
146	100  	417.696	480.103	10.7327	1647.48 (7.4997709790645333,)
147	100  	415.938	477.363	9.21396	1656.05 (7.4997709790645333,)
148	100  	434.281	477.383	19.0446	1647.6  (7.4997709790645333,)
149	100  	417.804	480.582	10.1836	1651.06 (7.4997709790645333,)
150	100  	425.565	475.749	11.6518	1688.15 (7.4997709790645333,)
151	100  	405.939	482.902	9.20328	1653.25 (7.4997709790645333,)
152	100  	423.914	462.774	16.564 	1700.3  (7.4997709790645333,)
153	100  	414.864	468.707	15.9395	1700.78 (7.4997709790645333,)
154	100  	403.572	445.433	14.6863	1695.47 (7.4997709790645333,)
155	100  	400.22 	453.237	21.8189	1694.7  (7.4997709790645333,)
156	100  	386.926	457.727	10.953 	1616.76 (7.4997709790645333,)
157	100  	389.378	454.211	11.7659	1634.35 (7.4997709790645333,)
158	100  	381.202	461.83 	9.98687	1623.32 (7.4997709790645333,)
159	100  	394.384	457.453	17.484 	1659.25 (7.4997709790645333,)
160	100  	397.357	463.592	22.4307	1690.01 (7.4997709790645333,)
161	100  	392.048	467.845	9.38607	1640.99 (7.4997709790645333,)
162	100  	390.88 	466.883	8.08266	1611.19 (7.4997709790645333,)
163	100  	393.005	483.484	18.0311	1630.71 (7.4997709790645333,)
164	100  	390.072	461.131	12.3164	1659.35 (7.4997709790645333,)
165	100  	372.923	462.193	6.18385	1635    (6.1838547259172669,)
166	100  	416.075	470.339	10.2712	1680.46 (6.1838547259172669,)
167	100  	396.976	457.529	8.62771	1701.31 (6.1838547259172669,)
168	100  	393.05 	460.511	8.90892	1632.65 (6.1838547259172669,)
169	100  	405.632	456.307	14.6809	1649.82 (6.1838547259172669,)
170	100  	386.168	451.676	16.7868	1603.02 (6.1838547259172669,)
171	100  	413.079	447.942	9.14895	1608.37 (6.1838547259172669,)
172	100  	392.296	450.456	13.5221	1663.92 (6.1838547259172669,)
173	100  	406.742	459.731	5.86584	1682.52 (5.8658446709301213,)
174	100  	404.185	461.776	17.6356	1694.52 (5.8658446709301213,)
175	100  	407.953	445.305	21.5745	1656.15 (5.8658446709301213,)
176	100  	410.476	444.688	9.94369	1655.35 (5.8658446709301213,)
177	100  	409.191	456.366	5.95179	1701.48 (5.8658446709301213,)
178	100  	404.373	458.773	31.9956	1644.75 (5.8658446709301213,)
179	100  	417.183	452.297	13.5314	1687.98 (5.8658446709301213,)
180	100  	377.224	455.184	9.17329	1675.31 (5.8658446709301213,)
181	100  	396.331	465.122	14.1094	1692.65 (5.8658446709301213,)
182	100  	391.039	465.054	9.82363	1679.86 (5.8658446709301213,)
183	100  	395.15 	449.377	10.2668	1682.19 (5.8658446709301213,)
184	100  	397.139	452.119	6.54962	1652.76 (5.8658446709301213,)
185	100  	387.51 	457.891	12.0238	1687.25 (5.8658446709301213,)
186	100  	421.048	456.491	26.9487	1679.08 (5.8658446709301213,)
187	100  	415.613	451.918	13.1973	1680.06 (5.8658446709301213,)
188	100  	415.326	454.247	5.66578	1759.12 (5.6657776000915572,)
189	100  	399.502	459.201	6.99639	1684.05 (5.6657776000915572,)
190	100  	393.982	466.491	10.4456	1712.79 (5.6657776000915572,)
191	100  	406.827	458.12 	12.3891	1734.54 (5.6657776000915572,)
192	100  	414.043	452.972	11.8486	1670.02 (5.6657776000915572,)
193	100  	398.054	470.906	9.60927	1704.4  (5.6657776000915572,)
194	100  	408.156	487.934	17.2329	1735.63 (5.6657776000915572,)
195	100  	407.819	470.536	10.3191	1666.22 (5.6657776000915572,)
196	100  	407.459	469.126	6.55747	1680.41 (5.6657776000915572,)
197	100  	405.007	464.809	11.8324	1726.36 (5.6657776000915572,)
198	100  	401.587	466.732	9.80542	1671.27 (5.6657776000915572,)
199	100  	426.318	477.583	14.7869	1621.66 (5.6657776000915572,)
200	100  	404.499	465.83 	9.27665	1692.37 (5.6657776000915572,)
201	100  	393.017	451.849	10.3679	1693.63 (5.6657776000915572,)
202	100  	419.55 	460.136	12.4707	1670.53 (5.6657776000915572,)
203	100  	405.9  	457.436	13.2693	1657.37 (5.6657776000915572,)
204	100  	413.068	452.166	6.33005	1645.02 (5.6657776000915572,)
205	100  	444.168	469.669	14.0064	1675.31 (5.6657776000915572,)
206	100  	396.283	458.737	16.2426	1696.76 (5.6657776000915572,)
207	100  	389.946	473.233	7.26178	1710.95 (5.6657776000915572,)
208	100  	398.992	462.312	8.06192	1653.08 (5.6657776000915572,)
209	100  	383.973	460.982	17.6856	1642.83 (5.6657776000915572,)
210	100  	437.11 	449.567	37.226 	1645.16 (5.6657776000915572,)
211	100  	416.075	451.908	16.4385	1671.73 (5.6657776000915572,)
212	100  	413.92 	473.034	8.6088 	1695.69 (5.6657776000915572,)
213	100  	403.032	459.402	12.5498	1647.13 (5.6657776000915572,)
214	100  	405.701	475.828	4.61186	1661.78 (4.6118626654774877,)
215	100  	421.275	467.457	17.9659	1666.81 (4.6118626654774877,)
216	100  	418.785	460.901	7.34978	1662.24 (4.6118626654774877,)
217	100  	416.954	481.857	5.29142	1710.83 (4.6118626654774877,)
218	100  	424.511	470.617	10.5369	1656.4  (4.6118626654774877,)
219	100  	407.473	476.137	15.3638	1672.62 (4.6118626654774877,)
220	100  	420.848	460.434	8.95496	1629.73 (4.6118626654774877,)
221	100  	423.238	479.16 	10.3415	1648.97 (4.6118626654774877,)
222	100  	433.256	472.239	10.3641	1678.73 (4.6118626654774877,)
223	100  	425.724	456.494	5.97103	1686.58 (4.6118626654774877,)
224	100  	404.766	479.519	4.53068	1649.29 (4.5306808125008473,)
225	100  	444.016	465.132	22.4265	1676.59 (4.5306808125008473,)
226	100  	416.007	473.149	10.684 	1690.49 (4.5306808125008473,)
227	100  	383.173	467.733	10.0889	1668.9  (4.5306808125008473,)
228	100  	402.748	458.381	9.5578 	1629.12 (4.5306808125008473,)
229	100  	418.266	470.223	31.637 	1690.88 (4.5306808125008473,)
230	100  	405.352	465.133	9.18492	1698.99 (4.5306808125008473,)
231	100  	404.175	480.947	19.1351	1660.59 (4.5306808125008473,)
232	100  	382.276	486.942	10.4039	1661.66 (4.5306808125008473,)
233	100  	392.781	468.7  	4.87349	1697.95 (4.5306808125008473,)
234	100  	426.318	468.333	8.27115	1714.38 (4.5306808125008473,)
235	100  	414.259	460.997	9.01588	1718.12 (4.5306808125008473,)
236	100  	402.698	467.255	6.64271	1727.82 (4.5306808125008473,)
237	100  	414.943	484.736	9.96651	1685.2  (4.5306808125008473,)
238	100  	414.471	457.387	13.0595	1644.75 (4.5306808125008473,)
239	100  	424.547	470.434	10.1525	1651.34 (4.5306808125008473,)
240	100  	407.962	449.889	12.4303	1659.91 (4.5306808125008473,)
241	100  	394.201	463.831	9.75061	1654.98 (4.5306808125008473,)
242	100  	411.872	491.585	11.0029	1700.07 (4.5306808125008473,)
243	100  	428.422	484.522	8.92358	1704.97 (4.5306808125008473,)
244	100  	438.282	488.054	10.3026	1677.46 (4.5306808125008473,)
245	100  	417.78 	477.444	17.6626	1690.95 (4.5306808125008473,)
246	100  	394.3  	453.814	4.1121 	1684.01 (4.1121029146736907,)
247	100  	388.177	464.568	12.8188	1657.51 (4.1121029146736907,)
248	100  	394.233	470.16 	11.278 	1643.36 (4.1121029146736907,)
249	100  	401.48 	466.428	5.72432	1581.66 (4.1121029146736907,)
250	100  	426.28 	477.119	9.8119 	1645.41 (4.1121029146736907,)
251	100  	413.196	459.86 	10.3141	1660.92 (4.1121029146736907,)
252	100  	393.556	440.812	6.24101	1577.9  (4.1121029146736907,)
253	100  	405.333	462.519	11.7343	1652.26 (4.1121029146736907,)
254	100  	402.148	465.616	6.43711	1614.17 (4.1121029146736907,)
255	100  	403.751	466.877	15.1147	1666.11 (4.1121029146736907,)
256	100  	411.708	455.275	20.3318	1657.73 (4.1121029146736907,)
257	100  	399.157	480.292	18.5108	1702.68 (4.1121029146736907,)
258	100  	395.3  	477.402	12.7971	1721.91 (4.1121029146736907,)
259	100  	403.847	471.267	11.5892	1677.53 (4.1121029146736907,)
260	100  	408.847	468.147	16.8352	1653.56 (4.1121029146736907,)
261	100  	413.396	471.144	5.47847	1626.8  (4.1121029146736907,)
262	100  	420.1  	463.054	6.82083	1651.83 (4.1121029146736907,)
263	100  	417.324	461.693	7.17049	1663.62 (4.1121029146736907,)
264	100  	401.951	472.182	11.3765	1666.19 (4.1121029146736907,)
265	100  	411.405	472.531	10.8525	1660.98 (4.1121029146736907,)
266	100  	403.305	459.509	6.02556	1619.58 (4.1121029146736907,)
267	100  	406.843	466.217	11.2985	1675.97 (4.1121029146736907,)
268	100  	406.713	464.277	9.83367	1688.32 (4.1121029146736907,)
269	100  	402.55 	474.271	16.3521	1667.38 (4.1121029146736907,)
270	100  	417.424	440.493	7.12379	1619.87 (4.1121029146736907,)
271	100  	409.323	461.725	9.95526	1685.11 (4.1121029146736907,)
