In file included from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1761:0,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa1788.cpp:22:
/usr/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg 	std    	min    	max    
0  	100  	1102	304.397	457.831	1741.23 (457.8305998680695,)
1  	100  	1067.01	333.223	348.801	1727.01 (348.80101092112773,)
2  	100  	967.44 	301.841	282.901	1617.71 (282.90104295748671,)
3  	100  	896.029	298.039	315.46 	1648.68 (282.90104295748671,)
4  	100  	827.224	326.859	230.761	1683.71 (230.76057576496399,)
5  	100  	742.237	376.153	214.029	1608.24 (214.02878512489468,)
6  	100  	641.565	417.206	211.833	1678.35 (211.83330483125425,)
7  	100  	621.107	462.742	203.841	1624.77 (203.84135055970398,)
8  	100  	571.236	445.876	202.61 	1559.95 (202.61015112497057,)
9  	100  	518.881	430.413	197.065	1544.65 (197.06530317495074,)
10 	100  	487.55 	412.595	190.866	1530.74 (190.86591788649562,)
11 	100  	456.525	425.662	186.557	1591.41 (186.55688233800689,)
12 	100  	428.836	401.15 	188.182	1552.04 (186.55688233800689,)
13 	100  	437.499	413.587	183.944	1552.45 (183.9444111337275,)
14 	100  	416.967	404.253	178.168	1538.68 (178.16754939874718,)
15 	100  	409.48 	398.882	174.056	1495.19 (174.05649020727563,)
16 	100  	404.239	412.555	172.059	1614.64 (172.05947527227639,)
17 	100  	399.862	404.883	165.496	1600.46 (165.49603225608692,)
18 	100  	397.376	411.588	165.36 	1648.47 (165.36019777795113,)
19 	100  	376.049	405.001	164.065	1725.75 (164.06503715596295,)
20 	100  	383.804	427.751	162.416	1678.46 (162.41631419803622,)
21 	100  	378.441	423.157	162.266	1662.36 (162.26588908865983,)
22 	100  	379.411	432.563	160.815	1610.5  (160.81516126703045,)
23 	100  	376.72 	430.316	160.981	1658.78 (160.81516126703045,)
24 	100  	375.83 	430.058	161.25 	1654.68 (160.81516126703045,)
25 	100  	368.905	429.185	160.288	1667.82 (160.28784557859498,)
26 	100  	366.408	417.771	159.726	1616.55 (159.7260768289882,)
27 	100  	364.644	408.825	159.948	1538.4  (159.7260768289882,)
28 	100  	359.921	402.628	160.512	1543.13 (159.7260768289882,)
29 	100  	362.184	405.503	160.362	1585.27 (159.7260768289882,)
30 	100  	364.814	406.529	160.709	1647.98 (159.7260768289882,)
31 	100  	363.625	407.357	160.199	1666.11 (159.7260768289882,)
32 	100  	362.836	403.881	161.196	1576.2  (159.7260768289882,)
33 	100  	375.743	431.542	160.581	1631.33 (159.7260768289882,)
34 	100  	371.406	423.715	160.37 	1584.59 (159.7260768289882,)
35 	100  	369.203	413.767	159.377	1547.14 (159.37678944170466,)
36 	100  	363.943	418.107	158.587	1600.16 (158.58714550446595,)
37 	100  	361.917	420.03 	158.405	1702.98 (158.40477131894292,)
38 	100  	367.403	418.677	158.236	1595.15 (158.23637133500415,)
39 	100  	368.365	414.002	159.168	1562.71 (158.23637133500415,)
40 	100  	361.505	398.939	158.522	1566.51 (158.23637133500415,)
41 	100  	353.204	390.08 	158.329	1500.62 (158.23637133500415,)
42 	100  	358.989	394.11 	159.525	1510.56 (158.23637133500415,)
43 	100  	350.844	396.292	158.469	1524.71 (158.23637133500415,)
44 	100  	365.916	401.62 	159.019	1545.38 (158.23637133500415,)
45 	100  	352.798	392.852	157.348	1536.98 (157.34847628449566,)
46 	100  	337.992	395.447	157.336	1588.32 (157.33557352100064,)
47 	100  	340.242	387.632	158.194	1585.53 (157.33557352100064,)
48 	100  	333.63 	367.11 	157.064	1462.96 (157.06425926860584,)
49 	100  	342.486	382.704	157.081	1514.71 (157.06425926860584,)
50 	100  	342.962	395.464	157.972	1585.78 (157.06425926860584,)
51 	100  	339.011	390.915	157.738	1545.56 (157.06425926860584,)
52 	100  	353.639	398.219	158.621	1555.85 (157.06425926860584,)
53 	100  	350.339	396.234	157.391	1599.72 (157.06425926860584,)
54 	100  	366.899	405.811	157.777	1553.87 (157.06425926860584,)
55 	100  	348.905	407.011	156.9  	1605.58 (156.89974720417317,)
56 	100  	350.171	392.217	156.852	1567.89 (156.85152294628062,)
57 	100  	350.53 	393.434	156.553	1613.61 (156.5533110746664,)
58 	100  	354.846	364.959	156.257	1520.36 (156.25745470779691,)
59 	100  	352.84 	384.464	158.736	1560.74 (156.25745470779691,)
60 	100  	346.357	377.811	156.248	1538.05 (156.24849510031933,)
61 	100  	336.741	362.417	157.64 	1565.75 (156.24849510031933,)
62 	100  	341.948	388.732	156.979	1603.82 (156.24849510031933,)
63 	100  	337.768	384.35 	154.709	1575.68 (154.70888839609498,)
64 	100  	337.003	381.119	155.593	1584.98 (154.70888839609498,)
65 	100  	324.402	368.442	155.643	1518.08 (154.70888839609498,)
66 	100  	326.828	357.892	155.272	1510    (154.70888839609498,)
67 	100  	321.588	341.44 	153.677	1518.71 (153.6766912765853,)
68 	100  	323.965	355.688	153.959	1516.43 (153.6766912765853,)
69 	100  	333.794	370.691	154.393	1567.24 (153.6766912765853,)
70 	100  	327.087	370.691	154.838	1574.83 (153.6766912765853,)
71 	100  	317.669	370.425	154.848	1633.32 (153.6766912765853,)
72 	100  	321.156	386.434	153.787	1612.2  (153.6766912765853,)
73 	100  	322.667	397.023	153.941	1641.08 (153.6766912765853,)
74 	100  	328.07 	391.469	152.707	1596.9  (152.70662731748033,)
75 	100  	331.63 	392.884	152.194	1618.65 (152.19403043593709,)
76 	100  	324.468	377.933	151.277	1600.8  (151.27684574216065,)
77 	100  	330.649	391.303	152.898	1614.19 (151.27684574216065,)
78 	100  	318.723	371    	152.301	1565.61 (151.27684574216065,)
79 	100  	319.23 	378.263	151.958	1561.22 (151.27684574216065,)
80 	100  	317.644	365.457	151.891	1538.72 (151.27684574216065,)
81 	100  	328.179	391.034	151.92 	1533.9  (151.27684574216065,)
82 	100  	325.356	381.534	151.924	1548.16 (151.27684574216065,)
83 	100  	319.939	387.268	151.681	1556.41 (151.27684574216065,)
84 	100  	318.741	379.196	151.537	1561.5  (151.27684574216065,)
85 	100  	315.133	378.453	151.531	1553.19 (151.27684574216065,)
86 	100  	322.323	391.312	151.75 	1563.1  (151.27684574216065,)
87 	100  	316.578	376.081	150.587	1494.32 (150.58683712392633,)
88 	100  	322.526	387.369	148.437	1597.23 (148.43683156531424,)
89 	100  	316.624	367.034	147.868	1598.92 (147.86807938876981,)
90 	100  	328.37 	386.266	145.653	1614.31 (145.65252358939378,)
91 	100  	323.947	384.987	145.548	1537.35 (145.54759122745256,)
92 	100  	323.531	375.409	145.602	1520.52 (145.54759122745256,)
93 	100  	322.308	377.377	144.281	1545.53 (144.28055747224397,)
94 	100  	311.997	359.396	140.629	1588.03 (140.62851252882342,)
95 	100  	314.983	373.386	143.807	1514.17 (140.62851252882342,)
96 	100  	307.821	368.623	140.446	1447.11 (140.44619746526425,)
97 	100  	299.96 	350.614	139.544	1454.43 (139.54398336689184,)
98 	100  	296.958	354.357	138.592	1467.22 (138.59232384304141,)
99 	100  	287.943	346.603	139.01 	1501.42 (138.59232384304141,)
100	100  	285.575	352.848	137.737	1577.43 (137.73669106144561,)
101	100  	284.976	345.785	141.07 	1601.86 (137.73669106144561,)
102	100  	275.21 	330.934	136.626	1588.36 (136.62568132254515,)
103	100  	279.465	356.194	135.64 	1606.39 (135.63963156032685,)
104	100  	269.01 	325.939	131.5  	1589.75 (131.4998417734061,)
105	100  	275.115	338.979	125.255	1605.47 (125.25516829308071,)
106	100  	268.564	329.3  	119.843	1545    (119.84275842035296,)
107	100  	263.336	342.208	115.235	1581.25 (115.23491416612561,)
108	100  	251.788	336.196	108.693	1452.34 (108.69304487265418,)
109	100  	260.767	359.015	102.166	1530.12 (102.16561930598833,)
110	100  	241.245	348.942	96.4476	1574.82 (96.447579159206867,)
111	100  	235.273	336.589	86.6077	1596.36 (86.607673980041199,)
112	100  	227.508	352.467	81.6696	1587.95 (81.669638874797215,)
113	100  	225.654	361.017	79.6913	1601.93 (79.69133847790259,)
114	100  	230.462	358.892	78.9184	1534.25 (78.918419043709534,)
115	100  	217.032	346.29 	77.0007	1542.45 (77.000664125640441,)
116	100  	207.272	333.868	77.6904	1584.57 (77.000664125640441,)
117	100  	206.326	335.529	76.3747	1523.72 (76.374652779477188,)
118	100  	197.537	311.412	76.3985	1480.6  (76.374652779477188,)
119	100  	204.937	330.154	72.2314	1559.64 (72.231405179539664,)
120	100  	207.072	341.399	66.4463	1498.54 (66.446255692156228,)
121	100  	200.834	337.718	62.557 	1514.73 (62.557029931074879,)
122	100  	211.964	355.874	56.0985	1502.15 (56.098531687520975,)
123	100  	202.241	347.641	41.4334	1508.09 (41.433353217656887,)
124	100  	198.076	348.259	41.8284	1552.43 (41.433353217656887,)
125	100  	198.059	331.322	40.0196	1503.88 (40.019622791941792,)
126	100  	204.278	343.692	39.6034	1497.61 (39.603354788193158,)
127	100  	199.715	355.673	38.7438	1544.18 (38.74381500205434,)
128	100  	212.575	351.218	35.0175	1503.87 (35.017519400092574,)
129	100  	205.534	354.245	27.2828	1538.03 (27.282760465968398,)
130	100  	187.001	342.752	33.3778	1553.48 (27.282760465968398,)
131	100  	200.035	362.865	22.2181	1548.94 (22.218056463886562,)
132	100  	194.667	347.407	22.0743	1548.95 (22.074338176059602,)
133	100  	191.997	343.592	20.2025	1421.08 (20.202542325849937,)
134	100  	199.009	341.115	16.0089	1526.66 (16.008873604398495,)
135	100  	187.169	343.335	13.7077	1554.23 (13.707708187719012,)
136	100  	194.338	332.273	13.6827	1521.89 (13.682704855184141,)
137	100  	187.415	341.732	14.246 	1534.72 (13.682704855184141,)
138	100  	191.424	342.297	16.6353	1574.13 (13.682704855184141,)
139	100  	179.659	334.528	18.0702	1515.9  (13.682704855184141,)
140	100  	184.926	358.335	17.3675	1578.33 (13.682704855184141,)
141	100  	178.24 	347.47 	17.3918	1496.21 (13.682704855184141,)
142	100  	178.918	341.483	14.1017	1541    (13.682704855184141,)
143	100  	191.344	332.319	11.1301	1562.72 (11.130059524497717,)
144	100  	181.203	343.038	13.9776	1576.11 (11.130059524497717,)
145	100  	175.348	340.776	15.5944	1484.81 (11.130059524497717,)
146	100  	178.122	348.637	17.1069	1522.29 (11.130059524497717,)
147	100  	184.292	341.87 	10.2769	1507.71 (10.276861333530896,)
148	100  	192.175	348.638	13.3208	1626.79 (10.276861333530896,)
149	100  	180.307	353.264	11.6004	1563.81 (10.276861333530896,)
