In file included from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1761:0,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa1804.cpp:22:
/usr/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg    	std   	min  	max    
0  	100  	1084.62	311.96	438.8	1796.29 (438.79965273799326,)
1  	100  	1062.72	294.887	438.242	1734.37 (438.24206652237694,)
2  	100  	989.646	266.726	430.207	1600.16 (430.20728519138953,)
3  	100  	931.315	228.154	382.306	1422.38 (382.30583519028124,)
4  	100  	837.809	229.123	384.201	1499.57 (382.30583519028124,)
5  	100  	757.973	225.848	356.503	1562.77 (356.50255260096827,)
6  	100  	624.984	251.86 	296.977	1443.65 (296.97713196958483,)
7  	100  	551.8  	268.791	274.482	1373.47 (274.48176263109883,)
8  	100  	496.905	257.742	229.19 	1371.9  (229.19026097806432,)
9  	100  	425.603	272.595	230.129	1372.5  (229.19026097806432,)
10 	100  	391.615	279.968	204.532	1373.38 (204.53213994095029,)
11 	100  	362.421	287.65 	196.742	1484.05 (196.74162749443772,)
12 	100  	338.173	285.149	183.94 	1456.38 (183.94010090857643,)
13 	100  	308.718	268.239	178.074	1332.83 (178.07365138830215,)
14 	100  	285.609	256.12 	169.151	1263.03 (169.15080091190271,)
15 	100  	278.103	239.774	167.789	1259.95 (167.78936451542222,)
16 	100  	268.507	230.965	165.387	1438.78 (165.38680961606141,)
17 	100  	261.426	201.65 	160.897	1226.05 (160.89657666984112,)
18 	100  	245.024	182.291	160.665	1204.63 (160.66467368439436,)
19 	100  	246.228	206.017	160.424	1429.6  (160.4242009999586,)
20 	100  	246.265	195.33 	159.551	1326.43 (159.55114691042493,)
21 	100  	244.236	190.895	158.786	1258.23 (158.78612235821808,)
22 	100  	236.012	183.159	154.947	1208.52 (154.94701773112104,)
23 	100  	232.54 	176.738	149.225	1076.42 (149.22463092504614,)
24 	100  	230.7  	167.824	146.943	1054.03 (146.94252930427314,)
25 	100  	227.759	180.192	142.738	1114.83 (142.73823494289525,)
26 	100  	230.881	180.3  	141.199	1117.08 (141.19911995957256,)
27 	100  	226.403	188.422	142.095	1178.29 (141.19911995957256,)
28 	100  	223.86 	168.639	141.155	1129.21 (141.15515843271686,)
29 	100  	226.898	163.18 	138.663	1059.73 (138.66338838898014,)
30 	100  	232.272	168.756	136.283	1054.51 (136.28284989062649,)
31 	100  	208.804	154.216	137.039	1012.33 (136.28284989062649,)
32 	100  	207.233	123.557	135.088	841.893 (135.0884002142742,)
33 	100  	198.57 	123.492	133.177	820.638 (133.17706522782234,)
34 	100  	199.117	140.393	132.08 	986.153 (132.08004906104878,)
35 	100  	195.243	113.656	132.068	761.306 (132.06825465318681,)
36 	100  	203.185	120.995	132.107	912.167 (132.06825465318681,)
37 	100  	197.652	135.39 	131.554	996.61  (131.55375944841711,)
38 	100  	201.559	108.812	131.92 	807.718 (131.55375944841711,)
39 	100  	194.656	115.567	130.369	889.798 (130.36874413017134,)
40 	100  	198.053	109.407	129.28 	922.917 (129.27996076321048,)
41 	100  	191.6  	108.934	127.718	965.232 (127.71817856454817,)
