In file included from /usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1804:0,
                 from /usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa4510.cpp:22:
/usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg             	std              	min           	max               
1  	50   	[ 59576.5565848]	[ 71943.36079479]	[ 38.62038103]	[ 167737.08585845] (38.620381031008655,)
2  	50   	[ 54219.29167121]	[ 69348.57469255]	[ 44.68047733]	[ 167318.44564313] (38.620381031008655,)
3  	50   	[ 49947.37888247]	[ 66853.38491851]	[ 38.1935129] 	[ 167114.01898456] (38.193512898337886,)
4  	50   	[ 42332.02655649]	[ 61735.03177911]	[ 25.83556195]	[ 166946.19368762] (25.835561950584975,)
5  	50   	[ 34077.82407826]	[ 55321.14176094]	[ 17.70821205]	[ 166959.79949056] (17.708212052163582,)
6  	50   	[ 26181.19890648]	[ 49521.41489677]	[ 15.99558696]	[ 166917.75886313] (15.995586961484761,)
7  	50   	[ 24999.12120309]	[ 48075.53253251]	[ 16.48305836]	[ 166845.13785374] (15.995586961484761,)
8  	50   	[ 17193.27433671]	[ 41086.58657655]	[ 6.71620309] 	[ 165413.27742276] (6.7162030859896156,)
9  	50   	[ 10670.84424613]	[ 29591.51521231]	[ 5.90433725] 	[ 159594.98733317] (5.9043372450178486,)
10 	50   	[ 8527.82031011] 	[ 26783.40066252]	[ 7.66169009] 	[ 150887.26571848] (5.9043372450178486,)
11 	50   	[ 6987.01302222] 	[ 24387.74773493]	[ 6.63607203] 	[ 138364.68440344] (5.9043372450178486,)
12 	50   	[ 3570.92024891] 	[ 15834.23178046]	[ 6.28294888] 	[ 108842.00511586] (5.9043372450178486,)
13 	50   	[ 4232.45819966] 	[ 16832.53835259]	[ 5.91644975] 	[ 100000.]         (5.9043372450178486,)
14 	50   	[ 2699.03387941] 	[ 14093.67849482]	[ 6.60928553] 	[ 100000.]         (5.9043372450178486,)
15 	50   	[ 2435.83882103] 	[ 14015.74078378]	[ 6.25942306] 	[ 100000.]         (5.9043372450178486,)
16 	50   	[ 270.69181759]  	[ 906.11312942]  	[ 6.32404446] 	[ 5410.04095288]   (5.9043372450178486,)
17 	50   	[ 154.05990153]  	[ 493.943784]    	[ 6.15122549] 	[ 3154.82146348]   (5.9043372450178486,)
18 	50   	[ 2065.60563115] 	[ 13991.98690277]	[ 6.18041933] 	[ 100000.]         (5.9043372450178486,)
19 	50   	[ 2070.17081892] 	[ 13991.51185734]	[ 6.3553968]  	[ 100000.]         (5.9043372450178486,)
20 	50   	[ 49.24073956]   	[ 131.40681189]  	[ 4.73940182] 	[ 771.0792781]     (4.7394018158762705,)
