In file included from /usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1804:0,
                 from /usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa4517.cpp:22:
/usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg              	std              	min           	max              
1  	50   	[ 38885.93188732]	[ 53464.36352929]	[ 12.36248844]	[ 167619.8605301] (12.362488444929742,)
2  	50   	[ 37594.73595692]	[ 55896.31083301]	[ 16.67406471]	[ 167717.03382542] (12.362488444929742,)
3  	50   	[ 34006.04706169]	[ 54422.76449477]	[ 11.71592091]	[ 167725.93732053] (11.715920905911936,)
4  	50   	[ 32354.79552231]	[ 52829.86800178]	[ 10.61766742]	[ 167206.36222274] (10.617667422934886,)
5  	50   	[ 27521.32927592]	[ 50916.51200595]	[ 16.89600745]	[ 167000.87847721] (10.617667422934886,)
6  	50   	[ 24365.1358032] 	[ 48000.78777082]	[ 13.3343971] 	[ 166990.39884024] (10.617667422934886,)
7  	50   	[ 22030.36450703]	[ 46313.94808465]	[ 9.30941191] 	[ 166989.58414082] (9.3094119068984185,)
8  	50   	[ 20956.13449106]	[ 42870.4691783] 	[ 13.61405752]	[ 166979.73051562] (9.3094119068984185,)
9  	50   	[ 21493.43260075]	[ 43525.42453108]	[ 7.83228333] 	[ 166971.05057058] (7.8322833299415819,)
10 	50   	[ 15483.62163527]	[ 37137.61047409]	[ 4.80405985] 	[ 166967.17517645] (4.8040598457833976,)
11 	50   	[ 10689.07559617]	[ 31379.73247129]	[ 3.22205975] 	[ 166963.55404805] (3.2220597479250506,)
12 	50   	[ 15053.60720259]	[ 36571.83513]   	[ 3.23318999] 	[ 166987.64591131] (3.2220597479250506,)
13 	50   	[ 8372.31170047] 	[ 28464.41787573]	[ 1.91751055] 	[ 166798.67537651] (1.9175105455544326,)
