In file included from /usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1804:0,
                 from /usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa4559.cpp:22:
/usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg              	std           	min           	max               
1  	50   	[ 62967.37136749]	[ 68985.95736]	[ 52.80001303]	[ 168206.05041442] (52.800013030897894,)
2  	50   	[ 55754.9016146] 	[ 66549.99197442]	[ 48.27795905]	[ 167243.45971084] (48.277959048395445,)
3  	50   	[ 49965.2583348] 	[ 65890.40264979]	[ 39.37772692]	[ 167244.56808408] (39.377726919139121,)
4  	50   	[ 35643.40870837]	[ 55088.89067]   	[ 34.2581153] 	[ 167208.50184209] (34.258115304007418,)
5  	50   	[ 26730.65311144]	[ 47250.60918758]	[ 31.95232299]	[ 166275.70400308] (31.952322987363523,)
6  	50   	[ 22406.0746233] 	[ 41845.72881471]	[ 31.5105775] 	[ 160624.62203346] (31.51057750115698,)
7  	50   	[ 20908.87729592]	[ 40650.30125288]	[ 32.51178734]	[ 157579.70275111] (31.51057750115698,)
8  	50   	[ 15372.70565989]	[ 36062.67659255]	[ 32.4190658] 	[ 153109.59155392] (31.51057750115698,)
9  	50   	[ 10627.25805902]	[ 29824.79263897]	[ 32.38842554]	[ 148164.81616604] (31.51057750115698,)
10 	50   	[ 12779.94507671]	[ 32622.12976479]	[ 29.87148544]	[ 141993.16817778] (29.871485441426923,)
11 	50   	[ 7375.22239786] 	[ 25055.36303621]	[ 27.39437634]	[ 135351.59327932] (27.394376335846218,)
12 	50   	[ 10148.34992558]	[ 29437.85657996]	[ 24.57433672]	[ 124704.54074603] (24.574336724846567,)
