In file included from /usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1804:0,
                 from /usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa4409.cpp:22:
/usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg              	std              	min          	max              
1  	50   	[ 85218.77773134]	[ 67413.41078296]	[ 25.7710447]	[ 168353.3389084] (25.771044695930222,)
2  	50   	[ 70773.58413177]	[ 65252.68677669]	[ 28.13979379]	[ 167962.04779697] (25.771044695930222,)
3  	50   	[ 57155.42248759]	[ 63568.61826841]	[ 27.76111789]	[ 167395.75355064] (25.771044695930222,)
4  	50   	[ 44049.34421679]	[ 58945.38323397]	[ 27.27067183]	[ 167218.28690696] (25.771044695930222,)
5  	50   	[ 35833.34540977]	[ 54592.68697098]	[ 27.08713491]	[ 167028.37658602] (25.771044695930222,)
6  	50   	[ 27769.38337099]	[ 50269.4368744] 	[ 25.8170314] 	[ 167033.36650256] (25.771044695930222,)
7  	50   	[ 23440.08927496]	[ 47095.14901185]	[ 25.53415858]	[ 167061.16712908] (25.534158580929152,)
8  	50   	[ 21567.24288253]	[ 44679.94947536]	[ 25.8777341] 	[ 167092.08564802] (25.534158580929152,)
9  	50   	[ 15914.14030588]	[ 39261.95124321]	[ 25.41722553]	[ 167125.76157813] (25.417225529166839,)
10 	50   	[ 10045.57840552]	[ 33978.14157221]	[ 25.5579423] 	[ 167084.48407948] (25.417225529166839,)
11 	50   	[ 11926.02157868]	[ 35794.27182174]	[ 23.63954382]	[ 167059.90647104] (23.639543823944436,)
