In file included from /usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1804:0,
                 from /usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa4566.cpp:22:
/usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg             	std              	min           	max              
1  	50   	[ 50371.7693536]	[ 63470.97662127]	[ 38.26921064]	[ 167035.5633174] (38.269210640317027,)
2  	50   	[ 43304.57526158]	[ 58835.92447929]	[ 41.2382821] 	[ 166968.34281586] (38.269210640317027,)
3  	50   	[ 34260.3773978] 	[ 52532.72223876]	[ 34.00537464]	[ 167007.74104731] (34.005374640216857,)
4  	50   	[ 25610.408398]  	[ 42260.3372464] 	[ 27.94709494]	[ 166261.38571861] (27.947094941776413,)
5  	50   	[ 20879.65018396]	[ 36953.39778162]	[ 37.38128807]	[ 132119.53283328] (27.947094941776413,)
6  	50   	[ 17652.4890064] 	[ 31914.75822299]	[ 25.09654428]	[ 108391.87050291] (25.096544280128686,)
7  	50   	[ 10136.4186716] 	[ 21553.89071229]	[ 25.3006237] 	[ 88848.24865386]  (25.096544280128686,)
8  	50   	[ 13128.65344983]	[ 26965.34121146]	[ 26.20654135]	[ 100000.]         (25.096544280128686,)
9  	50   	[ 6568.05853689] 	[ 16785.06496809]	[ 23.53722881]	[ 100000.]         (23.537228814029699,)
10 	50   	[ 3151.29342635] 	[ 7303.62267161] 	[ 22.04167533]	[ 35345.19994748]  (22.041675331254208,)
11 	50   	[ 4153.77678904] 	[ 14620.95824147]	[ 21.41614901]	[ 100000.]         (21.416149014005008,)
12 	50   	[ 7407.27306077] 	[ 23631.56817223]	[ 21.21485536]	[ 100000.]         (21.214855360004972,)
13 	50   	[ 890.91752715]  	[ 2166.75585455] 	[ 21.21606266]	[ 9880.68102822]   (21.214855360004972,)
14 	50   	[ 526.14852611]  	[ 1225.64081653] 	[ 19.79316111]	[ 5986.44813625]   (19.793161108416808,)
15 	50   	[ 4352.9119276]  	[ 19539.93033522]	[ 18.63553349]	[ 100000.]         (18.63553348638332,)
16 	50   	[ 4268.33527907] 	[ 19550.37000086]	[ 17.83860175]	[ 100000.]         (17.838601749794279,)
17 	50   	[ 2180.63502166] 	[ 13980.30357815]	[ 14.1001825] 	[ 100000.]         (14.100182500537622,)
18 	50   	[ 115.59113159]  	[ 240.11931034]  	[ 6.80601021] 	[ 1347.60900576]   (6.8060102132160374,)
19 	50   	[ 80.99667058]   	[ 140.15460515]  	[ 5.22026725] 	[ 753.68700143]    (5.2202672532265808,)
20 	50   	[ 2064.41224344] 	[ 13991.13234882]	[ 4.8981823]  	[ 100000.]         (4.8981823043064301,)
21 	50   	[ 4048.24173834] 	[ 19586.16344452]	[ 4.82002478] 	[ 100000.]         (4.8200247837904442,)
22 	50   	[ 4032.38005906] 	[ 19589.32902582]	[ 3.4542848]  	[ 100000.]         (3.4542848026550721,)
23 	50   	[ 6023.62564294] 	[ 23742.72369562]	[ 3.63753043] 	[ 100000.]         (3.4542848026550721,)
24 	50   	[ 20.36784986]   	[ 18.43774859]   	[ 4.92120715] 	[ 109.07620282]    (3.4542848026550721,)
25 	50   	[ 2015.89314517] 	[ 13997.73749714]	[ 3.29164831] 	[ 100000.]         (3.2916483129361382,)
26 	50   	[ 12.57738106]   	[ 14.32575782]   	[ 2.55518197] 	[ 95.55907771]     (2.555181969651926,)
27 	50   	[ 9.59866212]    	[ 12.364183]     	[ 1.71137708] 	[ 82.19213283]     (1.7113770781097424,)
28 	50   	[ 2008.51583573] 	[ 13998.78771805]	[ 1.35046071] 	[ 100000.]         (1.350460709790799,)
29 	50   	[ 2007.16437551] 	[ 13998.97932606]	[ 1.46447057] 	[ 100000.]         (1.350460709790799,)
30 	50   	[ 2005.54639075] 	[ 13999.20983201]	[ 1.11712734] 	[ 100000.]         (1.1171273384499409,)
31 	50   	[ 2004.89844722] 	[ 13999.3022027] 	[ 1.00689679] 	[ 100000.]         (1.0068967940673903,)
32 	50   	[ 2004.26584431] 	[ 13999.39195652]	[ 0.71396598] 	[ 100000.]         (0.71396597619685997,)
33 	50   	[ 2003.5312881]  	[ 13999.49647825]	[ 0.51879929] 	[ 100000.]         (0.51879928507391193,)
34 	50   	[ 2002.6278821]  	[ 13999.62507214]	[ 0.45662408] 	[ 100000.]         (0.45662407670449068,)
35 	50   	[ 8002.02692086] 	[ 27128.72239038]	[ 0.50305756] 	[ 100000.]         (0.45662407670449068,)
36 	50   	[ 20001.41472355]	[ 39999.29270188]	[ 0.46134354] 	[ 100000.]         (0.45662407670449068,)
37 	50   	[ 4001.28809197] 	[ 19595.65507557]	[ 0.42773273] 	[ 100000.]         (0.42773272766955744,)
38 	50   	[ 4001.34289917] 	[ 19595.6438467] 	[ 0.42066871] 	[ 100000.]         (0.42066871439284498,)
39 	50   	[ 12001.05045705]	[ 32495.7657198] 	[ 0.43952177] 	[ 100000.]         (0.42066871439284498,)
40 	50   	[ 10001.4758316] 	[ 29999.50810733]	[ 0.40520622] 	[ 100000.]         (0.40520621752257097,)
41 	50   	[ 1.1958032]     	[ 0.96418212]    	[ 0.42257956] 	[ 5.995058]        (0.40520621752257097,)
42 	50   	[ 6001.14888943] 	[ 23748.39393597]	[ 0.42537221] 	[ 100000.]         (0.40520621752257097,)
43 	50   	[ 6001.17705591] 	[ 23748.3868145] 	[ 0.40425214] 	[ 100000.]         (0.40425213751893113,)
44 	50   	[ 6000.90698834] 	[ 23748.45504011]	[ 0.36854602] 	[ 100000.]         (0.36854602190815106,)
45 	50   	[ 6000.91260237] 	[ 23748.45362103]	[ 0.36663016] 	[ 100000.]         (0.36663015638021285,)
46 	50   	[ 14000.78787072]	[ 34698.38526706]	[ 0.34091903] 	[ 100000.]         (0.34091902686508607,)
47 	50   	[ 8000.67202854] 	[ 27129.12176663]	[ 0.28837216] 	[ 100000.]         (0.28837216456272985,)
48 	50   	[ 4000.91052557] 	[ 19595.73209668]	[ 0.27343913] 	[ 100000.]         (0.27343912774750823,)
49 	50   	[ 6000.93214587] 	[ 23748.44868418]	[ 0.22351279] 	[ 100000.]         (0.2235127941528614,)
50 	50   	[ 4000.96983517] 	[ 19595.71999555]	[ 0.25147839] 	[ 100000.]         (0.2235127941528614,)
51 	50   	[ 10001.0082178] 	[ 29999.66394629]	[ 0.23439524] 	[ 100000.]         (0.2235127941528614,)
52 	50   	[ 2000.8007765]  	[ 13999.88561953]	[ 0.24990225] 	[ 100000.]         (0.2235127941528614,)
