In file included from /usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1804:0,
                 from /usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa4576.cpp:22:
/usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg              	std             	min           	max               
1  	50   	[ 56593.53974003]	[ 60629.9930938]	[ 30.66514529]	[ 167608.21715957] (30.665145288096852,)
2  	50   	[ 45721.9817829] 	[ 58880.40313872]	[ 5.58480568] 	[ 167280.15151247] (5.584805676249216,)
3  	50   	[ 39237.88037683]	[ 54283.54775822]	[ 28.37853165]	[ 167013.14704865] (5.584805676249216,)
4  	50   	[ 30615.47574944]	[ 50250.78575301]	[ 5.93114261] 	[ 167026.10089231] (5.584805676249216,)
5  	50   	[ 24504.59573299]	[ 45418.92340496]	[ 5.13722646] 	[ 167111.60784787] (5.1372264592813748,)
6  	50   	[ 20441.50441321]	[ 42926.2201534] 	[ 7.77136548] 	[ 167045.31464132] (5.1372264592813748,)
7  	50   	[ 24742.70868859]	[ 45566.67498585]	[ 6.42118293] 	[ 167005.92626904] (5.1372264592813748,)
8  	50   	[ 30143.51112481]	[ 47612.35124386]	[ 24.37654773]	[ 166984.46401736] (5.1372264592813748,)
9  	50   	[ 18073.02460036]	[ 40460.90839932]	[ 5.36499048] 	[ 166998.92377239] (5.1372264592813748,)
10 	50   	[ 26749.96767543]	[ 46241.40175188]	[ 32.95817742]	[ 167014.46119561] (5.1372264592813748,)
11 	50   	[ 17775.00888866]	[ 40382.17365698]	[ 13.44793004]	[ 166899.17227442] (5.1372264592813748,)
12 	50   	[ 16740.428706]  	[ 39694.60510249]	[ 12.71811087]	[ 166871.08197595] (5.1372264592813748,)
13 	50   	[ 15337.55900166]	[ 38975.7171513] 	[ 4.48937728] 	[ 165033.47127776] (4.4893772769358877,)
14 	50   	[ 9408.24793584] 	[ 29875.74108159]	[ 10.28681378]	[ 165087.06287817] (4.4893772769358877,)
15 	50   	[ 12884.11229979]	[ 34632.35701206]	[ 5.11832178] 	[ 164963.11532046] (4.4893772769358877,)
16 	50   	[ 10368.30942121]	[ 31538.03541482]	[ 10.60115995]	[ 156099.58316695] (4.4893772769358877,)
17 	50   	[ 9418.80480706] 	[ 27022.22957958]	[ 4.97940753] 	[ 100000.]         (4.4893772769358877,)
18 	50   	[ 6785.2110602]  	[ 23618.1233577] 	[ 1.94333198] 	[ 100000.]         (1.9433319822500188,)
