In file included from /usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1804:0,
                 from /usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa4577.cpp:22:
/usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg             	std             	min           	max               
1  	50   	[ 56910.0362894]	[ 63258.7558767]	[ 50.54779909]	[ 167577.48653519] (50.547799093432204,)
2  	50   	[ 51291.30785668]	[ 62401.10205336]	[ 50.78904467]	[ 167296.61251327] (50.547799093432204,)
3  	50   	[ 46994.70240037]	[ 60740.75600233]	[ 51.79323394]	[ 167199.37871422] (50.547799093432204,)
4  	50   	[ 43995.1591295] 	[ 57325.468491]  	[ 52.00622699]	[ 167133.42632669] (50.547799093432204,)
5  	50   	[ 33200.33147241]	[ 48904.47740194]	[ 51.94396081]	[ 167115.95514862] (50.547799093432204,)
6  	50   	[ 26089.68077598]	[ 42224.00009466]	[ 38.85071665]	[ 167130.53975002] (38.850716651584705,)
7  	50   	[ 21721.84990855]	[ 37904.90187766]	[ 40.05786848]	[ 166677.40522547] (38.850716651584705,)
8  	50   	[ 18511.40522662]	[ 31871.60852157]	[ 33.72592411]	[ 154161.76064677] (33.725924106758882,)
9  	50   	[ 11912.54742121]	[ 25603.07091185]	[ 26.72989008]	[ 154675.53751532] (26.729890079381303,)
10 	50   	[ 10301.56400939]	[ 25395.13166645]	[ 18.57818669]	[ 154658.37802974] (18.578186689664591,)
11 	50   	[ 9553.10429139] 	[ 27502.57677856]	[ 20.81434566]	[ 156333.79691227] (18.578186689664591,)
12 	50   	[ 6345.47580097] 	[ 18724.24181662]	[ 20.23914948]	[ 119484.59057562] (18.578186689664591,)
13 	50   	[ 4887.83370071] 	[ 13194.93461944]	[ 27.46515593]	[ 63168.70348869]  (18.578186689664591,)
14 	50   	[ 4464.78568291] 	[ 15021.85303295]	[ 19.12556476]	[ 100000.]         (18.578186689664591,)
15 	50   	[ 1647.35361716] 	[ 4935.70996954] 	[ 21.50837497]	[ 30871.06883794]  (18.578186689664591,)
16 	50   	[ 1246.40203118] 	[ 4066.42800562] 	[ 21.85929673]	[ 26748.00054022]  (18.578186689664591,)
17 	50   	[ 964.49771716]  	[ 3259.50111868] 	[ 27.16422605]	[ 21752.30754476]  (18.578186689664591,)
18 	50   	[ 742.03961934]  	[ 2304.64200477] 	[ 17.84257056]	[ 14230.44678058]  (17.842570560321391,)
19 	50   	[ 485.36913068]  	[ 1380.32388551] 	[ 21.93686693]	[ 7749.47512969]   (17.842570560321391,)
20 	50   	[ 4312.57532971] 	[ 19551.19017698]	[ 16.36367461]	[ 100000.]         (16.363674608622347,)
21 	50   	[ 223.8634463]   	[ 610.07775959]  	[ 15.02952152]	[ 3213.78424875]   (15.029521518224577,)
22 	50   	[ 137.58446141]  	[ 344.35742385]  	[ 17.50652818]	[ 1895.17859145]   (15.029521518224577,)
23 	50   	[ 4072.34531691] 	[ 19581.59756403]	[ 14.18469629]	[ 100000.]         (14.184696287525016,)
24 	50   	[ 2078.77670458] 	[ 13989.44519685]	[ 13.51444273]	[ 100000.]         (13.514442732426801,)
25 	50   	[ 60.99740707]   	[ 96.55688401]   	[ 13.42234269]	[ 438.08230176]    (13.422342685719133,)
26 	50   	[ 52.4834594]    	[ 77.77376329]   	[ 11.44528016]	[ 391.40929681]    (11.445280158794255,)
27 	50   	[ 40.23521755]   	[ 57.42120191]   	[ 7.56275012] 	[ 323.10615059]    (7.5627501215571744,)
28 	50   	[ 30.35623375]   	[ 40.66155854]   	[ 4.91641374] 	[ 208.57568075]    (4.916413739721694,)
