In file included from /usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1804:0,
                 from /usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa4588.cpp:22:
/usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg              	std              	min           	max               
1  	50   	[ 65068.73375801]	[ 65045.35732772]	[ 23.94393549]	[ 167421.42948395] (23.943935494916207,)
2  	50   	[ 52479.60002309]	[ 64780.37425742]	[ 25.57971947]	[ 167318.67985003] (23.943935494916207,)
3  	50   	[ 41742.03115979]	[ 61369.98035807]	[ 31.39525591]	[ 167356.54644358] (23.943935494916207,)
4  	50   	[ 39943.55369128]	[ 58634.80636191]	[ 26.61279102]	[ 167483.52869621] (23.943935494916207,)
5  	50   	[ 29335.68259619]	[ 55994.45726733]	[ 17.13815262]	[ 167646.99047549] (17.138152617619742,)
6  	50   	[ 27613.96409703]	[ 54732.98278071]	[ 13.13516908]	[ 167682.37346254] (13.135169079281102,)
7  	50   	[ 25820.84601778]	[ 52540.53384998]	[ 12.49637632]	[ 167661.25619872] (12.496376320911992,)
8  	50   	[ 14416.56549999]	[ 45126.18423388]	[ 13.89492313]	[ 167771.41015954] (12.496376320911992,)
9  	50   	[ 13872.50622575]	[ 45238.23635258]	[ 11.43464466]	[ 167781.73566988] (11.434644664600066,)
10 	50   	[ 13634.82797638]	[ 45032.18256728]	[ 10.96906711]	[ 167814.04278121] (10.969067112248222,)
11 	50   	[ 17242.85071694]	[ 47176.407769]  	[ 13.85086791]	[ 167802.51889681] (10.969067112248222,)
12 	50   	[ 14820.87594276]	[ 44686.71411588]	[ 10.99377988]	[ 167678.75592378] (10.969067112248222,)
13 	50   	[ 12748.60393445]	[ 42930.81715374]	[ 11.48429199]	[ 167731.73426883] (10.969067112248222,)
14 	50   	[ 12408.91767311]	[ 42082.12784367]	[ 10.95554225]	[ 167775.4396696]  (10.955542251173412,)
15 	50   	[ 10326.03437167]	[ 37093.96880382]	[ 13.11683217]	[ 167771.36774358] (10.955542251173412,)
16 	50   	[ 6644.53165667] 	[ 30397.64735089]	[ 12.32004993]	[ 167523.57807309] (10.955542251173412,)
17 	50   	[ 5022.41874813] 	[ 25459.18217354]	[ 10.96147708]	[ 164709.20470561] (10.955542251173412,)
18 	50   	[ 3207.36352812] 	[ 21698.3893832] 	[ 10.71772354]	[ 155093.24763431] (10.71772353757396,)
19 	50   	[ 1959.63122901] 	[ 13074.84524833]	[ 10.79370496]	[ 93480.62588065]  (10.71772353757396,)
20 	50   	[ 92.48704486]   	[ 115.26267437]  	[ 10.57117473]	[ 552.1104243]     (10.571174732767076,)
21 	50   	[ 78.99992483]   	[ 96.65313138]   	[ 10.33780048]	[ 430.58708038]    (10.337800479734256,)
22 	50   	[ 69.01046812]   	[ 91.52789613]   	[ 9.67255302] 	[ 403.41661301]    (9.6725530244565547,)
23 	50   	[ 56.90870447]   	[ 77.02594259]   	[ 9.76193653] 	[ 414.88453487]    (9.6725530244565547,)
24 	50   	[ 50.02531569]   	[ 76.56853099]   	[ 9.54319619] 	[ 503.38159723]    (9.5431961859869361,)
25 	50   	[ 41.04291538]   	[ 59.87769046]   	[ 9.01900739] 	[ 392.28534994]    (9.0190073920102112,)
26 	50   	[ 35.76618745]   	[ 57.71640541]   	[ 9.19456871] 	[ 373.6419643]     (9.0190073920102112,)
27 	50   	[ 32.42672587]   	[ 56.24816724]   	[ 8.77969741] 	[ 354.29228427]    (8.7796974127203171,)
28 	50   	[ 29.71784807]   	[ 55.03962479]   	[ 8.3367114]  	[ 313.24141239]    (8.3367113960008599,)
29 	50   	[ 26.9177324]    	[ 56.38379826]   	[ 6.80731539] 	[ 334.99749824]    (6.8073153900882453,)
30 	50   	[ 23.30559536]   	[ 47.13555078]   	[ 5.6836158]  	[ 270.937362]      (5.6836157968415986,)
31 	50   	[ 20.33724377]   	[ 43.06978115]   	[ 4.86535985] 	[ 253.78236323]    (4.865359847511578,)
32 	50   	[ 20.00658851]   	[ 48.85362391]   	[ 4.28988535] 	[ 290.20157443]    (4.2898853473047449,)
33 	50   	[ 21.07246625]   	[ 63.2839746]    	[ 3.47223031] 	[ 398.6414625]     (3.4722303149958487,)
34 	50   	[ 22.17679452]   	[ 82.11972977]   	[ 3.05172492] 	[ 561.77118355]    (3.0517249219163372,)
35 	50   	[ 20.19197317]   	[ 73.10572576]   	[ 2.56736646] 	[ 469.28953748]    (2.5673664576688635,)
36 	50   	[ 19.54125558]   	[ 67.4331567]    	[ 2.44699215] 	[ 395.74050417]    (2.4469921538283392,)
37 	50   	[ 17.30656028]   	[ 59.62136618]   	[ 2.34596697] 	[ 304.69088116]    (2.3459669650661841,)
38 	50   	[ 14.44175901]   	[ 51.48389061]   	[ 2.19335241] 	[ 302.01252299]    (2.1933524054012148,)
39 	50   	[ 12.34047636]   	[ 45.82066885]   	[ 1.91595061] 	[ 272.36561717]    (1.9159506093394749,)
40 	50   	[ 12.18941149]   	[ 47.33634939]   	[ 1.70830139] 	[ 246.49430171]    (1.7083013872720443,)
41 	50   	[ 12.91348415]   	[ 52.41561973]   	[ 1.38550341] 	[ 301.05821339]    (1.3855034076640083,)
42 	50   	[ 10.35361347]   	[ 41.44385169]   	[ 1.24641335] 	[ 231.33953591]    (1.2464133547205747,)
43 	50   	[ 8.06875628]    	[ 31.64835325]   	[ 0.94124705] 	[ 180.81028343]    (0.94124704822987204,)
44 	50   	[ 5.36760432]    	[ 20.03312941]   	[ 0.90715004] 	[ 111.46510515]    (0.90715004427468693,)
45 	50   	[ 4.55284388]    	[ 17.81389285]   	[ 0.83327731] 	[ 123.4942594]     (0.83327730878716477,)
46 	50   	[ 3.77231456]    	[ 16.13872965]   	[ 0.76071537] 	[ 116.34719989]    (0.76071536517413174,)
47 	50   	[ 3.22588186]    	[ 13.31548927]   	[ 0.72085455] 	[ 96.30914349]     (0.72085454518520253,)
48 	50   	[ 3.99526899]    	[ 18.98847626]   	[ 0.6543483]  	[ 136.83116432]    (0.65434830462871751,)
49 	50   	[ 3.76725652]    	[ 18.03275213]   	[ 0.66148081] 	[ 129.92819424]    (0.65434830462871751,)
50 	50   	[ 3.34014256]    	[ 15.82991211]   	[ 0.61589163] 	[ 114.05915865]    (0.61589163064420749,)
51 	50   	[ 5.17814086]    	[ 28.16281172]   	[ 0.61248391] 	[ 202.26213761]    (0.61248390752042381,)
52 	50   	[ 5.47513208]    	[ 30.56524189]   	[ 0.56814561] 	[ 219.38740539]    (0.56814561310376921,)
53 	50   	[ 4.70214765]    	[ 25.48438801]   	[ 0.54739565] 	[ 183.05412043]    (0.54739564714859534,)
54 	50   	[ 5.64551834]    	[ 32.28288021]   	[ 0.49594096] 	[ 231.5816387]     (0.49594096451150904,)
55 	50   	[ 5.69410599]    	[ 32.31242459]   	[ 0.49050694] 	[ 231.80741867]    (0.49050693636422921,)
56 	50   	[ 5.82361571]    	[ 32.71018664]   	[ 0.3686721]  	[ 234.6558841]     (0.36867209910161725,)
57 	50   	[ 2006.3724404]  	[ 13999.14074021]	[ 0.23792017] 	[ 100000.]         (0.23792017138291671,)
58 	50   	[ 7.15350117]    	[ 42.08287217]   	[ 0.16859075] 	[ 301.49973628]    (0.16859075337732563,)
59 	50   	[ 7.26563533]    	[ 46.72646303]   	[ 0.16735482] 	[ 334.3322612]     (0.16735482253559253,)
60 	50   	[ 5.86607463]    	[ 36.81398929]   	[ 0.13029852] 	[ 263.5461415]     (0.13029852244440077,)
61 	50   	[ 4.30947229]    	[ 24.17759967]   	[ 0.10854189] 	[ 173.42474804]    (0.10854188837426967,)
62 	50   	[ 3.52292575]    	[ 19.62924698]   	[ 0.12494703] 	[ 140.84434273]    (0.10854188837426967,)
63 	50   	[ 4005.79786185] 	[ 19594.7657975] 	[ 0.10647843] 	[ 100000.]         (0.10647842966340511,)
64 	50   	[ 2005.93122284] 	[ 13999.19680117]	[ 0.12013546] 	[ 100000.]         (0.10647842966340511,)
65 	50   	[ 2008.4791589]  	[ 13998.89192955]	[ 0.12341441] 	[ 100000.]         (0.10647842966340511,)
66 	50   	[ 7.61276648]    	[ 47.16734035]   	[ 0.08148307] 	[ 337.73369583]    (0.081483065083112149,)
67 	50   	[ 7.14702467]    	[ 43.66908126]   	[ 0.06761305] 	[ 312.75851671]    (0.067613053805141113,)
68 	50   	[ 7.31606302]    	[ 44.32222476]   	[ 0.07819986] 	[ 317.45452184]    (0.067613053805141113,)
69 	50   	[ 2007.75245868] 	[ 13998.97771068]	[ 0.08911757] 	[ 100000.]         (0.067613053805141113,)
70 	50   	[ 2009.02821568] 	[ 13998.83501583]	[ 0.0728849]  	[ 100000.]         (0.067613053805141113,)
71 	50   	[ 9.51836126]    	[ 61.97532323]   	[ 0.07222106] 	[ 443.28013955]    (0.067613053805141113,)
72 	50   	[ 6.08325355]    	[ 36.81759798]   	[ 0.08392329] 	[ 263.74021839]    (0.067613053805141113,)
73 	50   	[ 5.31178408]    	[ 31.99727328]   	[ 0.06462538] 	[ 229.22372855]    (0.064625380599346791,)
74 	50   	[ 4.31032908]    	[ 23.94354941]   	[ 0.07219544] 	[ 171.75621242]    (0.064625380599346791,)
75 	50   	[ 4.43757292]    	[ 26.28550737]   	[ 0.07405883] 	[ 188.34201814]    (0.064625380599346791,)
76 	50   	[ 2006.63912328] 	[ 13999.10928854]	[ 0.06635013] 	[ 100000.]         (0.064625380599346791,)
77 	50   	[ 5.52531643]    	[ 33.99710076]   	[ 0.07195795] 	[ 243.45978405]    (0.064625380599346791,)
78 	50   	[ 5.57545618]    	[ 32.89766465]   	[ 0.07649871] 	[ 235.7887025]     (0.064625380599346791,)
79 	50   	[ 5.17944132]    	[ 31.41131485]   	[ 0.07672997] 	[ 225.00472605]    (0.064625380599346791,)
80 	50   	[ 2004.8622554]  	[ 13999.33436571]	[ 0.06366583] 	[ 100000.]         (0.063665833876342712,)
81 	50   	[ 3.98985111]    	[ 23.15838952]   	[ 0.06747824] 	[ 166.01927105]    (0.063665833876342712,)
82 	50   	[ 3.72959216]    	[ 21.35106594]   	[ 0.06316872] 	[ 153.12035279]    (0.063168723039491656,)
83 	50   	[ 4.56382631]    	[ 26.273861]     	[ 0.05842562] 	[ 188.38379971]    (0.058425619030339167,)
84 	50   	[ 5.23509718]    	[ 33.07626633]   	[ 0.07090361] 	[ 236.72814834]    (0.058425619030339167,)
85 	50   	[ 6.27176312]    	[ 38.79771278]   	[ 0.07074112] 	[ 277.80492076]    (0.058425619030339167,)
86 	50   	[ 7.08633359]    	[ 45.80177949]   	[ 0.06969997] 	[ 327.66751425]    (0.058425619030339167,)
87 	50   	[ 7.41276465]    	[ 46.94887545]   	[ 0.09127709] 	[ 335.98232758]    (0.058425619030339167,)
88 	50   	[ 8.21498267]    	[ 51.26937978]   	[ 0.07939538] 	[ 367.04724528]    (0.058425619030339167,)
89 	50   	[ 6.17260433]    	[ 39.04183111]   	[ 0.07428683] 	[ 279.43199847]    (0.058425619030339167,)
90 	50   	[ 5.59242341]    	[ 32.33809706]   	[ 0.06632626] 	[ 231.80984379]    (0.058425619030339167,)
91 	50   	[ 4.36775677]    	[ 27.10921692]   	[ 0.06564512] 	[ 194.08902519]    (0.058425619030339167,)
92 	50   	[ 2005.7744754]  	[ 13999.21423807]	[ 0.07341747] 	[ 100000.]         (0.058425619030339167,)
93 	50   	[ 7.086617]      	[ 44.21821182]   	[ 0.07511369] 	[ 316.54855057]    (0.058425619030339167,)
94 	50   	[ 2007.54952248] 	[ 13999.00227796]	[ 0.06855934] 	[ 100000.]         (0.058425619030339167,)
95 	50   	[ 2007.42794851] 	[ 13999.0126321] 	[ 0.07760942] 	[ 100000.]         (0.058425619030339167,)
96 	50   	[ 7.9947007]     	[ 50.29168998]   	[ 0.06823868] 	[ 359.95298903]    (0.058425619030339167,)
97 	50   	[ 9.83902587]    	[ 63.47973372]   	[ 0.06472452] 	[ 454.1538338]     (0.058425619030339167,)
98 	50   	[ 8.79171463]    	[ 54.75524642]   	[ 0.0649052]  	[ 392.02509424]    (0.058425619030339167,)
99 	50   	[ 6.3472535]     	[ 38.60720231]   	[ 0.05876068] 	[ 276.44752407]    (0.058425619030339167,)
100	50   	[ 5.4260987]     	[ 31.91769013]   	[ 0.09050057] 	[ 228.75451878]    (0.058425619030339167,)
