In file included from /usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1804:0,
                 from /usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa4589.cpp:22:
/usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg              	std              	min          	max               
1  	50   	[ 56787.90137885]	[ 68602.13656074]	[ 38.4544435]	[ 167247.58034939] (38.454443503096577,)
2  	50   	[ 54949.19123692]	[ 65080.34219463]	[ 32.7090182]	[ 167260.6177682]  (32.709018199187923,)
3  	50   	[ 52572.36802206]	[ 61571.33370505]	[ 73.94825486]	[ 167294.86841531] (32.709018199187923,)
4  	50   	[ 50883.1986845] 	[ 61612.89849334]	[ 55.72470461]	[ 167344.01568393] (32.709018199187923,)
5  	50   	[ 41163.418661]  	[ 56978.93504807]	[ 51.5866456] 	[ 167371.3439851]  (32.709018199187923,)
6  	50   	[ 35637.56067164]	[ 53530.45239496]	[ 38.15322942]	[ 167362.96919416] (32.709018199187923,)
7  	50   	[ 32091.88372055]	[ 53855.47329654]	[ 27.56948571]	[ 167406.21037875] (27.569485712991387,)
8  	50   	[ 34205.71483592]	[ 54700.33379669]	[ 14.71994717]	[ 167369.83537032] (14.719947172784323,)
9  	50   	[ 28257.26182779]	[ 51058.44739286]	[ 16.8868676] 	[ 167201.14342588] (14.719947172784323,)
10 	50   	[ 22920.40665432]	[ 46173.12465318]	[ 14.72686489]	[ 167055.96432819] (14.719947172784323,)
11 	50   	[ 23604.63708806]	[ 46807.12686523]	[ 23.6366299] 	[ 166968.95627638] (14.719947172784323,)
12 	50   	[ 14464.55233247]	[ 37590.95321722]	[ 15.28968009]	[ 166989.74802079] (14.719947172784323,)
13 	50   	[ 15166.04040866]	[ 38985.38241993]	[ 13.98162724]	[ 166984.49326978] (13.981627240088777,)
14 	50   	[ 23620.5134619] 	[ 47333.10157625]	[ 14.77589105]	[ 165692.41557453] (13.981627240088777,)
15 	50   	[ 17300.67866306]	[ 39510.0414371] 	[ 18.56501351]	[ 165835.90987595] (13.981627240088777,)
16 	50   	[ 18280.67180949]	[ 40376.62365525]	[ 14.48219045]	[ 166366.02941988] (13.981627240088777,)
