In file included from /usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1804:0,
                 from /usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa4414.cpp:22:
/usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg              	std              	min        	max               
1  	50   	[ 63639.75398823]	[ 65364.14786597]	[ 3.726883]	[ 167229.78694987] (3.7268829969057649,)
2  	50   	[ 49113.350505]  	[ 61999.83585568]	[ 27.91472215]	[ 167248.45332661] (3.7268829969057649,)
3  	50   	[ 42564.19776373]	[ 60849.93624193]	[ 3.55492572] 	[ 167281.12010684] (3.5549257150095821,)
4  	50   	[ 38080.57045424]	[ 57818.94307762]	[ 12.97460103]	[ 167299.46113101] (3.5549257150095821,)
5  	50   	[ 38284.78730771]	[ 56474.99697097]	[ 5.57955792] 	[ 167338.37176378] (3.5549257150095821,)
6  	50   	[ 33630.87793461]	[ 51788.66582369]	[ 12.65212506]	[ 167354.75083737] (3.5549257150095821,)
7  	50   	[ 24724.50829246]	[ 48413.42785773]	[ 7.55931976] 	[ 167398.13957604] (3.5549257150095821,)
8  	50   	[ 20989.5410791] 	[ 47010.32491761]	[ 7.54080259] 	[ 167535.35969495] (3.5549257150095821,)
9  	50   	[ 19946.5942969] 	[ 46409.8737244] 	[ 7.92433125] 	[ 167001.54181817] (3.5549257150095821,)
10 	50   	[ 21720.4000165] 	[ 48591.28510386]	[ 2.73171733] 	[ 166989.39704305] (2.7317173297429185,)
11 	50   	[ 19083.79065516]	[ 46406.56338029]	[ 16.29465419]	[ 166728.21474132] (2.7317173297429185,)
12 	50   	[ 17572.55154474]	[ 45186.46718574]	[ 7.65174803] 	[ 166985.76538146] (2.7317173297429185,)
13 	50   	[ 16089.40212351]	[ 44683.79529443]	[ 5.81467211] 	[ 166998.01105965] (2.7317173297429185,)
14 	50   	[ 13362.01048449]	[ 42416.67224684]	[ 9.05584515] 	[ 166939.49556065] (2.7317173297429185,)
15 	50   	[ 15252.32683114]	[ 44547.36292134]	[ 2.79022504] 	[ 166647.4012378]  (2.7317173297429185,)
16 	50   	[ 13249.40250237]	[ 43263.96780547]	[ 19.18775764]	[ 166746.98534391] (2.7317173297429185,)
17 	50   	[ 9698.01974671] 	[ 35495.49367938]	[ 12.59423686]	[ 166876.45592254] (2.7317173297429185,)
18 	50   	[ 8673.62267583] 	[ 31197.53625869]	[ 5.79533304] 	[ 166968.80637745] (2.7317173297429185,)
19 	50   	[ 9393.06290239] 	[ 36216.26793009]	[ 3.63301054] 	[ 166978.13234922] (2.7317173297429185,)
20 	50   	[ 11897.47472367]	[ 40243.62963239]	[ 2.63848843] 	[ 166898.6392048]  (2.6384884279207697,)
21 	50   	[ 13352.23375648]	[ 40280.50538476]	[ 3.04818917] 	[ 166742.84968895] (2.6384884279207697,)
22 	50   	[ 4499.89315512] 	[ 23956.59971955]	[ 2.16617172] 	[ 165511.25375617] (2.1661717230153101,)
23 	50   	[ 9134.76995895] 	[ 30289.1565078] 	[ 3.21190362] 	[ 154976.71074087] (2.1661717230153101,)
24 	50   	[ 8380.14945206] 	[ 32147.98486183]	[ 2.25874476] 	[ 157472.0340187]  (2.1661717230153101,)
25 	50   	[ 3350.87867986] 	[ 21108.35885731]	[ 3.64848039] 	[ 150906.73596449] (2.1661717230153101,)
26 	50   	[ 2396.41743033] 	[ 15537.57571755]	[ 2.55483207] 	[ 111098.61648397] (2.1661717230153101,)
27 	50   	[ 6805.06964568] 	[ 27119.50955826]	[ 2.33650253] 	[ 145009.53737945] (2.1661717230153101,)
28 	50   	[ 7022.25853249] 	[ 27752.87251875]	[ 2.77556237] 	[ 135261.71269081] (2.1661717230153101,)
29 	50   	[ 6039.00092652] 	[ 23532.63210372]	[ 1.98479996] 	[ 100000.]         (1.9847999616648768,)
30 	50   	[ 7006.46054415] 	[ 27525.2670526] 	[ 2.24119985] 	[ 126315.05120412] (1.9847999616648768,)
31 	50   	[ 6751.46492556] 	[ 26561.58557987]	[ 1.744799]   	[ 139906.1691658]  (1.7447990000885261,)
32 	50   	[ 3127.0406183]  	[ 20727.48396158]	[ 1.51463587] 	[ 148169.48161849] (1.5146358720670616,)
33 	50   	[ 5064.05651244] 	[ 24459.51631059]	[ 1.63794596] 	[ 145494.58577748] (1.5146358720670616,)
34 	50   	[ 78.24696995]   	[ 171.25111258]  	[ 1.54767304] 	[ 765.68991731]    (1.5146358720670616,)
35 	50   	[ 1598.96808728] 	[ 10727.25611882]	[ 1.52125247] 	[ 76681.73048037]  (1.5146358720670616,)
36 	50   	[ 2972.77917643] 	[ 20413.58416902]	[ 1.49159464] 	[ 145864.2737414]  (1.4915946391174202,)
37 	50   	[ 65.12985425]   	[ 170.32969887]  	[ 1.63672846] 	[ 944.02600959]    (1.4915946391174202,)
38 	50   	[ 53.63288519]   	[ 139.0552411]   	[ 1.41276718] 	[ 751.56546535]    (1.4127671848016845,)
39 	50   	[ 2051.09955188] 	[ 13993.41991735]	[ 1.47538581] 	[ 100000.]         (1.4127671848016845,)
40 	50   	[ 47.58920595]   	[ 132.97323192]  	[ 1.39767347] 	[ 621.48048824]    (1.3976734655786591,)
41 	50   	[ 53.13952834]   	[ 153.78383075]  	[ 1.33800434] 	[ 855.25305888]    (1.3380043400176955,)
42 	50   	[ 49.94659942]   	[ 134.65673163]  	[ 1.38492708] 	[ 669.92115492]    (1.3380043400176955,)
43 	50   	[ 52.58008343]   	[ 147.12849625]  	[ 1.35290023] 	[ 649.10678513]    (1.3380043400176955,)
44 	50   	[ 2802.95386747] 	[ 14881.03650568]	[ 1.37524482] 	[ 100000.]         (1.3380043400176955,)
45 	50   	[ 4377.89962803] 	[ 21332.18371882]	[ 1.33111241] 	[ 117092.93799232] (1.3311124121959896,)
46 	50   	[ 4409.90191991] 	[ 21546.63318028]	[ 1.33160498] 	[ 119100.20592044] (1.3311124121959896,)
47 	50   	[ 32.57355991]   	[ 85.49201127]   	[ 1.36247215] 	[ 401.94660046]    (1.3311124121959896,)
48 	50   	[ 41.84076356]   	[ 122.02094585]  	[ 1.38889359] 	[ 646.33642732]    (1.3311124121959896,)
49 	50   	[ 45.67766457]   	[ 148.63905095]  	[ 1.31682845] 	[ 915.59598654]    (1.3168284476086316,)
50 	50   	[ 915.6798929]   	[ 6253.4993808]  	[ 1.38061938] 	[ 44688.22596976]  (1.3168284476086316,)
51 	50   	[ 26.55312945]   	[ 75.13658193]   	[ 1.39145347] 	[ 408.3141745]     (1.3168284476086316,)
52 	50   	[ 33.06414]      	[ 91.43366422]   	[ 1.31421258] 	[ 451.38031478]    (1.3142125834757561,)
53 	50   	[ 6925.3967544]  	[ 27799.32617387]	[ 1.26987281] 	[ 145044.12647577] (1.2698728087352746,)
54 	50   	[ 2235.82185092] 	[ 15501.85462087]	[ 1.28028861] 	[ 110747.94605602] (1.2698728087352746,)
55 	50   	[ 2195.15893568] 	[ 14028.23695456]	[ 1.24971366] 	[ 100000.]         (1.2497136572011778,)
56 	50   	[ 33.09680224]   	[ 110.22606983]  	[ 1.23324196] 	[ 612.28193604]    (1.233241960174664,)
57 	50   	[ 8322.96412181] 	[ 28233.02345383]	[ 1.23935336] 	[ 115406.22694475] (1.233241960174664,)
58 	50   	[ 22.19877702]   	[ 63.39316489]   	[ 1.26780289] 	[ 328.03999315]    (1.233241960174664,)
59 	50   	[ 20.42654666]   	[ 60.68071383]   	[ 1.23331602] 	[ 318.33587955]    (1.233241960174664,)
60 	50   	[ 24.60123972]   	[ 86.99412513]   	[ 1.19428268] 	[ 553.84379393]    (1.1942826761222796,)
61 	50   	[ 23.07042113]   	[ 74.83468998]   	[ 1.17848098] 	[ 464.54929678]    (1.1784809829743754,)
62 	50   	[ 2021.8653185]  	[ 13997.03524317]	[ 1.17614755] 	[ 100000.]         (1.1761475460479918,)
63 	50   	[ 2032.75712937] 	[ 13995.71258853]	[ 1.20195851] 	[ 100000.]         (1.1761475460479918,)
64 	50   	[ 29.88923969]   	[ 93.04259905]   	[ 1.22472117] 	[ 421.35998349]    (1.1761475460479918,)
65 	50   	[ 28.70673051]   	[ 88.37602927]   	[ 1.18359711] 	[ 437.08055361]    (1.1761475460479918,)
