In file included from /usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1804:0,
                 from /usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa4423.cpp:22:
/usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg             	std              	min          	max               
1  	50   	[ 54885.8740396]	[ 68297.76115246]	[ 40.8766794]	[ 167328.22871382] (40.876679404626294,)
2  	50   	[ 44690.04977484]	[ 64525.17070499]	[ 34.13635904]	[ 167025.80893952] (34.136359037466278,)
3  	50   	[ 41573.13090922]	[ 59711.44837641]	[ 32.1727243] 	[ 167020.51575152] (32.17272430225669,)
4  	50   	[ 35963.03921849]	[ 55095.0855165] 	[ 18.13257868]	[ 167029.20334142] (18.132578682559711,)
5  	50   	[ 28159.92440036]	[ 49367.53323232]	[ 9.22086914] 	[ 167043.84581571] (9.22086913629688,)
6  	50   	[ 24322.14208498]	[ 46218.18262544]	[ 10.90393787]	[ 167061.75752307] (9.22086913629688,)
7  	50   	[ 18902.27631028]	[ 39635.80741003]	[ 7.99918037] 	[ 166967.08829245] (7.9991803728524573,)
8  	50   	[ 13095.46527916]	[ 33793.08133262]	[ 7.9266171]  	[ 166724.526625]   (7.9266170993070038,)
9  	50   	[ 17843.2900857] 	[ 38338.11745038]	[ 13.11723409]	[ 166699.4464319]  (7.9266170993070038,)
10 	50   	[ 12623.95782703]	[ 33453.37739146]	[ 10.28557335]	[ 166944.27346176] (7.9266170993070038,)
11 	50   	[ 9393.20735643] 	[ 29030.75878067]	[ 7.48344503] 	[ 165871.51873245] (7.483445027551558,)
12 	50   	[ 7559.72801952] 	[ 26037.15603014]	[ 9.38536532] 	[ 164025.35059416] (7.483445027551558,)
13 	50   	[ 6025.40049438] 	[ 23664.57435819]	[ 8.31810578] 	[ 158305.38291986] (7.483445027551558,)
14 	50   	[ 4820.44472638] 	[ 19659.73168181]	[ 8.96453457] 	[ 132453.27318729] (7.483445027551558,)
15 	50   	[ 1907.79485746] 	[ 6527.30509621] 	[ 6.80944686] 	[ 32243.60376893]  (6.8094468604743135,)
16 	50   	[ 1516.90652729] 	[ 5452.98412812] 	[ 6.11449553] 	[ 32184.3762678]   (6.1144955278071267,)
17 	50   	[ 986.51903959]  	[ 3677.38958708] 	[ 6.17962039] 	[ 23453.34855088]  (6.1144955278071267,)
18 	50   	[ 596.51256637]  	[ 2235.82494954] 	[ 6.15018906] 	[ 14417.23656294]  (6.1144955278071267,)
19 	50   	[ 321.34341354]  	[ 1113.38617374] 	[ 6.76688641] 	[ 6869.11212876]   (6.1144955278071267,)
20 	50   	[ 206.79281765]  	[ 613.27095192]  	[ 5.45660032] 	[ 3589.82765895]   (5.4566003208441813,)
21 	50   	[ 152.67684982]  	[ 402.01825243]  	[ 5.25354809] 	[ 1862.21201834]   (5.2535480877713461,)
22 	50   	[ 87.91247404]   	[ 223.35747997]  	[ 5.53888138] 	[ 1223.48506835]   (5.2535480877713461,)
23 	50   	[ 47.91344]      	[ 105.82995369]  	[ 5.45871602] 	[ 554.54964629]    (5.2535480877713461,)
24 	50   	[ 30.78324577]   	[ 52.67403482]   	[ 4.60183783] 	[ 259.33990234]    (4.6018378288327817,)
25 	50   	[ 21.17900047]   	[ 28.4809652]    	[ 4.25728482] 	[ 162.34533398]    (4.2572848199931901,)
26 	50   	[ 15.35901296]   	[ 19.45086881]   	[ 3.10435728] 	[ 113.3483118]     (3.1043572785332985,)
27 	50   	[ 10.82684498]   	[ 12.60466564]   	[ 2.38756663] 	[ 60.7891619]      (2.3875666308498724,)
28 	50   	[ 2007.13259096] 	[ 13998.98341179]	[ 1.68050915] 	[ 100000.]         (1.6805091516179071,)
29 	50   	[ 6.1018799]     	[ 9.50001899]    	[ 1.74079498] 	[ 56.64624455]     (1.6805091516179071,)
30 	50   	[ 5.27123841]    	[ 8.70046253]    	[ 1.5208573]  	[ 50.47042629]     (1.5208572998825236,)
31 	50   	[ 4.85133754]    	[ 8.69489524]    	[ 1.49831375] 	[ 52.71338782]     (1.49831375392609,)
32 	50   	[ 4.42510837]    	[ 9.30200238]    	[ 1.38899435] 	[ 54.51285797]     (1.3889943510276548,)
33 	50   	[ 4.53605773]    	[ 9.72546739]    	[ 1.34096522] 	[ 60.46380745]     (1.340965220032162,)
34 	50   	[ 4.01893567]    	[ 9.49304309]    	[ 1.25555653] 	[ 52.62125676]     (1.2555565305145397,)
35 	50   	[ 4.04232632]    	[ 10.62361539]   	[ 1.13303831] 	[ 56.89609695]     (1.1330383128650914,)
36 	50   	[ 5.01054498]    	[ 10.24898184]   	[ 1.16975326] 	[ 61.07680995]     (1.1330383128650914,)
37 	50   	[ 5.82915181]    	[ 10.02812985]   	[ 1.09527259] 	[ 59.49975206]     (1.0952725890381239,)
38 	50   	[ 3.51670554]    	[ 8.20697631]    	[ 1.10390711] 	[ 47.94804756]     (1.0952725890381239,)
39 	50   	[ 3.10405253]    	[ 8.11525017]    	[ 0.98139005] 	[ 45.06292587]     (0.98139005359081877,)
40 	50   	[ 3.03795635]    	[ 8.01729974]    	[ 0.91505729] 	[ 44.36832291]     (0.91505728933798047,)
41 	50   	[ 3.29666179]    	[ 7.97192105]    	[ 0.91991833] 	[ 42.38223669]     (0.91505728933798047,)
42 	50   	[ 3.29127213]    	[ 8.02456774]    	[ 0.87309584] 	[ 49.17038607]     (0.87309584047885047,)
43 	50   	[ 3.4234283]     	[ 8.89075304]    	[ 0.82939255] 	[ 47.36553875]     (0.82939255103898457,)
44 	50   	[ 3.52497087]    	[ 9.31641026]    	[ 0.82517516] 	[ 52.54904422]     (0.82517515515253126,)
45 	50   	[ 2.86036671]    	[ 6.87881074]    	[ 0.78062327] 	[ 38.7331242]      (0.78062326807733984,)
46 	50   	[ 2.73422002]    	[ 7.36548644]    	[ 0.7274088]  	[ 45.85695901]     (0.7274088024910037,)
47 	50   	[ 2.75449345]    	[ 7.71013385]    	[ 0.71545041] 	[ 51.55850554]     (0.71545040597628551,)
48 	50   	[ 2.68322136]    	[ 7.90519087]    	[ 0.66608493] 	[ 54.59191318]     (0.66608492506481431,)
49 	50   	[ 2.43313243]    	[ 6.3880004]     	[ 0.63165444] 	[ 44.08633977]     (0.63165443877161609,)
50 	50   	[ 2.94662959]    	[ 6.22635896]    	[ 0.47804641] 	[ 42.08215284]     (0.47804640698899281,)
51 	50   	[ 2.1920328]     	[ 6.52353013]    	[ 0.48701017] 	[ 47.43536556]     (0.47804640698899281,)
52 	50   	[ 2.01583038]    	[ 6.60023267]    	[ 0.48266693] 	[ 48.02324439]     (0.47804640698899281,)
53 	50   	[ 2.17148825]    	[ 6.79406204]    	[ 0.38396663] 	[ 49.21528112]     (0.38396663319420271,)
54 	50   	[ 2.00796728]    	[ 4.33461154]    	[ 0.44032809] 	[ 29.80541991]     (0.38396663319420271,)
55 	50   	[ 3.27050206]    	[ 6.55437727]    	[ 0.38568306] 	[ 37.81345007]     (0.38396663319420271,)
56 	50   	[ 2.53016482]    	[ 5.31919077]    	[ 0.30197326] 	[ 31.59811329]     (0.30197325552531562,)
57 	50   	[ 2.32843466]    	[ 4.15693721]    	[ 0.18233008] 	[ 26.26632021]     (0.18233008265987777,)
58 	50   	[ 2.13833032]    	[ 3.45076779]    	[ 0.24817718] 	[ 22.97514614]     (0.18233008265987777,)
59 	50   	[ 1.94152726]    	[ 4.71721787]    	[ 0.2091527]  	[ 33.27853149]     (0.18233008265987777,)
60 	50   	[ 2.28900518]    	[ 5.85603075]    	[ 0.20365419] 	[ 35.64723249]     (0.18233008265987777,)
61 	50   	[ 1.61870373]    	[ 2.67126914]    	[ 0.20502673] 	[ 15.31978342]     (0.18233008265987777,)
62 	50   	[ 1.70037153]    	[ 2.38832997]    	[ 0.1935185]  	[ 13.96280969]     (0.18233008265987777,)
63 	50   	[ 1.3022705]     	[ 1.82410942]    	[ 0.18500726] 	[ 10.61406121]     (0.18233008265987777,)
64 	50   	[ 1.2563886]     	[ 2.04192038]    	[ 0.1714913]  	[ 10.30786848]     (0.17149130216630062,)
65 	50   	[ 1.97719479]    	[ 3.15454306]    	[ 0.19843871] 	[ 18.06280525]     (0.17149130216630062,)
66 	50   	[ 3.44073624]    	[ 5.92415487]    	[ 0.21358432] 	[ 28.13274774]     (0.17149130216630062,)
67 	50   	[ 2.06064319]    	[ 3.31940018]    	[ 0.195084]   	[ 15.30518814]     (0.17149130216630062,)
68 	50   	[ 1.09795121]    	[ 1.69661491]    	[ 0.1657684]  	[ 11.00154832]     (0.16576839754782835,)
69 	50   	[ 1.16854518]    	[ 1.54838268]    	[ 0.20960839] 	[ 7.86420536]      (0.16576839754782835,)
70 	50   	[ 2.24993428]    	[ 4.92232907]    	[ 0.14602742] 	[ 29.96061472]     (0.14602741959972482,)
71 	50   	[ 3.42770198]    	[ 5.52443116]    	[ 0.13566629] 	[ 24.02610033]     (0.13566629315882298,)
72 	50   	[ 2.21414557]    	[ 3.3475705]     	[ 0.17910285] 	[ 15.3146829]      (0.13566629315882298,)
73 	50   	[ 1.23531012]    	[ 1.79955781]    	[ 0.14018305] 	[ 9.85992527]      (0.13566629315882298,)
74 	50   	[ 1.0527382]     	[ 1.46916782]    	[ 0.12776759] 	[ 8.96798376]      (0.12776759255642761,)
75 	50   	[ 1.13308338]    	[ 1.64119061]    	[ 0.15159321] 	[ 10.80028856]     (0.12776759255642761,)
76 	50   	[ 1.81268643]    	[ 4.83861413]    	[ 0.14457645] 	[ 33.5894182]      (0.12776759255642761,)
77 	50   	[ 2.64554024]    	[ 5.30838738]    	[ 0.13184674] 	[ 30.22046659]     (0.12776759255642761,)
78 	50   	[ 1.25441205]    	[ 2.11930114]    	[ 0.14073085] 	[ 11.11660464]     (0.12776759255642761,)
79 	50   	[ 2.0863918]     	[ 4.41681922]    	[ 0.1241987]  	[ 25.46691391]     (0.12419870137153699,)
80 	50   	[ 1.17034033]    	[ 1.45070587]    	[ 0.14677077] 	[ 8.44775995]      (0.12419870137153699,)
81 	50   	[ 1.40325121]    	[ 2.05443143]    	[ 0.12752295] 	[ 12.53036749]     (0.12419870137153699,)
82 	50   	[ 1.82936093]    	[ 2.80875823]    	[ 0.14454173] 	[ 14.23534117]     (0.12419870137153699,)
83 	50   	[ 1.40631424]    	[ 2.00092161]    	[ 0.13385632] 	[ 8.60129567]      (0.12419870137153699,)
84 	50   	[ 1.7545563]     	[ 3.40625497]    	[ 0.12511794] 	[ 18.1378301]      (0.12419870137153699,)
85 	50   	[ 0.90578313]    	[ 1.01070709]    	[ 0.11050854] 	[ 3.82306899]      (0.11050853687079959,)
86 	50   	[ 0.74581932]    	[ 0.85407789]    	[ 0.12761645] 	[ 4.34115959]      (0.11050853687079959,)
87 	50   	[ 0.90316506]    	[ 1.28130024]    	[ 0.13675393] 	[ 7.01182257]      (0.11050853687079959,)
88 	50   	[ 1.79921218]    	[ 3.89221806]    	[ 0.10687725] 	[ 17.81507977]     (0.10687725051286603,)
89 	50   	[ 2.96301176]    	[ 4.22612523]    	[ 0.12666063] 	[ 20.08978521]     (0.10687725051286603,)
90 	50   	[ 2.76272956]    	[ 4.42058376]    	[ 0.1435037]  	[ 19.52147052]     (0.10687725051286603,)
91 	50   	[ 1.7065845]     	[ 2.46399911]    	[ 0.12411588] 	[ 10.92222131]     (0.10687725051286603,)
92 	50   	[ 2.09326402]    	[ 3.74461847]    	[ 0.12174295] 	[ 22.7852003]      (0.10687725051286603,)
93 	50   	[ 2.72382615]    	[ 4.63725707]    	[ 0.14991788] 	[ 20.0744529]      (0.10687725051286603,)
94 	50   	[ 2.5913974]     	[ 4.65085244]    	[ 0.10843726] 	[ 22.30269421]     (0.10687725051286603,)
95 	50   	[ 2.1137921]     	[ 4.49681228]    	[ 0.13368636] 	[ 24.34821016]     (0.10687725051286603,)
96 	50   	[ 1.55471674]    	[ 2.52588361]    	[ 0.13283526] 	[ 9.25852443]      (0.10687725051286603,)
97 	50   	[ 2.01768902]    	[ 3.77885772]    	[ 0.12462963] 	[ 21.77690268]     (0.10687725051286603,)
98 	50   	[ 3.47235514]    	[ 6.40764997]    	[ 0.13564015] 	[ 32.13743868]     (0.10687725051286603,)
99 	50   	[ 3.47999732]    	[ 6.22851956]    	[ 0.13253563] 	[ 29.42182392]     (0.10687725051286603,)
100	50   	[ 2.75582931]    	[ 5.64374245]    	[ 0.12310011] 	[ 25.23499427]     (0.10687725051286603,)
