In file included from /usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1804:0,
                 from /usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa4399.cpp:22:
/usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg              	std             	min          	max               
1  	50   	[ 46837.74491365]	[ 66475.7451625]	[ 2.59048788]	[ 167019.59172096] (2.5904878831672904,)
2  	50   	[ 39675.90804982]	[ 62091.47253246]	[ 4.7824154] 	[ 167028.2687296]  (2.5904878831672904,)
3  	50   	[ 36441.56076351]	[ 58156.93456175]	[ 4.790543]  	[ 167020.58955683] (2.5904878831672904,)
4  	50   	[ 32531.75906152]	[ 54185.56809986]	[ 2.23062666]	[ 167001.00077325] (2.2306266644174428,)
5  	50   	[ 26388.80013044]	[ 50093.16508248]	[ 2.77259582]	[ 167032.84357592] (2.2306266644174428,)
6  	50   	[ 22383.9980168] 	[ 46411.26853687]	[ 1.70810739]	[ 166998.51258834] (1.7081073886451117,)
7  	50   	[ 21006.48850683]	[ 44520.53883786]	[ 1.43340064]	[ 167011.44133002] (1.4334006439336804,)
8  	50   	[ 14654.72022644]	[ 41332.65144106]	[ 1.74964708]	[ 167088.08259443] (1.4334006439336804,)
9  	50   	[ 13426.70481284]	[ 41228.86645127]	[ 1.8251125] 	[ 167060.18740648] (1.4334006439336804,)
10 	50   	[ 11009.48404709]	[ 39320.24824541]	[ 2.0289942] 	[ 167077.72675309] (1.4334006439336804,)
11 	50   	[ 12643.89060322]	[ 41252.03764361]	[ 1.77506846]	[ 167082.39583969] (1.4334006439336804,)
12 	50   	[ 16376.34974613]	[ 44665.43309761]	[ 2.48289728]	[ 167034.74713497] (1.4334006439336804,)
13 	50   	[ 12862.30191514]	[ 38959.52322063]	[ 12.02405695]	[ 167005.78889058] (1.4334006439336804,)
14 	50   	[ 14612.70203715]	[ 40356.8100342] 	[ 1.88152443] 	[ 166882.64673517] (1.4334006439336804,)
15 	50   	[ 18449.66406057]	[ 43161.80982153]	[ 1.29749485] 	[ 166964.6735643]  (1.2974948456529272,)
16 	50   	[ 6579.62386909] 	[ 31739.16532417]	[ 1.79815458] 	[ 166561.35417318] (1.2974948456529272,)
