In file included from /usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1804:0,
                 from /usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa4463.cpp:22:
/usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg              	std            	min          	max               
1  	50   	[ 44177.10792194]	[ 60191.902468]	[ 6.28693404]	[ 167111.70824364] (6.2869340394430839,)
2  	50   	[ 39167.85782783]	[ 57960.60672255]	[ 6.53943155]	[ 167184.256387]   (6.2869340394430839,)
3  	50   	[ 37194.12607457]	[ 54033.74777828]	[ 6.33870538]	[ 167231.99336726] (6.2869340394430839,)
4  	50   	[ 27202.24053792]	[ 45609.14743911]	[ 7.4559273] 	[ 167227.76385989] (6.2869340394430839,)
5  	50   	[ 22402.56943984]	[ 41828.18069693]	[ 7.84708881]	[ 167175.23982472] (6.2869340394430839,)
6  	50   	[ 19481.66857419]	[ 39500.41599772]	[ 6.02907192]	[ 167107.50787913] (6.0290719161142281,)
7  	50   	[ 19464.80194665]	[ 40741.02196022]	[ 5.975921]  	[ 166937.52392914] (5.9759210028757117,)
8  	50   	[ 14356.48010683]	[ 33296.94157443]	[ 7.35954651]	[ 166942.10518905] (5.9759210028757117,)
9  	50   	[ 7802.06173316] 	[ 24470.85519989]	[ 4.91053298]	[ 166938.72475751] (4.9105329756513019,)
10 	50   	[ 8144.08148497] 	[ 27042.46546942]	[ 3.71806724]	[ 166935.16203841] (3.7180672402853263,)
11 	50   	[ 5055.20187047] 	[ 23381.29353157]	[ 3.81534179]	[ 166943.69302163] (3.7180672402853263,)
12 	50   	[ 8272.04821908] 	[ 29906.54199795]	[ 3.7423165] 	[ 166952.95315273] (3.7180672402853263,)
13 	50   	[ 4039.44491062] 	[ 23327.20735104]	[ 4.8457928] 	[ 166949.3373342]  (3.7180672402853263,)
14 	50   	[ 3832.01387623] 	[ 23229.68758494]	[ 3.92523112]	[ 166224.96201631] (3.7180672402853263,)
15 	50   	[ 4308.46961997] 	[ 19355.59993076]	[ 3.73578408]	[ 100000.]         (3.7180672402853263,)
16 	50   	[ 300.91295539]  	[ 576.20187802]  	[ 3.73305764]	[ 2608.50849011]   (3.7180672402853263,)
17 	50   	[ 166.64325567]  	[ 255.15229899]  	[ 3.95915005]	[ 1133.28288828]   (3.7180672402853263,)
18 	50   	[ 124.34049297]  	[ 191.16443558]  	[ 3.31461418]	[ 929.05426491]    (3.3146141801753997,)
19 	50   	[ 81.49210885]   	[ 118.88408928]  	[ 3.07780209]	[ 690.66090099]    (3.0778020873086995,)
20 	50   	[ 52.40425073]   	[ 52.8701037]    	[ 2.9883261] 	[ 278.48677134]    (2.9883260989263101,)
21 	50   	[ 36.11879638]   	[ 27.61223955]   	[ 3.051411]  	[ 118.51899433]    (2.9883260989263101,)
22 	50   	[ 29.1984851]    	[ 21.35026331]   	[ 2.87790602]	[ 94.4646296]      (2.8779060210636125,)
23 	50   	[ 24.67427912]   	[ 19.34579045]   	[ 2.88267548]	[ 87.46240202]     (2.8779060210636125,)
24 	50   	[ 20.48908341]   	[ 17.27191928]   	[ 2.73486162]	[ 92.08602861]     (2.7348616198534064,)
25 	50   	[ 16.20014405]   	[ 16.27043997]   	[ 2.14073444]	[ 97.22905025]     (2.1407344352974338,)
26 	50   	[ 12.79362839]   	[ 14.92173226]   	[ 2.15537531]	[ 92.64479843]     (2.1407344352974338,)
27 	50   	[ 11.00297764]   	[ 14.66305323]   	[ 1.70086309]	[ 80.92328431]     (1.7008630894963361,)
28 	50   	[ 9.20566395]    	[ 13.95827427]   	[ 1.53041087]	[ 63.31455497]     (1.5304108700410122,)
29 	50   	[ 7.98059489]    	[ 13.96414308]   	[ 1.48947436]	[ 79.67822623]     (1.4894743591179262,)
30 	50   	[ 7.35298445]    	[ 18.21713539]   	[ 1.42979183]	[ 121.41215981]    (1.4297918317724521,)
31 	50   	[ 6.15032294]    	[ 17.42991743]   	[ 1.21229381]	[ 118.76337592]    (1.2122938088782942,)
32 	50   	[ 4.7326034]     	[ 12.03589419]   	[ 1.08836133]	[ 81.50084496]     (1.0883613269943155,)
33 	50   	[ 4.10973741]    	[ 10.86194205]   	[ 1.05392543]	[ 73.59237421]     (1.0539254344249636,)
34 	50   	[ 3.41549804]    	[ 9.33582825]    	[ 1.03346531]	[ 61.29967161]     (1.0334653056837533,)
35 	50   	[ 3.15293898]    	[ 8.33787319]    	[ 0.95583605]	[ 50.764528]       (0.9558360485478743,)
36 	50   	[ 3.5376844]     	[ 9.52846844]    	[ 1.0049651] 	[ 60.02747736]     (0.9558360485478743,)
37 	50   	[ 4.10584921]    	[ 12.67088553]   	[ 0.98900442]	[ 86.20555082]     (0.9558360485478743,)
38 	50   	[ 3.81217608]    	[ 13.07010865]   	[ 0.98486083]	[ 91.82916503]     (0.9558360485478743,)
39 	50   	[ 3.50326064]    	[ 11.21116977]   	[ 0.94968664]	[ 77.47047187]     (0.94968663831881084,)
40 	50   	[ 3.42528119]    	[ 10.85012401]   	[ 0.93791104]	[ 72.53851545]     (0.93791103565278355,)
41 	50   	[ 3.16030989]    	[ 8.64063734]    	[ 0.94392787]	[ 49.77279192]     (0.93791103565278355,)
42 	50   	[ 2.9589369]     	[ 7.71115958]    	[ 0.93486237]	[ 48.66661409]     (0.93486236994312766,)
43 	50   	[ 3.30234781]    	[ 9.24168686]    	[ 0.93164986]	[ 59.68545671]     (0.93164985542486101,)
44 	50   	[ 2.77382629]    	[ 7.46833768]    	[ 0.92034353]	[ 46.31906076]     (0.92034352564025845,)
45 	50   	[ 2.72259318]    	[ 6.56494387]    	[ 0.91180028]	[ 34.81877043]     (0.9118002771580177,)
46 	50   	[ 3.37339967]    	[ 9.84488452]    	[ 0.92473063]	[ 53.47999044]     (0.9118002771580177,)
47 	50   	[ 3.72142998]    	[ 10.9602967]    	[ 0.9108074] 	[ 58.50118218]     (0.91080739632177721,)
48 	50   	[ 3.4497393]     	[ 10.86318155]   	[ 0.89989142]	[ 60.64719606]     (0.89989141817166707,)
49 	50   	[ 3.6630381]     	[ 10.57001001]   	[ 0.9276756] 	[ 60.99640436]     (0.89989141817166707,)
50 	50   	[ 3.74333299]    	[ 10.81974298]   	[ 0.89307176]	[ 66.84191794]     (0.89307175552244045,)
51 	50   	[ 3.57744071]    	[ 10.74316842]   	[ 0.91150184]	[ 61.17297158]     (0.89307175552244045,)
52 	50   	[ 3.59195239]    	[ 10.48425705]   	[ 0.90688109]	[ 65.91914101]     (0.89307175552244045,)
53 	50   	[ 3.61392083]    	[ 10.70999479]   	[ 0.90110578]	[ 67.4895174]      (0.89307175552244045,)
54 	50   	[ 3.04568505]    	[ 8.96162015]    	[ 0.89874627]	[ 53.18151799]     (0.89307175552244045,)
55 	50   	[ 3.33922497]    	[ 9.24777413]    	[ 0.91607711]	[ 49.25533594]     (0.89307175552244045,)
56 	50   	[ 3.57070456]    	[ 11.58781736]   	[ 0.88929594]	[ 75.38947199]     (0.88929593795570294,)
57 	50   	[ 3.35680388]    	[ 11.1371837]    	[ 0.87459762]	[ 74.73599443]     (0.87459761614119624,)
58 	50   	[ 3.47063152]    	[ 12.76345839]   	[ 0.8596801] 	[ 90.04851014]     (0.85968010044121923,)
59 	50   	[ 2.94722346]    	[ 9.56272987]    	[ 0.88254209]	[ 66.01833931]     (0.85968010044121923,)
60 	50   	[ 3.78840012]    	[ 12.07205698]   	[ 0.86958522]	[ 81.3903608]      (0.85968010044121923,)
61 	50   	[ 4.2598352]     	[ 14.76535444]   	[ 0.86144704]	[ 95.80892603]     (0.85968010044121923,)
62 	50   	[ 3.90654436]    	[ 13.48549829]   	[ 0.85386435]	[ 87.42804161]     (0.85386435200473387,)
63 	50   	[ 5.11064542]    	[ 20.18146681]   	[ 0.8294582] 	[ 135.41150176]    (0.8294582004340344,)
64 	50   	[ 4.36894633]    	[ 15.63651692]   	[ 0.81689342]	[ 99.63964901]     (0.81689341572471763,)
65 	50   	[ 4.31777565]    	[ 15.63594063]   	[ 0.81443111]	[ 96.73895965]     (0.81443110708843458,)
66 	50   	[ 4.36449844]    	[ 14.8372799]    	[ 0.81748338]	[ 82.11983508]     (0.81443110708843458,)
67 	50   	[ 4.51240439]    	[ 16.00747016]   	[ 0.78131755]	[ 86.7173471]      (0.78131754697008615,)
68 	50   	[ 4.15907902]    	[ 13.8447438]    	[ 0.80552462]	[ 75.76161875]     (0.78131754697008615,)
69 	50   	[ 3.82315902]    	[ 12.126833]     	[ 0.77937817]	[ 69.7855457]      (0.77937817223817252,)
70 	50   	[ 3.62294974]    	[ 10.8335704]    	[ 0.79223378]	[ 59.00702407]     (0.77937817223817252,)
71 	50   	[ 3.72730721]    	[ 11.85171743]   	[ 0.78382498]	[ 66.19956652]     (0.77937817223817252,)
72 	50   	[ 3.8687052]     	[ 13.33838769]   	[ 0.78093792]	[ 84.26882021]     (0.77937817223817252,)
73 	50   	[ 3.70925599]    	[ 12.05453775]   	[ 0.78647764]	[ 76.31029564]     (0.77937817223817252,)
74 	50   	[ 3.40894775]    	[ 9.8669762]     	[ 0.78422539]	[ 55.68334121]     (0.77937817223817252,)
75 	50   	[ 3.12007296]    	[ 9.11050315]    	[ 0.77542871]	[ 49.19188021]     (0.77542870517218998,)
76 	50   	[ 2.77445013]    	[ 7.39357158]    	[ 0.73888319]	[ 40.85368073]     (0.73888319164169836,)
77 	50   	[ 3.12537062]    	[ 10.06153265]   	[ 0.74071103]	[ 56.76567185]     (0.73888319164169836,)
78 	50   	[ 3.93428295]    	[ 13.82368635]   	[ 0.74995497]	[ 86.66318618]     (0.73888319164169836,)
79 	50   	[ 3.5913193]     	[ 12.21701238]   	[ 0.75385889]	[ 76.06824387]     (0.73888319164169836,)
80 	50   	[ 3.30150252]    	[ 10.23860652]   	[ 0.77006208]	[ 61.24575936]     (0.73888319164169836,)
81 	50   	[ 2.82291636]    	[ 8.10000453]    	[ 0.75656]   	[ 48.78285183]     (0.73888319164169836,)
82 	50   	[ 3.57544783]    	[ 11.03753827]   	[ 0.75496274]	[ 64.77432769]     (0.73888319164169836,)
83 	50   	[ 4.4617204]     	[ 16.35197585]   	[ 0.7316073] 	[ 91.31239273]     (0.73160730106848504,)
84 	50   	[ 3.80315697]    	[ 12.83178107]   	[ 0.73397107]	[ 72.18427016]     (0.73160730106848504,)
85 	50   	[ 3.60034574]    	[ 13.62810147]   	[ 0.73369744]	[ 92.32637762]     (0.73160730106848504,)
86 	50   	[ 3.98757844]    	[ 14.6421404]    	[ 0.74021722]	[ 97.76050214]     (0.73160730106848504,)
87 	50   	[ 4.11561993]    	[ 15.39800271]   	[ 0.73632296]	[ 103.8147356]     (0.73160730106848504,)
