In file included from /usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1804:0,
                 from /usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa4400.cpp:22:
/usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg             	std              	min            	max               
1  	50   	[ 63332.7199961]	[ 67549.89564327]	[ 104.16354096]	[ 167387.97334751] (104.16354095751025,)
2  	50   	[ 56623.79084023]	[ 65764.37517334]	[ 54.46803441] 	[ 167478.03166868] (54.468034412094198,)
3  	50   	[ 50988.05816856]	[ 61445.85135027]	[ 59.58313619] 	[ 167485.79324278] (54.468034412094198,)
4  	50   	[ 45085.48364713]	[ 59471.75257756]	[ 45.00126249] 	[ 167433.08981078] (45.001262489657123,)
5  	50   	[ 42292.57279603]	[ 55399.17178069]	[ 32.43036242] 	[ 167097.9519962]  (32.43036241890313,)
6  	50   	[ 42163.46157126]	[ 53111.46256158]	[ 24.17208895] 	[ 167072.73453714] (24.172088948602603,)
7  	50   	[ 36297.90236904]	[ 52133.08934478]	[ 20.46208324] 	[ 167106.29491832] (20.46208323881179,)
8  	50   	[ 28633.00962852]	[ 46318.38758731]	[ 20.73881895] 	[ 167128.0168112]  (20.46208323881179,)
9  	50   	[ 32102.00938116]	[ 47899.6312809] 	[ 32.87762541] 	[ 167128.26955772] (20.46208323881179,)
10 	50   	[ 36109.30299762]	[ 49782.9148673] 	[ 20.13045315] 	[ 167094.56071367] (20.130453148486041,)
11 	50   	[ 29471.21285251]	[ 45350.82613255]	[ 20.72819134] 	[ 167150.02607573] (20.130453148486041,)
12 	50   	[ 26702.87365446]	[ 44143.46230347]	[ 32.08720823] 	[ 167299.1703956]  (20.130453148486041,)
13 	50   	[ 24030.14841675]	[ 41282.93997581]	[ 32.41910092] 	[ 167337.04219812] (20.130453148486041,)
14 	50   	[ 21770.44184312]	[ 39753.65684733]	[ 20.24954159] 	[ 167339.89813221] (20.130453148486041,)
15 	50   	[ 30626.96922763]	[ 45783.59858443]	[ 15.49891961] 	[ 167213.3040183]  (15.498919614561242,)
16 	50   	[ 21414.06186045]	[ 40168.91080048]	[ 13.29013515] 	[ 167068.6348963]  (13.290135152935898,)
17 	50   	[ 19353.80413423]	[ 39306.73849467]	[ 12.70729738] 	[ 166749.86420821] (12.707297384677837,)
18 	50   	[ 27634.76376187]	[ 44615.62664612]	[ 12.99720685] 	[ 163572.68335969] (12.707297384677837,)
19 	50   	[ 19576.79907541]	[ 38267.75189823]	[ 16.11357951] 	[ 127255.55446555] (12.707297384677837,)
20 	50   	[ 9886.85391111] 	[ 27942.62023797]	[ 13.50015261] 	[ 100000.]         (12.707297384677837,)
21 	50   	[ 13930.88210351]	[ 32814.15358581]	[ 13.11162195] 	[ 100000.]         (12.707297384677837,)
22 	50   	[ 17390.15335133]	[ 36664.11186807]	[ 10.98485928] 	[ 100000.]         (10.984859277095339,)
23 	50   	[ 14769.14683852]	[ 34556.53040843]	[ 9.16399115]  	[ 100000.]         (9.1639911529236642,)
24 	50   	[ 10359.39000711]	[ 29911.10843984]	[ 9.19856998]  	[ 100000.]         (9.1639911529236642,)
25 	50   	[ 8180.98204386] 	[ 27082.67007566]	[ 7.16294233]  	[ 100000.]         (7.1629423270129564,)
26 	50   	[ 4078.33083584] 	[ 19581.88151666]	[ 7.53255212]  	[ 100000.]         (7.1629423270129564,)
27 	50   	[ 12064.24746239]	[ 32473.486939]  	[ 7.07433603]  	[ 100000.]         (7.0743360271946996,)
28 	50   	[ 6055.37081929] 	[ 23735.45593189]	[ 7.19689278]  	[ 100000.]         (7.0743360271946996,)
29 	50   	[ 16037.20889558]	[ 36644.56231878]	[ 5.49888974]  	[ 100000.]         (5.498889738874591,)
30 	50   	[ 14024.65003203]	[ 34688.80223307]	[ 3.97570228]  	[ 100000.]         (3.9757022826848845,)
31 	50   	[ 4020.04389634] 	[ 19591.85563449]	[ 3.97010208]  	[ 100000.]         (3.9701020756045939,)
32 	50   	[ 2018.56500814] 	[ 13997.38264642]	[ 2.44466625]  	[ 100000.]         (2.4446662468344615,)
33 	50   	[ 4014.57454799] 	[ 19592.9645898] 	[ 2.05070746]  	[ 100000.]         (2.0507074644497352,)
34 	50   	[ 8011.96597817] 	[ 27125.80473769]	[ 1.12838249]  	[ 100000.]         (1.128382492033422,)
35 	50   	[ 2009.00713851] 	[ 13998.73515653]	[ 0.86964058]  	[ 100000.]         (0.86964057830988462,)
36 	50   	[ 6004.3482304]  	[ 23747.59003652]	[ 0.45680603]  	[ 100000.]         (0.45680603203445413,)
37 	50   	[ 2006.73694205] 	[ 13999.06008592]	[ 0.51126509]  	[ 100000.]         (0.45680603203445413,)
38 	50   	[ 2003.13527186] 	[ 13999.55854926]	[ 0.45477874]  	[ 100000.]         (0.4547787415909339,)
39 	50   	[ 2006.62590012] 	[ 13999.07972719]	[ 0.46089667]  	[ 100000.]         (0.4547787415909339,)
40 	50   	[ 4006.46410854] 	[ 19594.61705831]	[ 0.43038395]  	[ 100000.]         (0.43038394981858058,)
41 	50   	[ 2003.30400643] 	[ 13999.53415556]	[ 0.38736485]  	[ 100000.]         (0.38736484570403451,)
42 	50   	[ 2003.05503251] 	[ 13999.5697842] 	[ 0.24427418]  	[ 100000.]         (0.2442741825548039,)
43 	50   	[ 4003.24396691] 	[ 19595.26055125]	[ 0.23294658]  	[ 100000.]         (0.2329465813710232,)
44 	50   	[ 4005.5428917]  	[ 19594.79870182]	[ 0.20720892]  	[ 100000.]         (0.20720892345462208,)
45 	50   	[ 2005.64029463] 	[ 13999.209293]  	[ 0.26888268]  	[ 100000.]         (0.20720892345462208,)
46 	50   	[ 5.02749093]    	[ 19.39801059]   	[ 0.2468098]   	[ 119.86002695]    (0.20720892345462208,)
47 	50   	[ 4002.26520537] 	[ 19595.45758075]	[ 0.23149237]  	[ 100000.]         (0.20720892345462208,)
48 	50   	[ 4004.39001439] 	[ 19595.02908722]	[ 0.19867069]  	[ 100000.]         (0.19867069269402118,)
49 	50   	[ 4001.95460695] 	[ 19595.51941875]	[ 0.18904231]  	[ 100000.]         (0.18904231272786173,)
50 	50   	[ 2001.54072861] 	[ 13999.78034949]	[ 0.18850079]  	[ 100000.]         (0.18850078810580684,)
51 	50   	[ 2003.89526227] 	[ 13999.45343064]	[ 0.17774373]  	[ 100000.]         (0.177743732694673,)
52 	50   	[ 10001.0740254] 	[ 29999.64202492]	[ 0.18615501]  	[ 100000.]         (0.177743732694673,)
53 	50   	[ 4001.03665705] 	[ 19595.70635919]	[ 0.15765665]  	[ 100000.]         (0.15765664529423679,)
54 	50   	[ 2003.0783452]  	[ 13999.56662784]	[ 0.14995679]  	[ 100000.]         (0.14995678645940186,)
55 	50   	[ 3.08742765]    	[ 13.81825248]   	[ 0.18808178]  	[ 99.11703232]     (0.14995678645940186,)
56 	50   	[ 3.38237577]    	[ 16.148362]     	[ 0.15385291]  	[ 116.21236749]    (0.14995678645940186,)
57 	50   	[ 2001.21498866] 	[ 13999.8265293] 	[ 0.2203845]   	[ 100000.]         (0.14995678645940186,)
58 	50   	[ 3.74226261]    	[ 16.83634979]   	[ 0.14656708]  	[ 121.20620199]    (0.1465670845782352,)
59 	50   	[ 2003.70107645] 	[ 13999.48271905]	[ 0.15531421]  	[ 100000.]         (0.1465670845782352,)
60 	50   	[ 4002.9816729]  	[ 19595.31415483]	[ 0.16604258]  	[ 100000.]         (0.1465670845782352,)
61 	50   	[ 8000.93848794] 	[ 27129.04321177]	[ 0.18135595]  	[ 100000.]         (0.1465670845782352,)
62 	50   	[ 4003.2822809]  	[ 19595.25375476]	[ 0.15889806]  	[ 100000.]         (0.1465670845782352,)
63 	50   	[ 2003.98838137] 	[ 13999.44159081]	[ 0.13812708]  	[ 100000.]         (0.13812707682732633,)
