In file included from /usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1804:0,
                 from /usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa4480.cpp:22:
/usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg            	std              	min           	max               
1  	50   	[ 50598.754104]	[ 63255.13218652]	[ 53.84919944]	[ 167498.26653334] (53.84919944380492,)
2  	50   	[ 49701.00657614]	[ 63121.77005182]	[ 47.49649226]	[ 167304.90816887] (47.496492264942951,)
3  	50   	[ 45985.93979442]	[ 62699.27680894]	[ 43.46132446]	[ 167289.22345456] (43.461324458939117,)
4  	50   	[ 40974.7504279] 	[ 59004.44216062]	[ 92.10071496]	[ 167265.76388655] (43.461324458939117,)
5  	50   	[ 37009.85290486]	[ 57330.25395289]	[ 79.70139755]	[ 167198.50254112] (43.461324458939117,)
6  	50   	[ 31388.51944444]	[ 53401.72731695]	[ 47.68842581]	[ 167126.41222536] (43.461324458939117,)
7  	50   	[ 26246.59180666]	[ 47259.71175462]	[ 59.29463198]	[ 167072.79447193] (43.461324458939117,)
8  	50   	[ 20489.45942192]	[ 40515.46174879]	[ 43.56906398]	[ 167077.03443262] (43.461324458939117,)
9  	50   	[ 14426.26302988]	[ 35018.9123783] 	[ 44.10167566]	[ 167036.12245208] (43.461324458939117,)
10 	50   	[ 14205.43690733]	[ 36738.41924652]	[ 29.8467046] 	[ 167031.57654546] (29.846704601170014,)
11 	50   	[ 12970.07323906]	[ 32786.61501869]	[ 22.88424906]	[ 166778.4168914]  (22.884249060841295,)
12 	50   	[ 8959.3768352]  	[ 24751.21146608]	[ 17.00341679]	[ 109486.80908533] (17.003416790376772,)
13 	50   	[ 4331.88513537] 	[ 14850.77178024]	[ 18.49684538]	[ 100000.]         (17.003416790376772,)
14 	50   	[ 2031.6778225]  	[ 4986.41512575] 	[ 14.83105508]	[ 26638.6647567]   (14.831055082527515,)
15 	50   	[ 1679.97056146] 	[ 4262.24893822] 	[ 14.37495199]	[ 25668.80764636]  (14.374951985126296,)
16 	50   	[ 7103.30534589] 	[ 23702.94094189]	[ 15.11235158]	[ 100000.]         (14.374951985126296,)
17 	50   	[ 2753.27372455] 	[ 14135.866374]  	[ 11.97930337]	[ 100000.]         (11.979303370289912,)
18 	50   	[ 457.72620644]  	[ 1357.38847832] 	[ 11.8256747] 	[ 8485.56973073]   (11.825674702748543,)
19 	50   	[ 318.82621055]  	[ 801.67137306]  	[ 11.86713914]	[ 4214.91514694]   (11.825674702748543,)
20 	50   	[ 209.64314848]  	[ 457.84544791]  	[ 10.67298916]	[ 2043.62496866]   (10.672989160791662,)
21 	50   	[ 103.02770095]  	[ 204.51802761]  	[ 9.70769318] 	[ 1229.46979857]   (9.7076931809839575,)
