In file included from /usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1804:0,
                 from /usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa4485.cpp:22:
/usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg              	std              	min           	max             
1  	50   	[ 61681.55640111]	[ 64160.59600733]	[ 13.25710418]	[ 167068.321213] (13.257104177519373,)
2  	50   	[ 46379.38636187]	[ 58184.48776707]	[ 33.27151054]	[ 167106.01458846] (13.257104177519373,)
3  	50   	[ 38232.31786789]	[ 55715.20644529]	[ 14.33461409]	[ 167180.49285437] (13.257104177519373,)
4  	50   	[ 36169.16965244]	[ 53076.45765037]	[ 22.47214067]	[ 167131.72196527] (13.257104177519373,)
5  	50   	[ 25847.16623182]	[ 48595.03967289]	[ 12.20632861]	[ 167205.5696451]  (12.206328612618405,)
6  	50   	[ 19681.25787955]	[ 44472.75041453]	[ 10.02485015]	[ 167225.77215816] (10.024850151302136,)
7  	50   	[ 17220.93294618]	[ 41375.74674015]	[ 5.8237993]  	[ 167231.89885765] (5.8237993006913022,)
8  	50   	[ 14917.22032324]	[ 38017.80695235]	[ 4.15057582] 	[ 167164.37229]    (4.1505758191227189,)
9  	50   	[ 12915.69579863]	[ 35434.26471615]	[ 3.80205614] 	[ 167341.0983347]  (3.8020561355797824,)
10 	50   	[ 11664.03092596]	[ 33721.12882553]	[ 3.98763098] 	[ 167307.10920897] (3.8020561355797824,)
11 	50   	[ 8364.3742783]  	[ 29344.53132471]	[ 4.50506206] 	[ 167358.20532725] (3.8020561355797824,)
12 	50   	[ 7135.04257618] 	[ 27469.19800288]	[ 4.55435108] 	[ 166424.47702488] (3.8020561355797824,)
13 	50   	[ 5767.66263101] 	[ 24146.05631561]	[ 4.09460789] 	[ 152241.23021355] (3.8020561355797824,)
14 	50   	[ 5180.7417937]  	[ 18484.69402791]	[ 4.06091104] 	[ 100000.]         (3.8020561355797824,)
15 	50   	[ 3182.80051269] 	[ 14933.43626416]	[ 3.66532881] 	[ 100000.]         (3.665328813722315,)
16 	50   	[ 2484.69773662] 	[ 14177.55720658]	[ 3.20520873] 	[ 100000.]         (3.2052087348796414,)
17 	50   	[ 254.54365134]  	[ 988.60642172]  	[ 2.63152812] 	[ 6660.76391703]   (2.6315281235487236,)
18 	50   	[ 107.92489047]  	[ 291.17234523]  	[ 0.95254291] 	[ 1881.7758353]    (0.95254291304200689,)
19 	50   	[ 51.5471643]    	[ 85.15812667]   	[ 2.40685172] 	[ 528.22299206]    (0.95254291304200689,)
20 	50   	[ 33.10585864]   	[ 36.18101803]   	[ 1.12617722] 	[ 165.24991139]    (0.95254291304200689,)
21 	50   	[ 27.43432981]   	[ 32.30457582]   	[ 1.44974701] 	[ 169.53577995]    (0.95254291304200689,)
22 	50   	[ 23.77206769]   	[ 33.45605174]   	[ 0.97623198] 	[ 180.86051461]    (0.95254291304200689,)
23 	50   	[ 21.8409377]    	[ 32.42134308]   	[ 0.54256181] 	[ 177.4334602]     (0.54256181296259154,)
24 	50   	[ 19.1648355]    	[ 30.17484273]   	[ 0.5820146]  	[ 166.7514513]     (0.54256181296259154,)
25 	50   	[ 2014.9980483]  	[ 13997.88268322]	[ 0.55455007] 	[ 100000.]         (0.54256181296259154,)
26 	50   	[ 2013.15328043] 	[ 13998.14319944]	[ 0.63872715] 	[ 100000.]         (0.54256181296259154,)
27 	50   	[ 14.54146457]   	[ 29.65217598]   	[ 0.52260455] 	[ 153.03620415]    (0.52260454701499093,)
28 	50   	[ 14.05546342]   	[ 31.52561808]   	[ 0.4406774]  	[ 168.24063073]    (0.4406773992142069,)
29 	50   	[ 13.86744763]   	[ 31.74717778]   	[ 0.36765839] 	[ 180.02945773]    (0.36765839067007172,)
30 	50   	[ 12.16120748]   	[ 29.54219892]   	[ 0.29636071] 	[ 162.54641491]    (0.29636070599244363,)
31 	50   	[ 11.44644127]   	[ 29.64593798]   	[ 0.24952091] 	[ 161.43476603]    (0.24952090683309491,)
32 	50   	[ 11.14364652]   	[ 30.29744265]   	[ 0.25020389] 	[ 159.90897201]    (0.24952090683309491,)
33 	50   	[ 10.36837774]   	[ 28.96923766]   	[ 0.19519027] 	[ 159.97975464]    (0.19519026947623466,)
34 	50   	[ 2006.06394789] 	[ 13999.14299408]	[ 0.20524482] 	[ 100000.]         (0.19519026947623466,)
35 	50   	[ 9.15986124]    	[ 25.71821361]   	[ 0.20812986] 	[ 137.20763964]    (0.19519026947623466,)
36 	50   	[ 8.70015416]    	[ 24.38474126]   	[ 0.19821287] 	[ 123.30205242]    (0.19519026947623466,)
37 	50   	[ 9.11828217]    	[ 25.88601684]   	[ 0.19255041] 	[ 149.6966216]     (0.19255040985705446,)
38 	50   	[ 8.30003483]    	[ 26.35114868]   	[ 0.24164968] 	[ 161.86094457]    (0.19255040985705446,)
39 	50   	[ 7.70954853]    	[ 24.94006891]   	[ 0.19264382] 	[ 159.29348571]    (0.19255040985705446,)
40 	50   	[ 7.30924354]    	[ 24.40105409]   	[ 0.18252524] 	[ 160.38285391]    (0.1825252410004943,)
41 	50   	[ 6.58805195]    	[ 22.9729305]    	[ 0.17990808] 	[ 156.03868916]    (0.17990807854559118,)
42 	50   	[ 6.64714232]    	[ 24.01347969]   	[ 0.18082285] 	[ 162.94144937]    (0.17990807854559118,)
43 	50   	[ 6.75508457]    	[ 24.03132154]   	[ 0.17586106] 	[ 160.59683665]    (0.17586105538836944,)
44 	50   	[ 6.19714303]    	[ 22.62422076]   	[ 0.1773619]  	[ 153.12849989]    (0.17586105538836944,)
45 	50   	[ 5.87881578]    	[ 21.3635005]    	[ 0.17003332] 	[ 145.67915651]    (0.17003332247315278,)
46 	50   	[ 5.85263263]    	[ 21.98684463]   	[ 0.19131879] 	[ 151.63980647]    (0.17003332247315278,)
47 	50   	[ 5.49462331]    	[ 22.34856373]   	[ 0.17967862] 	[ 155.10654676]    (0.17003332247315278,)
48 	50   	[ 5.39680184]    	[ 23.34274829]   	[ 0.17910618] 	[ 163.45360731]    (0.17003332247315278,)
49 	50   	[ 5.25949774]    	[ 23.30393938]   	[ 0.16676516] 	[ 164.34126602]    (0.16676516071535474,)
50 	50   	[ 5.21967187]    	[ 24.57193771]   	[ 0.15085186] 	[ 173.93082846]    (0.15085185781409072,)
51 	50   	[ 4.52361876]    	[ 21.60494256]   	[ 0.15071469] 	[ 150.89953007]    (0.15071469225739922,)
52 	50   	[ 4.49938696]    	[ 20.04703553]   	[ 0.13961026] 	[ 140.78915525]    (0.13961025631572227,)
53 	50   	[ 5.13525735]    	[ 21.92705723]   	[ 0.15014901] 	[ 153.2198786]     (0.13961025631572227,)
54 	50   	[ 4.54829023]    	[ 22.31384421]   	[ 0.15457148] 	[ 156.77435938]    (0.13961025631572227,)
55 	50   	[ 4.75879755]    	[ 22.1947421]    	[ 0.15176387] 	[ 156.41732173]    (0.13961025631572227,)
56 	50   	[ 3.80477279]    	[ 17.51660138]   	[ 0.14219408] 	[ 122.77116309]    (0.13961025631572227,)
57 	50   	[ 4.13786556]    	[ 18.03774768]   	[ 0.11937537] 	[ 126.8996099]     (0.11937536638244325,)
58 	50   	[ 3.95306292]    	[ 17.81405368]   	[ 0.11564711] 	[ 125.21353287]    (0.11564710579072092,)
59 	50   	[ 4.22007623]    	[ 18.97381296]   	[ 0.13998512] 	[ 132.56045321]    (0.11564710579072092,)
60 	50   	[ 3.93380065]    	[ 17.27337591]   	[ 0.12577092] 	[ 119.46190324]    (0.11564710579072092,)
61 	50   	[ 3.99000929]    	[ 16.6333087]    	[ 0.11583276] 	[ 113.15741889]    (0.11564710579072092,)
