In file included from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1761:0,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa4208.cpp:22:
/usr/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg              	std             	min           	max              
1  	25   	[ 62526.04552036]	[ 73468.8535438]	[ 22.97045266]	[ 166917.7367474] (22.970452657041243,)
2  	25   	[ 57406.92767265]	[ 64127.94598659]	[ 19.99173126]	[ 166871.47947047] (19.99173125729974,)
3  	25   	[ 47724.70023098]	[ 61529.65503778]	[ 19.18574151]	[ 163704.63612033] (19.185741505938786,)
4  	25   	[ 32019.8463612] 	[ 51103.59694987]	[ 19.51490392]	[ 157032.04857459] (19.185741505938786,)
5  	25   	[ 27193.34288594]	[ 47289.82982349]	[ 14.53469699]	[ 145405.48990026] (14.534696985149019,)
6  	25   	[ 27130.52842956]	[ 45602.35727192]	[ 10.00677574]	[ 127214.81682509] (10.006775736243574,)
7  	25   	[ 22370.89186803]	[ 39282.64440478]	[ 6.26811074] 	[ 115663.20596669] (6.2681107374808267,)
8  	25   	[ 20187.93471863]	[ 34075.14859122]	[ 3.8903329]  	[ 100000.]         (3.8903328958877683,)
9  	25   	[ 4949.30637534] 	[ 11662.34195138]	[ 2.41938993] 	[ 52665.67013259]  (2.419389926862312,)
10 	25   	[ 5817.08947444] 	[ 19716.54464977]	[ 2.36857512] 	[ 100000.]         (2.3685751248844218,)
11 	25   	[ 538.91227343]  	[ 1201.15503356] 	[ 1.68119804] 	[ 5512.07221474]   (1.6811980443490941,)
12 	25   	[ 4136.41797314] 	[ 19569.75044901]	[ 1.4489068]  	[ 100000.]         (1.4489067971856862,)
13 	25   	[ 45.93684729]   	[ 62.56995574]   	[ 1.51798471] 	[ 196.0372763]     (1.4489067971856862,)
14 	25   	[ 27.88304095]   	[ 47.80170246]   	[ 0.93269582] 	[ 198.70311006]    (0.9326958181217323,)
15 	25   	[ 21.16072088]   	[ 48.69104379]   	[ 0.9894036]  	[ 210.9717123]     (0.9326958181217323,)
16 	25   	[ 16.73139575]   	[ 40.94436534]   	[ 0.6287217]  	[ 192.94687093]    (0.62872169986346904,)
17 	25   	[ 21.98599654]   	[ 64.44782954]   	[ 0.6164312]  	[ 329.61816557]    (0.61643119563385051,)
18 	25   	[ 15.241202]     	[ 51.41878225]   	[ 0.72672958] 	[ 263.83700571]    (0.61643119563385051,)
19 	25   	[ 14.82781396]   	[ 46.49397773]   	[ 0.71915186] 	[ 238.8855717]     (0.61643119563385051,)
20 	25   	[ 9.16153559]    	[ 20.7427827]    	[ 0.82001799] 	[ 109.00409962]    (0.61643119563385051,)
21 	25   	[ 4003.31127817] 	[ 19595.2430688] 	[ 0.60729142] 	[ 100000.]         (0.60729141651305985,)
22 	25   	[ 5.20626651]    	[ 6.66909373]    	[ 0.49381575] 	[ 28.05156688]     (0.49381575422242502,)
23 	25   	[ 2.80271203]    	[ 3.19563806]    	[ 0.5525871]  	[ 14.80104419]     (0.49381575422242502,)
24 	25   	[ 4.11624103]    	[ 4.81241654]    	[ 0.36960213] 	[ 16.94427126]     (0.36960212787612828,)
25 	25   	[ 2.90283122]    	[ 3.22364389]    	[ 0.47986541] 	[ 11.9368213]      (0.36960212787612828,)
26 	25   	[ 3.16713628]    	[ 3.65681929]    	[ 0.63451132] 	[ 18.67370041]     (0.36960212787612828,)
27 	25   	[ 8002.36862785] 	[ 27128.62159475]	[ 0.51843258] 	[ 100000.]         (0.36960212787612828,)
28 	25   	[ 4.27920157]    	[ 6.2749471]     	[ 0.36972273] 	[ 29.06106301]     (0.36960212787612828,)
29 	25   	[ 2.92420735]    	[ 3.26370275]    	[ 0.55041892] 	[ 17.25797741]     (0.36960212787612828,)
30 	25   	[ 2.8188148]     	[ 2.56222783]    	[ 0.34789733] 	[ 9.10163803]      (0.34789732863430739,)
31 	25   	[ 3.48630382]    	[ 3.68018639]    	[ 0.72781954] 	[ 16.08688596]     (0.34789732863430739,)
32 	25   	[ 1.7946544]     	[ 1.30556209]    	[ 0.47759746] 	[ 4.66336079]      (0.34789732863430739,)
33 	25   	[ 4002.59088876] 	[ 19595.38917615]	[ 0.28884959] 	[ 100000.]         (0.2888495854581728,)
34 	25   	[ 2.78440284]    	[ 3.53082469]    	[ 0.35373576] 	[ 14.01479302]     (0.2888495854581728,)
35 	25   	[ 3.19326939]    	[ 3.60759503]    	[ 0.43923719] 	[ 15.28423354]     (0.2888495854581728,)
36 	25   	[ 2.60446211]    	[ 2.16435246]    	[ 0.30432206] 	[ 6.75108739]      (0.2888495854581728,)
37 	25   	[ 3.88719956]    	[ 5.10214289]    	[ 0.42549371] 	[ 24.45911196]     (0.2888495854581728,)
38 	25   	[ 2.52085833]    	[ 2.20910809]    	[ 0.42974995] 	[ 9.95168624]      (0.2888495854581728,)
39 	25   	[ 3.94187522]    	[ 4.14956978]    	[ 0.38898386] 	[ 14.00497088]     (0.2888495854581728,)
40 	25   	[ 2.31680841]    	[ 1.81350151]    	[ 0.33315957] 	[ 7.68445153]      (0.2888495854581728,)
41 	25   	[ 4001.54892725] 	[ 19595.60184596]	[ 0.2883839]  	[ 100000.]         (0.28838389712329754,)
42 	25   	[ 4.45705805]    	[ 4.85432755]    	[ 0.39791928] 	[ 23.22555588]     (0.28838389712329754,)
43 	25   	[ 8005.62777449] 	[ 27127.66172855]	[ 0.38385101] 	[ 100000.]         (0.28838389712329754,)
44 	25   	[ 4.32297412]    	[ 5.04414163]    	[ 0.3320254]  	[ 19.00454579]     (0.28838389712329754,)
45 	25   	[ 3.82929277]    	[ 4.87065077]    	[ 0.27003633] 	[ 18.51719492]     (0.27003632783322906,)
46 	25   	[ 4003.79838574] 	[ 19595.14347574]	[ 0.27091433] 	[ 100000.]         (0.27003632783322906,)
47 	25   	[ 4.72078182]    	[ 5.90943689]    	[ 0.28738482] 	[ 20.90338328]     (0.27003632783322906,)
48 	25   	[ 4.20809233]    	[ 6.08283083]    	[ 0.30048607] 	[ 20.06385899]     (0.27003632783322906,)
49 	25   	[ 3.63418304]    	[ 3.58153813]    	[ 0.23717468] 	[ 16.31003765]     (0.23717468210352421,)
50 	25   	[ 4002.07870685] 	[ 19595.49372699]	[ 0.311727]   	[ 100000.]         (0.23717468210352421,)
51 	25   	[ 3.26436185]    	[ 3.38659775]    	[ 0.24622217] 	[ 12.13576818]     (0.23717468210352421,)
52 	25   	[ 4.11698381]    	[ 4.92304191]    	[ 0.31292671] 	[ 18.84069635]     (0.23717468210352421,)
53 	25   	[ 4002.12091765] 	[ 19595.48513775]	[ 0.26215502] 	[ 100000.]         (0.23717468210352421,)
54 	25   	[ 3.16507576]    	[ 2.51856186]    	[ 0.32847307] 	[ 8.34714688]      (0.23717468210352421,)
55 	25   	[ 2.60644047]    	[ 2.10640163]    	[ 0.24618593] 	[ 9.90797633]      (0.23717468210352421,)
56 	25   	[ 2.88187739]    	[ 3.11835347]    	[ 0.31455617] 	[ 10.68887082]     (0.23717468210352421,)
57 	25   	[ 3.45607053]    	[ 4.55501659]    	[ 0.35952431] 	[ 22.55357698]     (0.23717468210352421,)
58 	25   	[ 3.18470718]    	[ 3.62570442]    	[ 0.37615633] 	[ 14.10979838]     (0.23717468210352421,)
59 	25   	[ 4003.38770546] 	[ 19595.22706717]	[ 0.24365764] 	[ 100000.]         (0.23717468210352421,)
60 	25   	[ 4002.16702246] 	[ 19595.47579501]	[ 0.41710419] 	[ 100000.]         (0.23717468210352421,)
61 	25   	[ 4.07220393]    	[ 5.41154928]    	[ 0.29443275] 	[ 21.79426417]     (0.23717468210352421,)
62 	25   	[ 3.96800369]    	[ 6.35282567]    	[ 0.33414762] 	[ 29.78872354]     (0.23717468210352421,)
63 	25   	[ 8002.52034821] 	[ 27128.57699838]	[ 0.41182621] 	[ 100000.]         (0.23717468210352421,)
64 	25   	[ 4003.13673597] 	[ 19595.27806652]	[ 0.32232301] 	[ 100000.]         (0.23717468210352421,)
65 	25   	[ 4001.54359885] 	[ 19595.60290205]	[ 0.31092909] 	[ 100000.]         (0.23717468210352421,)
