In file included from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1761:0,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa4252.cpp:22:
/usr/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg              	std              	min            	max               
1  	25   	[ 82510.87128067]	[ 67961.04668511]	[ 109.21453904]	[ 167307.60115119] (109.21453904214945,)
2  	25   	[ 65291.99954876]	[ 69454.53930572]	[ 55.51079672] 	[ 166938.4259768]  (55.510796717286013,)
3  	25   	[ 54499.66987128]	[ 69050.20753927]	[ 37.47153423] 	[ 167000.47774536] (37.471534233385995,)
4  	25   	[ 43798.2030455] 	[ 62298.55921877]	[ 43.40978385] 	[ 166901.72768953] (37.471534233385995,)
5  	25   	[ 30077.00431896]	[ 55215.90638462]	[ 39.63581816] 	[ 167022.78316311] (37.471534233385995,)
6  	25   	[ 27162.09410831]	[ 53540.88776424]	[ 51.92651477] 	[ 166532.15459509] (37.471534233385995,)
7  	25   	[ 5360.16997944] 	[ 20311.52769246]	[ 26.88866212] 	[ 102938.29912625] (26.88866211887721,)
8  	25   	[ 363.13767597]  	[ 803.63998588]  	[ 18.80736601] 	[ 4168.50667009]   (18.807366012728146,)
9  	25   	[ 160.21958717]  	[ 222.49971365]  	[ 13.16263387] 	[ 982.27774759]    (13.162633872127918,)
10 	25   	[ 104.61396572]  	[ 146.69110232]  	[ 4.48360267]  	[ 614.01535748]    (4.4836026721268425,)
11 	25   	[ 68.52155484]   	[ 82.13920425]   	[ 5.93308938]  	[ 290.51500125]    (4.4836026721268425,)
12 	25   	[ 47.81748271]   	[ 57.8171401]    	[ 4.68283422]  	[ 199.98212282]    (4.4836026721268425,)
13 	25   	[ 52.51152209]   	[ 119.41202163]  	[ 4.1478529]   	[ 617.86633213]    (4.1478529015906691,)
14 	25   	[ 32.59841247]   	[ 61.00456497]   	[ 3.80624909]  	[ 305.07970536]    (3.806249092462747,)
15 	25   	[ 16.49604721]   	[ 20.13370013]   	[ 2.96001487]  	[ 83.7725928]      (2.9600148704571141,)
16 	25   	[ 12.67319955]   	[ 19.26577008]   	[ 2.6660784]   	[ 95.82609617]     (2.6660783953423968,)
17 	25   	[ 8.50021871]    	[ 9.11872537]    	[ 2.25412255]  	[ 44.70467623]     (2.2541225510635381,)
18 	25   	[ 7.37049459]    	[ 5.97060752]    	[ 1.90804826]  	[ 23.1860158]      (1.9080482606118858,)
19 	25   	[ 6.77205503]    	[ 5.19019571]    	[ 1.82381045]  	[ 23.47640323]     (1.8238104480459878,)
20 	25   	[ 5.82000255]    	[ 4.6933312]     	[ 1.71915299]  	[ 18.37301409]     (1.7191529886246752,)
21 	25   	[ 6.24711024]    	[ 5.11685921]    	[ 1.74935502]  	[ 21.10093865]     (1.7191529886246752,)
22 	25   	[ 3.48525782]    	[ 2.20916748]    	[ 1.63772974]  	[ 9.93841028]      (1.6377297380767539,)
23 	25   	[ 6.1539775]     	[ 5.6905753]     	[ 1.5630832]   	[ 22.37146537]     (1.5630831978752153,)
24 	25   	[ 4.85222668]    	[ 4.03488127]    	[ 1.60102421]  	[ 17.35725153]     (1.5630831978752153,)
25 	25   	[ 4.35930515]    	[ 3.60953289]    	[ 1.69827796]  	[ 16.33774858]     (1.5630831978752153,)
