In file included from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1761:0,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa4253.cpp:22:
/usr/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg              	std             	min           	max               
1  	25   	[ 56923.47982701]	[ 63865.4947891]	[ 17.44966696]	[ 167090.87096754] (17.449666958991305,)
2  	25   	[ 41912.32195734]	[ 58588.2733317]	[ 12.4789722] 	[ 166784.99622728] (12.478972201041964,)
3  	25   	[ 25488.06569278]	[ 45424.18283601]	[ 11.09121545]	[ 165187.55522417] (11.091215452243576,)
4  	25   	[ 18711.70044038]	[ 37547.16119631]	[ 11.78633192]	[ 162406.77519765] (11.091215452243576,)
5  	25   	[ 16414.46110947]	[ 33903.2885358] 	[ 10.74983755]	[ 154366.2882866]  (10.749837548188729,)
6  	25   	[ 12897.11508962]	[ 34023.55975478]	[ 21.85059792]	[ 133950.67625325] (10.749837548188729,)
7  	25   	[ 20356.71206232]	[ 45255.25007077]	[ 13.02892537]	[ 164135.90103818] (10.749837548188729,)
8  	25   	[ 23587.00221973]	[ 50108.29546428]	[ 6.03195218] 	[ 164166.29878126] (6.0319521756955155,)
9  	25   	[ 11665.68978662]	[ 37385.72014912]	[ 2.10380305] 	[ 162181.97966796] (2.103803054284068,)
10 	25   	[ 7622.76802928] 	[ 30929.15807899]	[ 3.37150596] 	[ 156764.89965996] (2.103803054284068,)
11 	25   	[ 5316.61238489] 	[ 25437.83264216]	[ 1.11758673] 	[ 129925.02224593] (1.1175867288455956,)
12 	25   	[ 6454.80335716] 	[ 31408.21765206]	[ 2.22945989] 	[ 160322.26851526] (1.1175867288455956,)
13 	25   	[ 10460.0027164] 	[ 36446.27191533]	[ 2.23681915] 	[ 161069.86243721] (1.1175867288455956,)
14 	25   	[ 9629.74861463] 	[ 33109.4776792] 	[ 0.54087172] 	[ 140442.93703564] (0.5408717174155262,)
15 	25   	[ 3436.02817864] 	[ 16775.24899487]	[ 0.46206457] 	[ 85617.55709987]  (0.46206456727311152,)
16 	25   	[ 4078.09332777] 	[ 19582.69359146]	[ 0.34641463] 	[ 100000.]         (0.34641462572215498,)
17 	25   	[ 28.08124779]   	[ 98.24545262]   	[ 0.49721445] 	[ 500.3510906]     (0.34641462572215498,)
18 	25   	[ 8005.404333]   	[ 27127.72749313]	[ 0.34195056] 	[ 100000.]         (0.34195055781509304,)
19 	25   	[ 16.16083717]   	[ 58.49371163]   	[ 0.33885508] 	[ 302.02048443]    (0.33885508457423874,)
20 	25   	[ 25.24458551]   	[ 107.4368562]   	[ 0.29517556] 	[ 551.06691995]    (0.2951755635828866,)
21 	25   	[ 3.58633157]    	[ 4.22778701]    	[ 0.35009969] 	[ 14.27171285]     (0.2951755635828866,)
22 	25   	[ 4003.72755987] 	[ 19595.15770406]	[ 0.31254795] 	[ 100000.]         (0.2951755635828866,)
23 	25   	[ 4004.1686381]  	[ 19595.06736561]	[ 0.2668277]  	[ 100000.]         (0.26682770003105222,)
24 	25   	[ 8002.256955]   	[ 27128.65460714]	[ 0.28751604] 	[ 100000.]         (0.26682770003105222,)
25 	25   	[ 4.66407886]    	[ 3.24873777]    	[ 0.43599562] 	[ 12.30734317]     (0.26682770003105222,)
26 	25   	[ 2.92964673]    	[ 3.46000405]    	[ 0.16235717] 	[ 12.47167196]     (0.162357173294472,)
27 	25   	[ 3.18163922]    	[ 3.6050105]     	[ 0.20573197] 	[ 14.89479851]     (0.162357173294472,)
28 	25   	[ 3.3889115]     	[ 3.25992059]    	[ 0.22745193] 	[ 12.88608482]     (0.162357173294472,)
29 	25   	[ 3.27920802]    	[ 3.76389669]    	[ 0.25426497] 	[ 14.11490422]     (0.162357173294472,)
