In file included from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1761:0,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa4260.cpp:22:
/usr/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg              	std              	min          	max               
1  	25   	[ 53362.08559243]	[ 66260.81797482]	[ 45.8249387]	[ 167071.90166708] (45.824938695281226,)
2  	25   	[ 26107.24878089]	[ 48898.95376502]	[ 35.57396919]	[ 166504.53431451] (35.573969193289756,)
3  	25   	[ 20975.04071276]	[ 38793.14971886]	[ 32.55224176]	[ 129022.60072792] (32.552241763162051,)
4  	25   	[ 6875.47683745] 	[ 16454.30737273]	[ 16.42628]   	[ 74842.40876608]  (16.42627999777481,)
5  	25   	[ 3596.98955591] 	[ 9027.82705653] 	[ 7.86125134] 	[ 40664.4257328]   (7.861251336026859,)
6  	25   	[ 6292.58301948] 	[ 19926.52535434]	[ 4.9846794]  	[ 100000.]         (4.9846794016652636,)
7  	25   	[ 1256.22770779] 	[ 2681.19093359] 	[ 4.70334396] 	[ 9360.72026384]   (4.7033439636881926,)
8  	25   	[ 4585.08997471] 	[ 19503.91749134]	[ 5.53974823] 	[ 100000.]         (4.7033439636881926,)
9  	25   	[ 344.18442]     	[ 484.43971115]  	[ 3.96894338] 	[ 1624.35774126]   (3.968943375968693,)
10 	25   	[ 301.50156337]  	[ 479.79871949]  	[ 4.17863527] 	[ 1845.1609328]    (3.968943375968693,)
11 	25   	[ 191.59627824]  	[ 324.33619528]  	[ 3.17451722] 	[ 1276.71074804]   (3.1745172180768435,)
12 	25   	[ 4117.36266948] 	[ 19573.04569316]	[ 4.16313472] 	[ 100000.]         (3.1745172180768435,)
13 	25   	[ 211.04326732]  	[ 572.57239601]  	[ 2.56674981] 	[ 2909.19476617]   (2.5667498131598689,)
14 	25   	[ 121.79286553]  	[ 209.18172483]  	[ 3.37971041] 	[ 749.58801649]    (2.5667498131598689,)
15 	25   	[ 78.70559543]   	[ 130.62756846]  	[ 2.51964691] 	[ 424.18093706]    (2.5196469149874314,)
16 	25   	[ 4046.80774614] 	[ 19586.58701911]	[ 2.58381938] 	[ 100000.]         (2.5196469149874314,)
17 	25   	[ 57.62209691]   	[ 109.75926888]  	[ 2.58170454] 	[ 495.46143146]    (2.5196469149874314,)
18 	25   	[ 77.56149141]   	[ 179.4021404]   	[ 2.5496956]  	[ 813.38353319]    (2.5196469149874314,)
19 	25   	[ 78.21198648]   	[ 133.66340216]  	[ 2.5528173]  	[ 449.15659643]    (2.5196469149874314,)
20 	25   	[ 96.59203542]   	[ 209.7331046]   	[ 2.78146349] 	[ 900.57446958]    (2.5196469149874314,)
21 	25   	[ 98.90248474]   	[ 291.67065832]  	[ 2.69569299] 	[ 1462.53441254]   (2.5196469149874314,)
22 	25   	[ 67.86315186]   	[ 189.17542765]  	[ 2.50206165] 	[ 871.87869747]    (2.5020616508215152,)
23 	25   	[ 69.91218508]   	[ 210.90789086]  	[ 2.31718251] 	[ 1017.42601715]   (2.3171825137244069,)
24 	25   	[ 4073.30822404] 	[ 19582.90954793]	[ 2.17667312] 	[ 100000.]         (2.1766731218411048,)
25 	25   	[ 44.170045]     	[ 118.37909236]  	[ 1.98272676] 	[ 523.71574184]    (1.9827267608597929,)
26 	25   	[ 39.7092364]    	[ 115.17652695]  	[ 1.91394785] 	[ 563.55094453]    (1.913947850700437,)
27 	25   	[ 44.62075293]   	[ 144.91158713]  	[ 1.91449117] 	[ 734.30315318]    (1.913947850700437,)
28 	25   	[ 23.08189721]   	[ 47.1175787]    	[ 2.01676888] 	[ 156.03562711]    (1.913947850700437,)
29 	25   	[ 32.07653074]   	[ 59.99879721]   	[ 2.03648455] 	[ 221.39256845]    (1.913947850700437,)
30 	25   	[ 66.99838713]   	[ 177.38432112]  	[ 1.87240831] 	[ 800.27398839]    (1.8724083098201112,)
31 	25   	[ 50.50842885]   	[ 131.45375141]  	[ 1.88360403] 	[ 613.99111118]    (1.8724083098201112,)
32 	25   	[ 24.80347783]   	[ 46.29954645]   	[ 1.770003]   	[ 169.27247559]    (1.7700029991137327,)
33 	25   	[ 15.84328171]   	[ 25.12949905]   	[ 1.86803693] 	[ 83.89225334]     (1.7700029991137327,)
34 	25   	[ 15.82960738]   	[ 28.92761295]   	[ 1.79259303] 	[ 116.41319808]    (1.7700029991137327,)
35 	25   	[ 35.42585579]   	[ 114.74060271]  	[ 1.87954728] 	[ 579.10516782]    (1.7700029991137327,)
36 	25   	[ 27.57645885]   	[ 96.32002739]   	[ 1.66372708] 	[ 497.10156164]    (1.6637270765930356,)
37 	25   	[ 19.44754283]   	[ 64.17110283]   	[ 1.75355178] 	[ 331.85065841]    (1.6637270765930356,)
38 	25   	[ 16.2444341]    	[ 43.06214824]   	[ 1.68302098] 	[ 195.92115095]    (1.6637270765930356,)
39 	25   	[ 7.70842665]    	[ 11.51680529]   	[ 1.73735113] 	[ 50.37875626]     (1.6637270765930356,)
