In file included from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1761:0,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa4261.cpp:22:
/usr/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg             	std              	min           	max               
1  	25   	[ 34310.5883067]	[ 60552.72582523]	[ 15.07147808]	[ 166782.23668666] (15.071478084172362,)
2  	25   	[ 30865.57271226]	[ 52708.24191527]	[ 15.4303912] 	[ 166757.00760905] (15.071478084172362,)
3  	25   	[ 18789.50157723]	[ 34877.36948113]	[ 12.15387579]	[ 115137.52645541] (12.153875793039111,)
4  	25   	[ 3576.03090769] 	[ 8492.70482853] 	[ 6.84963812] 	[ 36277.69551189]  (6.849638120983319,)
5  	25   	[ 2045.53025505] 	[ 5202.09934287] 	[ 7.55309413] 	[ 21013.89425244]  (6.849638120983319,)
6  	25   	[ 1260.72572447] 	[ 3551.36717634] 	[ 8.0678015]  	[ 16310.64183994]  (6.849638120983319,)
7  	25   	[ 660.16948769]  	[ 2011.59827365] 	[ 7.2125724]  	[ 9967.38634845]   (6.849638120983319,)
8  	25   	[ 251.20378412]  	[ 664.70462676]  	[ 4.54737815] 	[ 3362.67012437]   (4.5473781458021847,)
9  	25   	[ 90.76893121]   	[ 115.98673899]  	[ 3.99842308] 	[ 473.98404966]    (3.9984230846556215,)
10 	25   	[ 47.06975404]   	[ 42.6550559]    	[ 2.42322359] 	[ 179.21332088]    (2.4232235853681292,)
11 	25   	[ 31.1862881]    	[ 33.83132406]   	[ 2.18858704] 	[ 138.67743887]    (2.1885870447856868,)
12 	25   	[ 21.11670578]   	[ 23.55437134]   	[ 1.87758808] 	[ 107.29010576]    (1.8775880776260261,)
13 	25   	[ 24.51418469]   	[ 40.53176817]   	[ 2.5042465]  	[ 189.44891395]    (1.8775880776260261,)
14 	25   	[ 21.93011867]   	[ 32.10915783]   	[ 2.40087888] 	[ 150.41012143]    (1.8775880776260261,)
15 	25   	[ 17.17684233]   	[ 25.32074267]   	[ 1.90821063] 	[ 125.5460136]     (1.8775880776260261,)
16 	25   	[ 13.34683413]   	[ 20.64917749]   	[ 2.30691917] 	[ 76.96121743]     (1.8775880776260261,)
17 	25   	[ 10.55848413]   	[ 17.52569052]   	[ 1.48677965] 	[ 80.53430958]     (1.4867796535456241,)
18 	25   	[ 12.11415299]   	[ 19.95535707]   	[ 1.72587788] 	[ 87.820988]       (1.4867796535456241,)
19 	25   	[ 11.56042671]   	[ 22.32367205]   	[ 0.90986563] 	[ 97.71081142]     (0.90986563009654087,)
20 	25   	[ 10.21341307]   	[ 21.17773479]   	[ 0.6759152]  	[ 90.9621053]      (0.67591520087626478,)
