In file included from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1761:0,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa4262.cpp:22:
/usr/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg              	std              	min           	max               
1  	25   	[ 44706.99101086]	[ 61833.49482183]	[ 38.52604954]	[ 166761.39611031] (38.526049538685747,)
2  	25   	[ 36853.71027684]	[ 50922.95148168]	[ 28.45681983]	[ 166761.23959733] (28.456819830646875,)
3  	25   	[ 27624.88091488]	[ 44933.04785527]	[ 26.27654063]	[ 166389.15932391] (26.276540628494132,)
4  	25   	[ 13117.76586966]	[ 24797.15012102]	[ 29.41069383]	[ 92116.98813602]  (26.276540628494132,)
5  	25   	[ 8101.74650041] 	[ 16716.42908673]	[ 23.50564703]	[ 56110.19899493]  (23.50564702502809,)
6  	25   	[ 4285.32286815] 	[ 8812.65960398] 	[ 21.45329891]	[ 27379.74139854]  (21.453298908281148,)
7  	25   	[ 1693.36675111] 	[ 3348.14516387] 	[ 22.99844426]	[ 13632.52587174]  (21.453298908281148,)
8  	25   	[ 633.73168785]  	[ 1119.84638289] 	[ 22.22716611]	[ 4925.80223754]   (21.453298908281148,)
9  	25   	[ 349.53230438]  	[ 671.85342205]  	[ 25.67804676]	[ 3126.71374411]   (21.453298908281148,)
10 	25   	[ 178.71942849]  	[ 296.72604306]  	[ 25.46636344]	[ 1397.29007179]   (21.453298908281148,)
11 	25   	[ 75.29372046]   	[ 70.2776544]    	[ 20.74283331]	[ 341.2281011]     (20.742833306545684,)
12 	25   	[ 46.54135541]   	[ 30.103287]     	[ 17.3030516] 	[ 128.74635637]    (17.303051602296225,)
13 	25   	[ 36.16666898]   	[ 24.08271814]   	[ 9.49841251] 	[ 119.44313843]    (9.4984125115636608,)
14 	25   	[ 27.33103468]   	[ 20.85814065]   	[ 8.61558267] 	[ 110.66781694]    (8.6155826716007873,)
15 	25   	[ 18.39726101]   	[ 18.10121471]   	[ 5.88817799] 	[ 99.98025267]     (5.8881779902712958,)
16 	25   	[ 13.08457909]   	[ 16.58691667]   	[ 4.18732319] 	[ 89.44623111]     (4.1873231891932114,)
17 	25   	[ 9.75885881]    	[ 12.77062091]   	[ 3.50184199] 	[ 68.77279421]     (3.5018419946386885,)
18 	25   	[ 7.70893673]    	[ 8.16230927]    	[ 2.87354814] 	[ 44.68239067]     (2.8735481395215507,)
19 	25   	[ 5.75669196]    	[ 4.11155716]    	[ 2.62000075] 	[ 23.5780272]      (2.6200007539920733,)
20 	25   	[ 4.05742465]    	[ 1.44199782]    	[ 2.782089]   	[ 10.05602292]     (2.6200007539920733,)
21 	25   	[ 5.14134069]    	[ 2.20341349]    	[ 2.84684945] 	[ 11.45747466]     (2.6200007539920733,)
22 	25   	[ 3.99025402]    	[ 1.18431736]    	[ 2.81189452] 	[ 7.86624283]      (2.6200007539920733,)
23 	25   	[ 4.26917557]    	[ 1.55220093]    	[ 2.70551606] 	[ 9.30383841]      (2.6200007539920733,)
24 	25   	[ 4.63923212]    	[ 2.40044129]    	[ 2.46123119] 	[ 12.19623098]     (2.4612311884448639,)
25 	25   	[ 3.9336566]     	[ 1.34345761]    	[ 2.31567464] 	[ 7.21005884]      (2.3156746392918861,)
26 	25   	[ 3.33956902]    	[ 0.89870777]    	[ 2.37744234] 	[ 6.50153677]      (2.3156746392918861,)
27 	25   	[ 3.43155681]    	[ 1.07494808]    	[ 2.36950592] 	[ 6.34438573]      (2.3156746392918861,)
28 	25   	[ 4.2834342]     	[ 1.97524662]    	[ 2.33261718] 	[ 10.23077517]     (2.3156746392918861,)
29 	25   	[ 4.04885526]    	[ 1.25327453]    	[ 2.53237342] 	[ 7.41179206]      (2.3156746392918861,)
30 	25   	[ 3.34091546]    	[ 0.87804824]    	[ 2.37531525] 	[ 6.12743232]      (2.3156746392918861,)
31 	25   	[ 3.39639665]    	[ 0.84803072]    	[ 2.29885005] 	[ 5.45680358]      (2.2988500491739545,)
32 	25   	[ 3.37375109]    	[ 1.09749202]    	[ 2.52821647] 	[ 7.45523712]      (2.2988500491739545,)
33 	25   	[ 3.18849517]    	[ 1.00303882]    	[ 2.24517616] 	[ 6.31533068]      (2.2451761552651415,)
34 	25   	[ 3.74405002]    	[ 2.10304694]    	[ 2.14372459] 	[ 12.44604922]     (2.1437245947530945,)
35 	25   	[ 3.41535714]    	[ 1.38549003]    	[ 2.17403683] 	[ 8.26235287]      (2.1437245947530945,)
36 	25   	[ 3.23648318]    	[ 1.21966296]    	[ 2.12795167] 	[ 6.63563624]      (2.1279516690974765,)
37 	25   	[ 3.22811082]    	[ 1.22190128]    	[ 2.03011765] 	[ 8.00264432]      (2.0301176475539631,)
38 	25   	[ 2.98546456]    	[ 0.82708715]    	[ 2.04864443] 	[ 5.07831777]      (2.0301176475539631,)
39 	25   	[ 3.5329915]     	[ 1.59760108]    	[ 2.04284958] 	[ 7.39295352]      (2.0301176475539631,)
40 	25   	[ 3.26268725]    	[ 1.11083602]    	[ 2.18439212] 	[ 5.80406223]      (2.0301176475539631,)
41 	25   	[ 3.40990747]    	[ 1.61379761]    	[ 1.91164661] 	[ 8.21017557]      (1.9116466147339461,)
42 	25   	[ 2.91538725]    	[ 0.81770152]    	[ 1.98694393] 	[ 4.8095297]       (1.9116466147339461,)
43 	25   	[ 3.28108075]    	[ 1.43443571]    	[ 1.95510029] 	[ 9.3849824]       (1.9116466147339461,)
44 	25   	[ 2.66802349]    	[ 0.66785433]    	[ 1.83112387] 	[ 5.03348882]      (1.831123865152501,)
45 	25   	[ 3.28130884]    	[ 0.96480543]    	[ 1.86141142] 	[ 5.7280559]       (1.831123865152501,)
46 	25   	[ 2.97219433]    	[ 0.99533239]    	[ 1.84945464] 	[ 6.6400104]       (1.831123865152501,)
47 	25   	[ 2.96373392]    	[ 1.05603975]    	[ 1.78339889] 	[ 5.72389967]      (1.7833988856980958,)
48 	25   	[ 2.75664911]    	[ 0.79888054]    	[ 1.9246319]  	[ 5.43180638]      (1.7833988856980958,)
49 	25   	[ 3.21379694]    	[ 1.60605511]    	[ 1.79304379] 	[ 10.09912186]     (1.7833988856980958,)
50 	25   	[ 3.18771449]    	[ 1.79691753]    	[ 1.75255443] 	[ 9.46006661]      (1.7525544254173617,)
51 	25   	[ 3.22341101]    	[ 1.4821173]     	[ 1.78147523] 	[ 8.06327017]      (1.7525544254173617,)
52 	25   	[ 3.57072579]    	[ 1.7042794]     	[ 1.97164161] 	[ 9.40096056]      (1.7525544254173617,)
53 	25   	[ 3.46338014]    	[ 2.70402723]    	[ 1.71853071] 	[ 12.68863194]     (1.7185307098108549,)
