In file included from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1761:0,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa4269.cpp:22:
/usr/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg             	std             	min            	max               
1  	25   	[ 72160.5351572]	[ 74930.6519278]	[ 120.84189189]	[ 167164.38822675] (120.84189189050286,)
2  	25   	[ 61813.980811] 	[ 73520.18220901]	[ 26.13736515] 	[ 167916.49916089] (26.137365150506959,)
3  	25   	[ 47309.2096272]	[ 64008.85965048]	[ 43.68575561] 	[ 167270.618583]   (26.137365150506959,)
4  	25   	[ 35285.78017805]	[ 55109.6192645] 	[ 23.1490465]  	[ 164912.88981849] (23.149046502309368,)
5  	25   	[ 19422.12910258]	[ 33986.05386275]	[ 5.96923132]  	[ 100000.]         (5.9692313235635535,)
6  	25   	[ 22581.87961606]	[ 40586.61447665]	[ 26.02438622] 	[ 120963.10875604] (5.9692313235635535,)
7  	25   	[ 15425.62543235]	[ 30052.76217848]	[ 19.30272646] 	[ 100000.]         (5.9692313235635535,)
8  	25   	[ 7551.92696673] 	[ 21027.57376653]	[ 10.35015177] 	[ 100000.]         (5.9692313235635535,)
9  	25   	[ 21399.73848334]	[ 39481.33634717]	[ 2.65642628]  	[ 100000.]         (2.6564262835054899,)
10 	25   	[ 20309.90536702]	[ 39851.46512416]	[ 12.32017009] 	[ 100000.]         (2.6564262835054899,)
11 	25   	[ 9858.59818854] 	[ 33734.34717151]	[ 6.56344376]  	[ 144497.78893182] (2.6564262835054899,)
12 	25   	[ 15875.15768883]	[ 36306.10130317]	[ 4.73953656]  	[ 100000.]         (2.6564262835054899,)
13 	25   	[ 4021.66930363] 	[ 19591.50742516]	[ 4.43759378]  	[ 100000.]         (2.6564262835054899,)
14 	25   	[ 15.48061757]   	[ 18.81524852]   	[ 2.14565759]  	[ 79.00295646]     (2.1456575873666455,)
15 	25   	[ 9.24987716]    	[ 7.77734185]    	[ 1.52257804]  	[ 34.93048434]     (1.5225780449306385,)
16 	25   	[ 6.12307294]    	[ 5.2091222]     	[ 1.42741943]  	[ 18.71445341]     (1.4274194348447178,)
17 	25   	[ 8004.13249887] 	[ 27128.10154853]	[ 1.47744345]  	[ 100000.]         (1.4274194348447178,)
18 	25   	[ 3.90373119]    	[ 3.20961695]    	[ 0.89058203]  	[ 17.33898043]     (0.89058202611078563,)
19 	25   	[ 4.02161735]    	[ 3.44553704]    	[ 0.82176358]  	[ 17.61557966]     (0.82176358051830101,)
20 	25   	[ 3.74520118]    	[ 2.37456355]    	[ 0.77252042]  	[ 10.51267061]     (0.77252041701534868,)
21 	25   	[ 3.78983579]    	[ 3.53376591]    	[ 0.69023956]  	[ 13.81735594]     (0.69023955998751862,)
22 	25   	[ 3.81732696]    	[ 3.33377527]    	[ 0.32263983]  	[ 11.8341138]      (0.3226398310929533,)
23 	25   	[ 4003.47596864] 	[ 19595.20877392]	[ 0.36581516]  	[ 100000.]         (0.3226398310929533,)
24 	25   	[ 5.27144082]    	[ 4.62522812]    	[ 0.39463373]  	[ 18.99882087]     (0.3226398310929533,)
25 	25   	[ 3.39642343]    	[ 2.82276319]    	[ 0.40590066]  	[ 11.14778317]     (0.3226398310929533,)
26 	25   	[ 2.90180964]    	[ 2.83876029]    	[ 0.34657755]  	[ 9.96186855]      (0.3226398310929533,)
27 	25   	[ 2.76332077]    	[ 3.32701827]    	[ 0.45392529]  	[ 12.34696514]     (0.3226398310929533,)
28 	25   	[ 2.62968519]    	[ 2.50464415]    	[ 0.45633955]  	[ 9.03198365]      (0.3226398310929533,)
29 	25   	[ 4003.04855081] 	[ 19595.2961321] 	[ 0.33875381]  	[ 100000.]         (0.3226398310929533,)
30 	25   	[ 3.55922069]    	[ 2.63474384]    	[ 0.49330018]  	[ 9.41568038]      (0.3226398310929533,)
31 	25   	[ 3.13183276]    	[ 3.61823068]    	[ 0.36154144]  	[ 14.97597347]     (0.3226398310929533,)
32 	25   	[ 3.83887705]    	[ 3.20868066]    	[ 0.48372127]  	[ 14.56562137]     (0.3226398310929533,)
33 	25   	[ 4002.68693368] 	[ 19595.36963368]	[ 0.33711398]  	[ 100000.]         (0.3226398310929533,)
34 	25   	[ 4003.98355849] 	[ 19595.10518576]	[ 0.51103042]  	[ 100000.]         (0.3226398310929533,)
35 	25   	[ 1.74220462]    	[ 1.45439951]    	[ 0.29338066]  	[ 5.59508703]      (0.29338065551339199,)
36 	25   	[ 2.68253262]    	[ 2.76291197]    	[ 0.42785096]  	[ 10.69610824]     (0.29338065551339199,)
37 	25   	[ 3.79898636]    	[ 5.05711267]    	[ 0.26559622]  	[ 25.19995844]     (0.26559621660122595,)
38 	25   	[ 4003.31053416] 	[ 19595.24273163]	[ 0.24399104]  	[ 100000.]         (0.24399104293165716,)
39 	25   	[ 2.44665541]    	[ 3.12528391]    	[ 0.3605187]   	[ 15.80553127]     (0.24399104293165716,)
40 	25   	[ 2.54619233]    	[ 2.19008203]    	[ 0.44042218]  	[ 9.20768109]      (0.24399104293165716,)
41 	25   	[ 2.58657902]    	[ 2.76854002]    	[ 0.36445404]  	[ 12.03528479]     (0.24399104293165716,)
42 	25   	[ 3.18200184]    	[ 3.05189077]    	[ 0.38894991]  	[ 11.1910018]      (0.24399104293165716,)
43 	25   	[ 12002.88423525]	[ 32495.08864274]	[ 0.53834937]  	[ 100000.]         (0.24399104293165716,)
44 	25   	[ 4003.3341689]  	[ 19595.23750847]	[ 0.40089816]  	[ 100000.]         (0.24399104293165716,)
45 	25   	[ 2.87577662]    	[ 2.70092614]    	[ 0.37588823]  	[ 11.74084137]     (0.24399104293165716,)
46 	25   	[ 3.17988024]    	[ 3.6558752]     	[ 0.32241035]  	[ 18.21980703]     (0.24399104293165716,)
47 	25   	[ 2.6572709]     	[ 2.16221882]    	[ 0.35796966]  	[ 9.75314013]      (0.24399104293165716,)
48 	25   	[ 2.31375368]    	[ 2.41484853]    	[ 0.36105855]  	[ 9.08752821]      (0.24399104293165716,)
49 	25   	[ 2.87188391]    	[ 2.90076738]    	[ 0.45668386]  	[ 12.29581398]     (0.24399104293165716,)
50 	25   	[ 2.93383569]    	[ 2.73034952]    	[ 0.34771162]  	[ 12.04671299]     (0.24399104293165716,)
51 	25   	[ 2.87300639]    	[ 2.15339275]    	[ 0.45808256]  	[ 8.8630428]       (0.24399104293165716,)
52 	25   	[ 2.87398261]    	[ 2.62353302]    	[ 0.29836587]  	[ 9.98698081]      (0.24399104293165716,)
53 	25   	[ 3.84073973]    	[ 2.98280206]    	[ 0.54950572]  	[ 12.37004112]     (0.24399104293165716,)
54 	25   	[ 3.00780312]    	[ 5.16954768]    	[ 0.28633872]  	[ 26.1893996]      (0.24399104293165716,)
55 	25   	[ 4.01321687]    	[ 3.75272576]    	[ 0.2703605]   	[ 13.82806487]     (0.24399104293165716,)
56 	25   	[ 8001.74911449] 	[ 27128.80423937]	[ 0.32919499]  	[ 100000.]         (0.24399104293165716,)
