In file included from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1761:0,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa4272.cpp:22:
/usr/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg             	std            	min           	max               
1  	25   	[ 36907.8421909]	[ 56468.959591]	[ 58.73415768]	[ 167148.14984862] (58.734157680093382,)
2  	25   	[ 24174.74531723]	[ 43527.01331274]	[ 70.73428227]	[ 157884.6851305]  (58.734157680093382,)
3  	25   	[ 16972.44406645]	[ 34152.945064]  	[ 64.94425919]	[ 146292.47206003] (58.734157680093382,)
4  	25   	[ 13683.2973601] 	[ 29185.17447111]	[ 45.13429672]	[ 119964.59789958] (45.134296717521231,)
5  	25   	[ 10273.32335341]	[ 26436.5195908] 	[ 33.44322884]	[ 100000.]         (33.443228837249535,)
6  	25   	[ 7919.81691079] 	[ 21989.81595125]	[ 38.85751719]	[ 100000.]         (33.443228837249535,)
7  	25   	[ 1827.94863268] 	[ 5375.43453885] 	[ 28.57353007]	[ 27599.77176399]  (28.573530069519663,)
8  	25   	[ 592.48187591]  	[ 1524.15332545] 	[ 28.33115252]	[ 7897.03554297]   (28.331152520147931,)
9  	25   	[ 187.12365625]  	[ 201.83209725]  	[ 24.94435863]	[ 911.73004489]    (24.944358630187811,)
10 	25   	[ 134.95077758]  	[ 134.09449636]  	[ 16.4204001] 	[ 625.56079359]    (16.420400099907596,)
11 	25   	[ 95.30112433]   	[ 89.73252264]   	[ 8.12898593] 	[ 348.03812154]    (8.1289859306388301,)
12 	25   	[ 82.57493593]   	[ 71.10044336]   	[ 4.65834238] 	[ 243.80737647]    (4.6583423840205223,)
13 	25   	[ 84.45551142]   	[ 112.94166974]  	[ 8.55756347] 	[ 465.19973452]    (4.6583423840205223,)
14 	25   	[ 77.90135501]   	[ 146.85617354]  	[ 5.79276441] 	[ 725.92497583]    (4.6583423840205223,)
15 	25   	[ 55.15840098]   	[ 87.09591028]   	[ 4.62487938] 	[ 357.00624456]    (4.6248793819268101,)
16 	25   	[ 43.08636035]   	[ 96.16511349]   	[ 2.71489112] 	[ 479.60010357]    (2.7148911155323119,)
17 	25   	[ 45.40343492]   	[ 132.10478573]  	[ 2.80833637] 	[ 650.84400891]    (2.7148911155323119,)
18 	25   	[ 40.20366867]   	[ 115.98058243]  	[ 2.15979674] 	[ 555.16375529]    (2.1597967411389187,)
19 	25   	[ 23.52130998]   	[ 56.25322452]   	[ 1.96038596] 	[ 227.27816049]    (1.9603859594162767,)
