In file included from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1761:0,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa4273.cpp:22:
/usr/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg              	std              	min           	max             
1  	25   	[ 56666.40638882]	[ 71089.24011446]	[ 49.12798691]	[ 167024.023715] (49.127986913238225,)
2  	25   	[ 48004.77756026]	[ 67465.77119962]	[ 47.39165159]	[ 166961.75924054] (47.391651588690664,)
3  	25   	[ 41600.03584508]	[ 64790.56927131]	[ 38.77642217]	[ 166964.05312233] (38.776422169826148,)
4  	25   	[ 20249.99169865]	[ 42982.68933533]	[ 25.29836066]	[ 166952.50061637] (25.298360664042562,)
5  	25   	[ 15509.30494502]	[ 38301.37009411]	[ 22.64954975]	[ 166847.66132345] (22.649549749234986,)
6  	25   	[ 1912.04398861] 	[ 5126.45200754] 	[ 28.82674927]	[ 22906.90192324]  (22.649549749234986,)
7  	25   	[ 665.64824413]  	[ 1462.21983876] 	[ 25.17250849]	[ 5543.45927534]   (22.649549749234986,)
8  	25   	[ 295.43987631]  	[ 650.02960537]  	[ 25.06659291]	[ 3180.20567152]   (22.649549749234986,)
9  	25   	[ 160.15350931]  	[ 304.93178548]  	[ 16.67724801]	[ 1489.84137447]   (16.677248014092921,)
10 	25   	[ 89.48443564]   	[ 108.34705131]  	[ 21.1573152] 	[ 547.35250218]    (16.677248014092921,)
11 	25   	[ 58.14145765]   	[ 34.0347517]    	[ 15.48597878]	[ 143.64410487]    (15.485978779051841,)
12 	25   	[ 48.09142516]   	[ 29.97339122]   	[ 20.10737905]	[ 149.27687147]    (15.485978779051841,)
13 	25   	[ 38.35375253]   	[ 25.45103385]   	[ 15.69060366]	[ 146.43158542]    (15.485978779051841,)
