In file included from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1761:0,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa4274.cpp:22:
/usr/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg              	std              	min            	max              
1  	25   	[ 57618.05972161]	[ 67866.82397772]	[ 148.25700133]	[ 167388.0530043] (148.25700133210793,)
2  	25   	[ 41811.18176654]	[ 56651.52714866]	[ 78.87745448] 	[ 163613.02036007] (78.877454477429524,)
3  	25   	[ 22065.47335566]	[ 40771.26655047]	[ 46.8539427]  	[ 144505.28753337] (46.853942698656255,)
4  	25   	[ 18966.92738907]	[ 32006.10098992]	[ 49.80530702] 	[ 100000.]         (46.853942698656255,)
5  	25   	[ 7245.92987135] 	[ 13604.26878345]	[ 47.88007421] 	[ 52472.384132]    (46.853942698656255,)
6  	25   	[ 3128.78846165] 	[ 5711.38010833] 	[ 56.94374154] 	[ 20615.05750449]  (46.853942698656255,)
7  	25   	[ 5205.63629401] 	[ 19506.22991927]	[ 31.76113273] 	[ 100000.]         (31.761132731275403,)
8  	25   	[ 4622.16728836] 	[ 19493.62300664]	[ 21.08005598] 	[ 100000.]         (21.080055982714111,)
9  	25   	[ 258.71629271]  	[ 406.00465285]  	[ 19.39576071] 	[ 1568.77294961]   (19.395760707097025,)
10 	25   	[ 136.92426549]  	[ 272.89846129]  	[ 19.47626456] 	[ 1374.04971359]   (19.395760707097025,)
11 	25   	[ 60.48595826]   	[ 96.07224692]   	[ 12.70305688] 	[ 508.85409824]    (12.703056880921542,)
12 	25   	[ 24.37668082]   	[ 16.11608613]   	[ 4.67401778]  	[ 70.93020756]     (4.6740177810602503,)
13 	25   	[ 15.47739869]   	[ 8.47490105]    	[ 4.85298774]  	[ 37.50700693]     (4.6740177810602503,)
14 	25   	[ 10.85531235]   	[ 7.95955932]    	[ 4.37974173]  	[ 42.04981385]     (4.3797417332108708,)
15 	25   	[ 8.23338748]    	[ 3.33014639]    	[ 4.21355197]  	[ 17.74278823]     (4.2135519695672201,)
16 	25   	[ 8.16584223]    	[ 3.29354871]    	[ 4.34596989]  	[ 17.89648213]     (4.2135519695672201,)
17 	25   	[ 6.11790442]    	[ 1.52788501]    	[ 4.24475425]  	[ 9.78987356]      (4.2135519695672201,)
18 	25   	[ 6.36629786]    	[ 2.32859953]    	[ 4.15604789]  	[ 14.37337178]     (4.1560478910610534,)
19 	25   	[ 5.76202978]    	[ 2.06530583]    	[ 3.80482552]  	[ 13.0363741]      (3.8048255201577543,)
20 	25   	[ 5.09681226]    	[ 1.07399095]    	[ 3.91531386]  	[ 7.9328851]       (3.8048255201577543,)
21 	25   	[ 5.26736181]    	[ 1.51323211]    	[ 3.67365426]  	[ 9.89722434]      (3.6736542609568135,)
22 	25   	[ 5.75075416]    	[ 1.7636907]     	[ 3.74566866]  	[ 10.55735043]     (3.6736542609568135,)
23 	25   	[ 5.32028831]    	[ 1.63169735]    	[ 3.86163066]  	[ 10.56641694]     (3.6736542609568135,)
24 	25   	[ 5.28130951]    	[ 1.31748902]    	[ 3.64069031]  	[ 8.35462773]      (3.6406903056618707,)
25 	25   	[ 5.51605105]    	[ 1.73359903]    	[ 3.82735097]  	[ 9.88501901]      (3.6406903056618707,)
26 	25   	[ 4.69762265]    	[ 1.00688047]    	[ 3.68925332]  	[ 8.02834278]      (3.6406903056618707,)
27 	25   	[ 6.02266484]    	[ 3.0670329]     	[ 3.65536629]  	[ 16.6936557]      (3.6406903056618707,)
28 	25   	[ 5.25603773]    	[ 2.38520933]    	[ 3.71344101]  	[ 16.29411278]     (3.6406903056618707,)
29 	25   	[ 5.46392504]    	[ 1.91217534]    	[ 3.5643773]   	[ 10.34634381]     (3.5643773037568822,)
30 	25   	[ 6.37916223]    	[ 3.64240598]    	[ 3.7001094]   	[ 22.23336246]     (3.5643773037568822,)
31 	25   	[ 5.01373342]    	[ 1.52546339]    	[ 3.6481659]   	[ 10.12711053]     (3.5643773037568822,)
32 	25   	[ 5.28421802]    	[ 1.62236055]    	[ 3.49927598]  	[ 9.94132076]      (3.4992759819669867,)
33 	25   	[ 5.33160995]    	[ 1.69356731]    	[ 3.51558227]  	[ 10.19501377]     (3.4992759819669867,)
34 	25   	[ 5.07816834]    	[ 1.70032021]    	[ 3.69973329]  	[ 10.68863146]     (3.4992759819669867,)
35 	25   	[ 5.43922273]    	[ 1.71539907]    	[ 3.33633115]  	[ 10.86881126]     (3.3363311499191477,)
36 	25   	[ 5.15872456]    	[ 2.14705681]    	[ 3.59269943]  	[ 14.52283391]     (3.3363311499191477,)
37 	25   	[ 5.16886106]    	[ 1.87261996]    	[ 3.49729037]  	[ 12.91149302]     (3.3363311499191477,)
38 	25   	[ 5.71002307]    	[ 2.35858329]    	[ 3.45786967]  	[ 11.84067479]     (3.3363311499191477,)
39 	25   	[ 5.91404363]    	[ 2.25154221]    	[ 3.544268]    	[ 11.86419756]     (3.3363311499191477,)
40 	25   	[ 5.59427903]    	[ 1.42445348]    	[ 3.42996378]  	[ 8.31058944]      (3.3363311499191477,)
41 	25   	[ 5.20268392]    	[ 1.63612429]    	[ 3.56287264]  	[ 9.00092057]      (3.3363311499191477,)
42 	25   	[ 5.05254669]    	[ 1.26898059]    	[ 3.59150312]  	[ 9.17153641]      (3.3363311499191477,)
43 	25   	[ 6.39375136]    	[ 2.28901915]    	[ 3.42704911]  	[ 12.96337359]     (3.3363311499191477,)
44 	25   	[ 4.97033934]    	[ 0.83997459]    	[ 3.52554506]  	[ 7.0335498]       (3.3363311499191477,)
45 	25   	[ 5.92384525]    	[ 1.79268805]    	[ 3.56823609]  	[ 9.85013575]      (3.3363311499191477,)
46 	25   	[ 4.95097283]    	[ 1.72881566]    	[ 3.54799131]  	[ 11.33014376]     (3.3363311499191477,)
47 	25   	[ 5.60848774]    	[ 2.34584468]    	[ 3.41270018]  	[ 12.62086181]     (3.3363311499191477,)
48 	25   	[ 5.17326683]    	[ 1.87196762]    	[ 3.41758548]  	[ 10.60562033]     (3.3363311499191477,)
49 	25   	[ 5.56241809]    	[ 2.22816091]    	[ 3.68845655]  	[ 13.92486093]     (3.3363311499191477,)
50 	25   	[ 4.55835449]    	[ 0.96585823]    	[ 3.21915678]  	[ 6.88608435]      (3.2191567821390481,)
51 	25   	[ 4.66820325]    	[ 1.4087758]     	[ 3.35098068]  	[ 9.06232507]      (3.2191567821390481,)
52 	25   	[ 5.1350311]     	[ 2.08830828]    	[ 3.14808379]  	[ 11.13566496]     (3.1480837879469501,)
53 	25   	[ 4.57425355]    	[ 1.72236198]    	[ 3.19604813]  	[ 10.44112805]     (3.1480837879469501,)
54 	25   	[ 4.66352437]    	[ 1.25505065]    	[ 3.19316717]  	[ 9.03851341]      (3.1480837879469501,)
55 	25   	[ 4.35019367]    	[ 1.64476002]    	[ 3.10186347]  	[ 11.34181074]     (3.1018634730925978,)
56 	25   	[ 5.03670248]    	[ 1.65783568]    	[ 3.18958559]  	[ 8.78228638]      (3.1018634730925978,)
57 	25   	[ 4.58957356]    	[ 1.22825068]    	[ 3.32340996]  	[ 8.12185635]      (3.1018634730925978,)
58 	25   	[ 4.42800764]    	[ 0.9029033]     	[ 3.35474544]  	[ 6.67239319]      (3.1018634730925978,)
59 	25   	[ 4.69955497]    	[ 2.05266423]    	[ 3.07945512]  	[ 14.0304004]      (3.0794551209291994,)
60 	25   	[ 4.50510582]    	[ 1.37675285]    	[ 3.11153218]  	[ 7.59265835]      (3.0794551209291994,)
61 	25   	[ 4.54296716]    	[ 2.42333925]    	[ 3.20812726]  	[ 15.48057032]     (3.0794551209291994,)
62 	25   	[ 4.93488271]    	[ 1.37558605]    	[ 3.46444652]  	[ 7.94327109]      (3.0794551209291994,)
63 	25   	[ 4.87974963]    	[ 1.62472115]    	[ 3.1316066]   	[ 9.28594569]      (3.0794551209291994,)
64 	25   	[ 4.86452701]    	[ 2.52623774]    	[ 3.13373384]  	[ 15.51001581]     (3.0794551209291994,)
65 	25   	[ 5.15138114]    	[ 1.71441993]    	[ 3.20833236]  	[ 9.33229265]      (3.0794551209291994,)
66 	25   	[ 4.88374844]    	[ 1.28712085]    	[ 3.23885572]  	[ 7.97582213]      (3.0794551209291994,)
67 	25   	[ 4.90805832]    	[ 1.58666795]    	[ 3.21998644]  	[ 10.00229716]     (3.0794551209291994,)
68 	25   	[ 4.98306248]    	[ 1.86868348]    	[ 3.16767769]  	[ 9.83801708]      (3.0794551209291994,)
69 	25   	[ 5.10140368]    	[ 2.1862071]     	[ 3.25890484]  	[ 11.80556918]     (3.0794551209291994,)
70 	25   	[ 4.34667207]    	[ 0.98609996]    	[ 3.20692952]  	[ 7.0754267]       (3.0794551209291994,)
71 	25   	[ 4.73459433]    	[ 1.28066111]    	[ 3.20021835]  	[ 8.0687218]       (3.0794551209291994,)
72 	25   	[ 4.45595431]    	[ 1.10609437]    	[ 3.2714512]   	[ 7.1235341]       (3.0794551209291994,)
73 	25   	[ 5.12757519]    	[ 1.8846066]     	[ 3.10442461]  	[ 10.46697585]     (3.0794551209291994,)
74 	25   	[ 4.57249331]    	[ 1.32246692]    	[ 3.26833493]  	[ 8.25315854]      (3.0794551209291994,)
75 	25   	[ 4.78398705]    	[ 1.20716522]    	[ 3.33763466]  	[ 7.42606523]      (3.0794551209291994,)
76 	25   	[ 4.29988352]    	[ 1.02468422]    	[ 3.07992914]  	[ 6.73680574]      (3.0794551209291994,)
77 	25   	[ 5.12981348]    	[ 1.9917847]     	[ 3.29484221]  	[ 11.53822247]     (3.0794551209291994,)
78 	25   	[ 4.37885285]    	[ 1.53157193]    	[ 2.97253966]  	[ 9.23027697]      (2.972539663972618,)
79 	25   	[ 4.51855471]    	[ 1.35559216]    	[ 3.17538421]  	[ 10.08363166]     (2.972539663972618,)
80 	25   	[ 4.48631974]    	[ 1.21445068]    	[ 3.00022336]  	[ 7.09451293]      (2.972539663972618,)
81 	25   	[ 5.40067783]    	[ 1.84325839]    	[ 3.105485]    	[ 10.61741424]     (2.972539663972618,)
82 	25   	[ 5.01429774]    	[ 1.53643578]    	[ 3.04828241]  	[ 8.54564842]      (2.972539663972618,)
83 	25   	[ 4.82247374]    	[ 1.60683259]    	[ 3.13194481]  	[ 10.66058379]     (2.972539663972618,)
84 	25   	[ 4.63416596]    	[ 1.71634212]    	[ 2.95534419]  	[ 9.74892675]      (2.955344187980665,)
85 	25   	[ 5.08578276]    	[ 2.79811048]    	[ 3.11898316]  	[ 17.39808161]     (2.955344187980665,)
86 	25   	[ 4.80095761]    	[ 2.02909887]    	[ 3.24232212]  	[ 11.75588393]     (2.955344187980665,)
87 	25   	[ 4.91769135]    	[ 1.32670225]    	[ 3.01903748]  	[ 8.0405276]       (2.955344187980665,)
88 	25   	[ 4.48601444]    	[ 1.35254148]    	[ 2.99257346]  	[ 7.52320182]      (2.955344187980665,)
89 	25   	[ 4.91365182]    	[ 1.2128492]     	[ 2.93812263]  	[ 7.8538897]       (2.9381226260285982,)
90 	25   	[ 4.93553763]    	[ 2.1174949]     	[ 2.8747625]   	[ 10.7566503]      (2.8747624965513774,)
91 	25   	[ 4.87351229]    	[ 1.93434446]    	[ 2.91092411]  	[ 10.04937441]     (2.8747624965513774,)
92 	25   	[ 4.39011761]    	[ 1.28981872]    	[ 3.02914702]  	[ 8.4110827]       (2.8747624965513774,)
93 	25   	[ 4.76046559]    	[ 1.90254122]    	[ 2.68803268]  	[ 11.34868929]     (2.6880326774137835,)
94 	25   	[ 4.5895901]     	[ 1.70912227]    	[ 2.78568979]  	[ 10.07833136]     (2.6880326774137835,)
95 	25   	[ 4.75859023]    	[ 2.09629155]    	[ 2.42452805]  	[ 11.31738441]     (2.4245280471791335,)
96 	25   	[ 3.98966417]    	[ 1.43729344]    	[ 2.15621928]  	[ 7.2461203]       (2.1562192847197492,)
97 	25   	[ 4.37130502]    	[ 2.29375553]    	[ 2.31583606]  	[ 13.37604795]     (2.1562192847197492,)
98 	25   	[ 4.17739679]    	[ 1.44931424]    	[ 1.9442794]   	[ 7.19680766]      (1.944279399160364,)
99 	25   	[ 4.67741735]    	[ 2.45306385]    	[ 2.21657238]  	[ 11.35332649]     (1.944279399160364,)
100	25   	[ 4.11489622]    	[ 1.72734296]    	[ 2.15864002]  	[ 8.85275238]      (1.944279399160364,)
