In file included from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1761:0,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa4122.cpp:22:
/usr/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg            	std             	min           	max               
1  	25   	[ 48497.356902]	[ 60738.8672272]	[ 46.45621822]	[ 166899.77992145] (46.456218222560679,)
2  	25   	[ 30047.40862697]	[ 54999.68606877]	[ 29.83570118]	[ 166889.32826998] (29.835701181496276,)
3  	25   	[ 24314.92405671]	[ 51777.41380052]	[ 21.53762948]	[ 167003.6335676]  (21.537629482287041,)
4  	25   	[ 19646.42365477]	[ 47212.53315147]	[ 44.7874202] 	[ 164609.39318477] (21.537629482287041,)
5  	25   	[ 16415.23018685]	[ 38223.41209482]	[ 26.62154335]	[ 146986.56168508] (21.537629482287041,)
6  	25   	[ 5038.17471514] 	[ 21591.98379918]	[ 7.49392131] 	[ 110622.77437454] (7.4939213102052893,)
7  	25   	[ 2645.71701299] 	[ 12001.85017673]	[ 5.90335066] 	[ 61429.64729493]  (5.9033506644999569,)
8  	25   	[ 936.04197225]  	[ 4017.87408911] 	[ 6.08722559] 	[ 20609.91458312]  (5.9033506644999569,)
9  	25   	[ 4211.15283526] 	[ 19566.39832585]	[ 3.33155876] 	[ 100000.]         (3.3315587589412052,)
10 	25   	[ 61.838901]     	[ 71.99556358]   	[ 2.32705967] 	[ 299.49230682]    (2.3270596732871924,)
11 	25   	[ 4036.05407881] 	[ 19588.60432877]	[ 2.40481669] 	[ 100000.]         (2.3270596732871924,)
12 	25   	[ 36.29416611]   	[ 48.65119152]   	[ 2.46473231] 	[ 171.5302464]     (2.3270596732871924,)
13 	25   	[ 27.76987331]   	[ 36.71089695]   	[ 2.13490005] 	[ 144.42254352]    (2.1349000511522411,)
14 	25   	[ 22.62830281]   	[ 36.09489497]   	[ 1.81497317] 	[ 136.03699106]    (1.8149731702040448,)
15 	25   	[ 24.59772019]   	[ 46.68032373]   	[ 1.56765917] 	[ 157.85387248]    (1.5676591669806421,)
16 	25   	[ 23.92260319]   	[ 55.9575017]    	[ 1.75756817] 	[ 254.52550822]    (1.5676591669806421,)
17 	25   	[ 18.30099453]   	[ 37.13651627]   	[ 1.29017941] 	[ 146.02632056]    (1.290179413433272,)
18 	25   	[ 13.86630324]   	[ 29.41801651]   	[ 1.06022792] 	[ 134.74544176]    (1.0602279186809982,)
19 	25   	[ 15.86959407]   	[ 43.65408671]   	[ 0.98709946] 	[ 210.93682109]    (0.98709946028082174,)
20 	25   	[ 21.71758386]   	[ 64.37173737]   	[ 0.84846352] 	[ 316.93817897]    (0.84846352333747665,)
21 	25   	[ 20.49284466]   	[ 53.64692342]   	[ 0.8574717]  	[ 229.68431322]    (0.84846352333747665,)
22 	25   	[ 13.95621472]   	[ 40.2774923]    	[ 0.87025514] 	[ 207.30246848]    (0.84846352333747665,)
23 	25   	[ 10.2670992]    	[ 29.48265311]   	[ 0.85146008] 	[ 152.90323997]    (0.84846352333747665,)
24 	25   	[ 11.67815483]   	[ 33.31643198]   	[ 0.94840936] 	[ 172.79697749]    (0.84846352333747665,)
25 	25   	[ 10.90672815]   	[ 37.24127]      	[ 1.003007]   	[ 191.90345664]    (0.84846352333747665,)
26 	25   	[ 11.43766016]   	[ 41.090112]     	[ 0.92035671] 	[ 212.24312168]    (0.84846352333747665,)
27 	25   	[ 7.12725008]    	[ 20.94747328]   	[ 0.84077687] 	[ 109.42186923]    (0.84077687179396321,)
28 	25   	[ 6.7547739]     	[ 20.45493864]   	[ 0.8518112]  	[ 106.33515336]    (0.84077687179396321,)
29 	25   	[ 9.08822153]    	[ 31.86465953]   	[ 0.8634961]  	[ 164.9520487]     (0.84077687179396321,)
30 	25   	[ 7.50779537]    	[ 20.98311493]   	[ 0.80401048] 	[ 109.71450178]    (0.80401047820163907,)
31 	25   	[ 7.1183506]     	[ 18.84242513]   	[ 0.71649836] 	[ 98.5189519]      (0.71649835878068768,)
