In file included from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1761:0,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa4128.cpp:22:
/usr/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg            	std              	min          	max               
1  	25   	[ 31763.556455]	[ 54367.19229932]	[ 3.96472663]	[ 167060.32286979] (3.9647266303891362,)
2  	25   	[ 33293.69952832]	[ 50910.40396964]	[ 6.11826883]	[ 167010.65177535] (3.9647266303891362,)
3  	25   	[ 32848.27795376]	[ 48835.31630585]	[ 3.90146394]	[ 166172.56998785] (3.9014639425970454,)
4  	25   	[ 26070.44708722]	[ 42807.86065911]	[ 7.08674447]	[ 149728.67150237] (3.9014639425970454,)
5  	25   	[ 23814.95153297]	[ 35239.27675884]	[ 5.75918546]	[ 100000.]         (3.9014639425970454,)
6  	25   	[ 14799.97092401]	[ 26717.08408169]	[ 5.6441435] 	[ 100000.]         (3.9014639425970454,)
7  	25   	[ 24528.86364514]	[ 36735.79131226]	[ 4.75189749]	[ 100000.]         (3.9014639425970454,)
8  	25   	[ 9168.66019196] 	[ 21181.47085678]	[ 4.73235949]	[ 100000.]         (3.9014639425970454,)
9  	25   	[ 6489.58445313] 	[ 19833.70795521]	[ 4.45858808]	[ 100000.]         (3.9014639425970454,)
10 	25   	[ 8951.81232124] 	[ 26989.33230299]	[ 4.91716417]	[ 100000.]         (3.9014639425970454,)
11 	25   	[ 5431.5299928]  	[ 20153.78194558]	[ 4.27790747]	[ 100000.]         (3.9014639425970454,)
12 	25   	[ 286.15513494]  	[ 963.50952958]  	[ 3.66707721]	[ 4943.09032646]   (3.6670772138056131,)
13 	25   	[ 142.3871973]   	[ 528.16703169]  	[ 2.96170285]	[ 2720.32396899]   (2.9617028495017337,)
14 	25   	[ 55.73301767]   	[ 188.34628365]  	[ 3.57408677]	[ 975.70563439]    (2.9617028495017337,)
15 	25   	[ 22.97488473]   	[ 52.69279617]   	[ 2.85294074]	[ 277.2633902]     (2.8529407385189494,)
16 	25   	[ 13.96485792]   	[ 21.80410742]   	[ 3.40265156]	[ 113.17318098]    (2.8529407385189494,)
17 	25   	[ 10.73449794]   	[ 15.56528978]   	[ 3.03321906]	[ 69.88854626]     (2.8529407385189494,)
18 	25   	[ 4007.9142936]  	[ 19594.30368793]	[ 2.79133572]	[ 100000.]         (2.7913357214190864,)
19 	25   	[ 7.50806272]    	[ 6.34785821]    	[ 2.72153195]	[ 32.40179109]     (2.7215319547252079,)
20 	25   	[ 7.73864258]    	[ 6.31933521]    	[ 2.68803805]	[ 34.47523142]     (2.6880380541924342,)
21 	25   	[ 7.36798591]    	[ 6.10026486]    	[ 3.12776129]	[ 29.50839121]     (2.6880380541924342,)
22 	25   	[ 6.61531817]    	[ 5.32783022]    	[ 2.76082349]	[ 26.34500931]     (2.6880380541924342,)
23 	25   	[ 6.38928278]    	[ 5.45094604]    	[ 3.16355695]	[ 30.36828087]     (2.6880380541924342,)
24 	25   	[ 6.94186027]    	[ 7.5957734]     	[ 2.49204014]	[ 38.50582775]     (2.4920401430793842,)
25 	25   	[ 7.22220785]    	[ 8.41669379]    	[ 2.68999252]	[ 42.52607132]     (2.4920401430793842,)
26 	25   	[ 7.11249753]    	[ 9.03562554]    	[ 2.6556154] 	[ 41.06125173]     (2.4920401430793842,)
27 	25   	[ 4005.07998199] 	[ 19594.88124947]	[ 2.61485415]	[ 100000.]         (2.4920401430793842,)
28 	25   	[ 6.53561847]    	[ 5.5820069]     	[ 2.49843542]	[ 28.71393718]     (2.4920401430793842,)
29 	25   	[ 6.44600795]    	[ 5.35973434]    	[ 2.73217375]	[ 24.80560802]     (2.4920401430793842,)
30 	25   	[ 5.58395128]    	[ 3.97342719]    	[ 2.8430481] 	[ 23.28261249]     (2.4920401430793842,)
31 	25   	[ 4.97479014]    	[ 3.13379206]    	[ 2.50137412]	[ 16.52903891]     (2.4920401430793842,)
32 	25   	[ 4.86165414]    	[ 2.60377736]    	[ 2.31950153]	[ 12.55705527]     (2.3195015330327946,)
33 	25   	[ 6.09872501]    	[ 3.94441559]    	[ 2.41108045]	[ 15.29865479]     (2.3195015330327946,)
34 	25   	[ 5.14550497]    	[ 3.75462644]    	[ 2.31861059]	[ 16.70624992]     (2.3186105928913769,)
35 	25   	[ 5.54778275]    	[ 3.93391916]    	[ 2.13013269]	[ 16.30394541]     (2.1301326887245038,)
36 	25   	[ 4.27404794]    	[ 1.65100447]    	[ 1.8874309] 	[ 8.39825903]      (1.8874308980590755,)
