In file included from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1761:0,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa4133.cpp:22:
/usr/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg             	std             	min           	max               
1  	25   	[ 68305.4845924]	[ 71749.5821607]	[ 44.74083118]	[ 166994.69045478] (44.740831179188746,)
2  	25   	[ 55973.29056034]	[ 66390.63417539]	[ 63.40552487]	[ 166997.36874514] (44.740831179188746,)
3  	25   	[ 41446.60707529]	[ 59067.46379452]	[ 36.97704074]	[ 166488.31523074] (36.977040739003463,)
4  	25   	[ 26375.24899748]	[ 48450.17678721]	[ 13.63058991]	[ 159274.95313236] (13.630589907609663,)
5  	25   	[ 24976.92236274]	[ 44933.71186883]	[ 17.42896768]	[ 147835.94113123] (13.630589907609663,)
6  	25   	[ 19768.56382811]	[ 38392.38538405]	[ 15.30686075]	[ 125233.53473839] (13.630589907609663,)
7  	25   	[ 10255.51805469]	[ 25207.03945543]	[ 26.79061755]	[ 90550.24967949]  (13.630589907609663,)
8  	25   	[ 5284.27929298] 	[ 14261.07582243]	[ 13.33838754]	[ 58171.24795853]  (13.338387541102911,)
9  	25   	[ 1973.33378184] 	[ 5520.29400882] 	[ 8.51473165] 	[ 24708.76832706]  (8.5147316546547955,)
10 	25   	[ 563.01459877]  	[ 1461.71197415] 	[ 7.00781631] 	[ 6970.25186438]   (7.0078163118544641,)
11 	25   	[ 137.40045977]  	[ 301.38104812]  	[ 9.86845952] 	[ 1489.42688342]   (7.0078163118544641,)
12 	25   	[ 53.22244589]   	[ 70.20573556]   	[ 8.37134644] 	[ 274.04711517]    (7.0078163118544641,)
13 	25   	[ 24.9325591]    	[ 23.80172903]   	[ 8.22422686] 	[ 119.7593039]     (7.0078163118544641,)
14 	25   	[ 20.92901655]   	[ 32.35951993]   	[ 5.09903193] 	[ 171.93409367]    (5.0990319328010045,)
15 	25   	[ 15.65011149]   	[ 32.61436572]   	[ 3.94495266] 	[ 174.35471719]    (3.9449526619227804,)
16 	25   	[ 13.55773426]   	[ 33.62479257]   	[ 2.98035101] 	[ 177.80439477]    (2.9803510128974917,)
17 	25   	[ 11.63185943]   	[ 28.82069899]   	[ 1.92751337] 	[ 152.39005609]    (1.927513372805385,)
18 	25   	[ 8.246145]      	[ 19.70459854]   	[ 1.76163363] 	[ 104.37100249]    (1.7616336341107199,)
19 	25   	[ 7.51673133]    	[ 22.3459308]    	[ 1.21722048] 	[ 116.72838508]    (1.2172204763818248,)
20 	25   	[ 5.52522474]    	[ 16.74640901]   	[ 1.07676527] 	[ 87.39794251]     (1.0767652710079141,)
21 	25   	[ 5.57229929]    	[ 13.36178065]   	[ 1.0920098]  	[ 70.40869319]     (1.0767652710079141,)
22 	25   	[ 3.66288164]    	[ 7.5328687]     	[ 1.02090897] 	[ 40.00579199]     (1.0209089727680281,)
23 	25   	[ 2.51163116]    	[ 3.6590892]     	[ 1.12975205] 	[ 19.94045819]     (1.0209089727680281,)
24 	25   	[ 2.46085419]    	[ 1.8224487]     	[ 1.00538286] 	[ 9.72138102]      (1.0053828570314045,)
25 	25   	[ 2.02747541]    	[ 0.97452804]    	[ 0.91397524] 	[ 5.44111157]      (0.91397524068851432,)
26 	25   	[ 2.01284934]    	[ 1.17162876]    	[ 0.96781763] 	[ 5.3827227]       (0.91397524068851432,)
27 	25   	[ 1.92140627]    	[ 0.87134676]    	[ 0.89520848] 	[ 4.32228118]      (0.89520847526988867,)
28 	25   	[ 2.14794296]    	[ 2.00555417]    	[ 0.83880826] 	[ 10.00756106]     (0.83880825566270378,)
29 	25   	[ 1.98538432]    	[ 1.11196275]    	[ 0.84580153] 	[ 5.55772192]      (0.83880825566270378,)
30 	25   	[ 2.25131144]    	[ 1.44182661]    	[ 0.83259007] 	[ 7.33286415]      (0.83259006926139278,)
31 	25   	[ 1.92017299]    	[ 1.27902748]    	[ 0.88307568] 	[ 6.69601074]      (0.83259006926139278,)
32 	25   	[ 2.30587716]    	[ 1.54164176]    	[ 0.94385271] 	[ 7.66455527]      (0.83259006926139278,)
33 	25   	[ 1.66234769]    	[ 1.46194843]    	[ 0.86099736] 	[ 7.22605643]      (0.83259006926139278,)
34 	25   	[ 1.83605172]    	[ 1.01775987]    	[ 0.91198902] 	[ 4.50219441]      (0.83259006926139278,)
35 	25   	[ 1.66182147]    	[ 1.0193194]     	[ 0.8354118]  	[ 5.30336553]      (0.83259006926139278,)
36 	25   	[ 2.01737484]    	[ 1.62874928]    	[ 0.83167392] 	[ 7.9990979]       (0.83167391763455456,)
37 	25   	[ 1.87431271]    	[ 0.99975294]    	[ 0.87357512] 	[ 5.11014138]      (0.83167391763455456,)
38 	25   	[ 1.47051574]    	[ 0.9492375]     	[ 0.74041663] 	[ 5.13112574]      (0.74041663341547903,)
39 	25   	[ 2.16293042]    	[ 1.6878524]     	[ 0.67003408] 	[ 7.31120927]      (0.67003408065902315,)
40 	25   	[ 2.01072675]    	[ 1.89050858]    	[ 0.806238]   	[ 10.46692318]     (0.67003408065902315,)
41 	25   	[ 1.7033574]     	[ 1.311842]      	[ 0.76648014] 	[ 5.81510429]      (0.67003408065902315,)
42 	25   	[ 1.7376368]     	[ 1.26408702]    	[ 0.74739423] 	[ 7.11387763]      (0.67003408065902315,)
43 	25   	[ 1.68092661]    	[ 1.05966954]    	[ 0.67405414] 	[ 5.82127287]      (0.67003408065902315,)
44 	25   	[ 2.25603369]    	[ 1.55293233]    	[ 0.76250138] 	[ 5.6708976]       (0.67003408065902315,)
45 	25   	[ 2.181714]      	[ 1.79156461]    	[ 0.57923312] 	[ 8.61061166]      (0.57923311656871634,)
46 	25   	[ 1.74835496]    	[ 0.84499448]    	[ 0.75323925] 	[ 4.47185475]      (0.57923311656871634,)
47 	25   	[ 1.93518186]    	[ 1.4297421]     	[ 0.64773299] 	[ 7.10308909]      (0.57923311656871634,)
48 	25   	[ 2.21207235]    	[ 1.95949352]    	[ 0.65422641] 	[ 10.08275367]     (0.57923311656871634,)
49 	25   	[ 2.04071677]    	[ 1.46786279]    	[ 0.5998035]  	[ 6.00130836]      (0.57923311656871634,)
50 	25   	[ 2.45887509]    	[ 3.61420619]    	[ 0.62764799] 	[ 19.25961078]     (0.57923311656871634,)
