In file included from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1761:0,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa4160.cpp:22:
/usr/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg              	std              	min          	max              
1  	25   	[ 45019.82175565]	[ 62484.36551163]	[ 15.9910348]	[ 166826.3808951] (15.991034798846345,)
2  	25   	[ 50057.57187542]	[ 68505.93868059]	[ 18.42142876]	[ 166830.59657247] (15.991034798846345,)
3  	25   	[ 42356.17712559]	[ 62973.31582309]	[ 11.89202708]	[ 166925.10822124] (11.89202707871028,)
4  	25   	[ 32887.32929907]	[ 57248.0968707] 	[ 10.13867384]	[ 166683.73489801] (10.138673839491886,)
5  	25   	[ 17874.49724017]	[ 40708.40262361]	[ 14.93720839]	[ 166523.21499114] (10.138673839491886,)
6  	25   	[ 16009.18653171]	[ 41553.4889833] 	[ 15.07138586]	[ 166740.22494384] (10.138673839491886,)
7  	25   	[ 11304.2264889] 	[ 35577.71681683]	[ 11.99820102]	[ 165710.84207843] (10.138673839491886,)
8  	25   	[ 1504.63563981] 	[ 5661.24848184] 	[ 9.61152625] 	[ 28834.05847074]  (9.6115262515754445,)
9  	25   	[ 1287.87661973] 	[ 5674.98595982] 	[ 7.08318141] 	[ 29056.08012076]  (7.0831814122939036,)
10 	25   	[ 101.52923867]  	[ 215.2951775]   	[ 3.33839998] 	[ 942.01257535]    (3.3383999769693893,)
11 	25   	[ 90.47030897]   	[ 328.93345293]  	[ 2.84605716] 	[ 1697.34378297]   (2.8460571576515639,)
12 	25   	[ 5733.29644315] 	[ 28011.07356107]	[ 2.49801502] 	[ 142958.95117004] (2.4980150229494242,)
13 	25   	[ 14.21166098]   	[ 24.47016204]   	[ 1.98747576] 	[ 129.49301379]    (1.9874757610620266,)
14 	25   	[ 10.66012874]   	[ 11.22965998]   	[ 2.12880724] 	[ 54.74806583]     (1.9874757610620266,)
15 	25   	[ 7.00653863]    	[ 6.88127716]    	[ 1.73939237] 	[ 28.8978171]      (1.7393923725669218,)
16 	25   	[ 9.98957895]    	[ 12.31580133]   	[ 1.4915059]  	[ 53.87812785]     (1.491505903294351,)
17 	25   	[ 10.89482346]   	[ 10.50578494]   	[ 1.73190428] 	[ 44.21425628]     (1.491505903294351,)
18 	25   	[ 7.85524071]    	[ 8.45673238]    	[ 1.37779228] 	[ 35.72921886]     (1.3777922768097191,)
19 	25   	[ 7.47945506]    	[ 5.29727312]    	[ 1.6927519]  	[ 20.09438513]     (1.3777922768097191,)
20 	25   	[ 6.07797706]    	[ 7.63165918]    	[ 1.4557812]  	[ 40.96791972]     (1.3777922768097191,)
21 	25   	[ 10.31272875]   	[ 9.87810426]    	[ 1.44804513] 	[ 40.59117154]     (1.3777922768097191,)
22 	25   	[ 7.74706732]    	[ 7.91908931]    	[ 1.25969986] 	[ 34.21499017]     (1.2596998593528903,)
23 	25   	[ 9.19381471]    	[ 9.71715618]    	[ 1.44146268] 	[ 39.77950653]     (1.2596998593528903,)
24 	25   	[ 8.67097]       	[ 7.36845754]    	[ 1.39999107] 	[ 34.43680809]     (1.2596998593528903,)
25 	25   	[ 6.30632967]    	[ 8.46778348]    	[ 1.37158414] 	[ 39.94053589]     (1.2596998593528903,)
26 	25   	[ 5.68127936]    	[ 3.80352171]    	[ 1.07629508] 	[ 14.77301846]     (1.0762950803977518,)
27 	25   	[ 7.39169923]    	[ 6.72158107]    	[ 1.27228021] 	[ 29.47011128]     (1.0762950803977518,)
28 	25   	[ 5.37203946]    	[ 4.51916791]    	[ 1.10063056] 	[ 20.79120575]     (1.0762950803977518,)
29 	25   	[ 6.96796266]    	[ 8.81200921]    	[ 1.3890533]  	[ 43.62459866]     (1.0762950803977518,)
30 	25   	[ 6.03358033]    	[ 9.75964293]    	[ 1.09204853] 	[ 51.46658429]     (1.0762950803977518,)
