In file included from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1761:0,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa4170.cpp:22:
/usr/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg              	std            	min           	max               
1  	25   	[ 60362.01388367]	[ 70874.703369]	[ 16.09738016]	[ 167285.20970766] (16.097380159875385,)
2  	25   	[ 45590.49468697]	[ 67515.6677939]	[ 9.77650448] 	[ 167606.81781192] (9.7765044772709899,)
3  	25   	[ 40796.7761342] 	[ 63906.07771735]	[ 4.83779312] 	[ 166448.05262772] (4.8377931163887666,)
4  	25   	[ 14987.81690696]	[ 32593.37127709]	[ 3.51701382] 	[ 117049.00974824] (3.5170138187484086,)
5  	25   	[ 5093.71147866] 	[ 14320.02251467]	[ 3.04876645] 	[ 66701.70183422]  (3.0487664504741416,)
6  	25   	[ 8727.77020045] 	[ 27010.165087]  	[ 2.71064094] 	[ 100000.]         (2.7106409355820151,)
7  	25   	[ 4615.51023652] 	[ 19520.64657971]	[ 3.91246804] 	[ 100000.]         (2.7106409355820151,)
8  	25   	[ 171.6874888]   	[ 264.93827874]  	[ 4.59960522] 	[ 1013.82050697]   (2.7106409355820151,)
9  	25   	[ 68.39388212]   	[ 64.33112072]   	[ 2.78446434] 	[ 235.2510826]     (2.7106409355820151,)
10 	25   	[ 42.58938698]   	[ 38.40784518]   	[ 3.72040874] 	[ 186.85324295]    (2.7106409355820151,)
11 	25   	[ 39.21811634]   	[ 46.26515894]   	[ 3.55438284] 	[ 205.29378767]    (2.7106409355820151,)
12 	25   	[ 26.87967029]   	[ 26.77050458]   	[ 3.15092833] 	[ 107.21008663]    (2.7106409355820151,)
13 	25   	[ 16.83508137]   	[ 11.64060548]   	[ 3.48643691] 	[ 41.19393861]     (2.7106409355820151,)
14 	25   	[ 15.91736224]   	[ 13.31880688]   	[ 3.08770835] 	[ 55.37000884]     (2.7106409355820151,)
15 	25   	[ 4010.47472049] 	[ 19593.78087244]	[ 2.81256405] 	[ 100000.]         (2.7106409355820151,)
16 	25   	[ 9.06914458]    	[ 5.68638451]    	[ 1.94381615] 	[ 20.92161013]     (1.9438161506248079,)
17 	25   	[ 7.44984438]    	[ 4.92095291]    	[ 1.98899936] 	[ 20.84554539]     (1.9438161506248079,)
18 	25   	[ 7.47165691]    	[ 5.02795202]    	[ 1.72727956] 	[ 21.36173226]     (1.7272795576735744,)
19 	25   	[ 4008.04455449] 	[ 19594.27759423]	[ 1.49000406] 	[ 100000.]         (1.4900040601682847,)
20 	25   	[ 7.0199999]     	[ 8.23231398]    	[ 1.60134681] 	[ 42.17197578]     (1.4900040601682847,)
