In file included from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1761:0,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa4173.cpp:22:
/usr/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg             	std              	min           	max              
1  	25   	[ 52827.4647854]	[ 67290.24952825]	[ 39.61651349]	[ 166961.1488237] (39.616513487683449,)
2  	25   	[ 50075.85348414]	[ 64610.40382933]	[ 27.89366466]	[ 166935.38991953] (27.89366465768062,)
3  	25   	[ 34898.38270992]	[ 55191.32592532]	[ 15.70920074]	[ 166931.88796303] (15.70920074474323,)
4  	25   	[ 23578.28803168]	[ 53066.52623576]	[ 12.32541198]	[ 166917.06674373] (12.325411983469236,)
5  	25   	[ 24867.56373534]	[ 53109.72878232]	[ 10.60524755]	[ 166811.67970031] (10.605247547486455,)
6  	25   	[ 22889.1457978] 	[ 44461.44834659]	[ 17.41799204]	[ 152534.84362484] (10.605247547486455,)
7  	25   	[ 4772.15315036] 	[ 19528.61030138]	[ 16.05674353]	[ 100000.]         (10.605247547486455,)
8  	25   	[ 4194.49238585] 	[ 19558.28673218]	[ 14.28351426]	[ 100000.]         (10.605247547486455,)
9  	25   	[ 85.51698015]   	[ 69.08026784]   	[ 8.90252419] 	[ 333.27490383]    (8.9025241916391664,)
10 	25   	[ 48.198116]     	[ 26.470531]     	[ 9.27029962] 	[ 137.60080287]    (8.9025241916391664,)
11 	25   	[ 4027.87853885] 	[ 19590.23646705]	[ 6.95662734] 	[ 100000.]         (6.9566273404245562,)
12 	25   	[ 22.76752179]   	[ 24.27532628]   	[ 7.52875217] 	[ 131.11587199]    (6.9566273404245562,)
13 	25   	[ 14.63811512]   	[ 7.91402725]    	[ 4.96258742] 	[ 38.67101141]     (4.9625874163170085,)
14 	25   	[ 9.40191689]    	[ 4.62230409]    	[ 3.54785627] 	[ 19.26468848]     (3.5478562708569124,)
15 	25   	[ 8.92758107]    	[ 3.89041912]    	[ 3.40777697] 	[ 16.10154281]     (3.4077769713644552,)
16 	25   	[ 7.41675716]    	[ 4.04603475]    	[ 2.35802679] 	[ 17.00285781]     (2.3580267930260068,)
17 	25   	[ 5.65631451]    	[ 2.44740533]    	[ 2.33216564] 	[ 12.56282517]     (2.332165644033128,)
18 	25   	[ 6.11891354]    	[ 3.21227752]    	[ 2.73369404] 	[ 13.16541094]     (2.332165644033128,)
19 	25   	[ 5.68585452]    	[ 3.34829559]    	[ 2.17930468] 	[ 17.10020941]     (2.1793046760196804,)
20 	25   	[ 5.20664064]    	[ 2.66245152]    	[ 2.27206585] 	[ 13.36881255]     (2.1793046760196804,)
21 	25   	[ 8004.44256438] 	[ 27128.00993949]	[ 2.31730336] 	[ 100000.]         (2.1793046760196804,)
22 	25   	[ 4.65409808]    	[ 1.86948227]    	[ 2.35501548] 	[ 9.17025761]      (2.1793046760196804,)
23 	25   	[ 5.20913851]    	[ 3.15411823]    	[ 2.35251422] 	[ 16.3510426]      (2.1793046760196804,)
24 	25   	[ 5.11940817]    	[ 2.65217021]    	[ 2.17116801] 	[ 13.0909948]      (2.171168010449291,)
25 	25   	[ 5.47229329]    	[ 3.47175374]    	[ 2.00889931] 	[ 14.52140065]     (2.0088993119402789,)
26 	25   	[ 5.38414546]    	[ 2.99585056]    	[ 2.14638577] 	[ 13.86225745]     (2.0088993119402789,)
27 	25   	[ 4.13156479]    	[ 1.27221374]    	[ 2.07791422] 	[ 6.62974915]      (2.0088993119402789,)
28 	25   	[ 4.74478994]    	[ 2.15458303]    	[ 2.28337294] 	[ 11.59930734]     (2.0088993119402789,)
29 	25   	[ 4.68122514]    	[ 1.92675736]    	[ 2.11953894] 	[ 9.34988367]      (2.0088993119402789,)
30 	25   	[ 5.275765]      	[ 2.81313945]    	[ 2.45908645] 	[ 14.6941359]      (2.0088993119402789,)
31 	25   	[ 4.0606216]     	[ 1.91491341]    	[ 1.68702506] 	[ 10.02484054]     (1.687025061867959,)
32 	25   	[ 4.16054732]    	[ 1.94126287]    	[ 1.8039513]  	[ 8.53111806]      (1.687025061867959,)
33 	25   	[ 3.39776492]    	[ 1.7620701]     	[ 1.76087994] 	[ 9.15657032]      (1.687025061867959,)
34 	25   	[ 5.2102782]     	[ 3.80219115]    	[ 1.62988614] 	[ 17.65917798]     (1.6298861412688304,)
35 	25   	[ 4.12406024]    	[ 2.19609247]    	[ 1.70903221] 	[ 10.21455622]     (1.6298861412688304,)
36 	25   	[ 3.38515328]    	[ 1.43943085]    	[ 1.56100206] 	[ 7.82785142]      (1.561002060655672,)
37 	25   	[ 4.17660393]    	[ 2.90769843]    	[ 1.55040401] 	[ 13.63989717]     (1.5504040083751205,)
38 	25   	[ 4.66690157]    	[ 3.71418068]    	[ 1.83506216] 	[ 20.12404856]     (1.5504040083751205,)
39 	25   	[ 3.62397574]    	[ 1.99999302]    	[ 1.68346646] 	[ 10.33385679]     (1.5504040083751205,)
40 	25   	[ 3.8723614]     	[ 1.62424083]    	[ 1.89948328] 	[ 7.91476977]      (1.5504040083751205,)
41 	25   	[ 3.63622303]    	[ 2.22781443]    	[ 1.64042444] 	[ 11.63086929]     (1.5504040083751205,)
42 	25   	[ 3.87563005]    	[ 1.76448042]    	[ 1.71591288] 	[ 9.57971927]      (1.5504040083751205,)
43 	25   	[ 4.19501298]    	[ 3.15006028]    	[ 1.96403805] 	[ 17.37541761]     (1.5504040083751205,)
44 	25   	[ 3.92175776]    	[ 2.06195926]    	[ 1.5181341]  	[ 11.23195051]     (1.5181341016382508,)
45 	25   	[ 3.51157277]    	[ 1.60728155]    	[ 1.68829071] 	[ 7.12938011]      (1.5181341016382508,)
46 	25   	[ 4.00351143]    	[ 1.59416576]    	[ 1.71277825] 	[ 9.05271312]      (1.5181341016382508,)
47 	25   	[ 3.62572405]    	[ 2.26231093]    	[ 1.59348701] 	[ 12.43439176]     (1.5181341016382508,)
48 	25   	[ 4.13470394]    	[ 2.14391002]    	[ 1.7275142]  	[ 9.71288628]      (1.5181341016382508,)
49 	25   	[ 3.13434471]    	[ 1.60326777]    	[ 1.53960959] 	[ 7.36492487]      (1.5181341016382508,)
50 	25   	[ 3.99284352]    	[ 2.53402144]    	[ 1.36820863] 	[ 14.05438013]     (1.3682086314438724,)
51 	25   	[ 4.30112073]    	[ 3.27592398]    	[ 1.68915695] 	[ 18.32065416]     (1.3682086314438724,)
52 	25   	[ 3.77359064]    	[ 2.33272883]    	[ 1.41123982] 	[ 13.30823752]     (1.3682086314438724,)
53 	25   	[ 3.87026889]    	[ 2.11294708]    	[ 1.82498332] 	[ 9.06363562]      (1.3682086314438724,)
54 	25   	[ 3.26518452]    	[ 1.72022045]    	[ 1.46543541] 	[ 7.62754095]      (1.3682086314438724,)
55 	25   	[ 3.93833318]    	[ 2.80317619]    	[ 1.85774597] 	[ 16.76409854]     (1.3682086314438724,)
56 	25   	[ 3.32098179]    	[ 2.17040543]    	[ 1.67178427] 	[ 10.0780427]      (1.3682086314438724,)
57 	25   	[ 5.14137719]    	[ 2.92563649]    	[ 2.02479683] 	[ 15.66212774]     (1.3682086314438724,)
58 	25   	[ 3.66038932]    	[ 2.97336422]    	[ 1.52608438] 	[ 15.51642881]     (1.3682086314438724,)
59 	25   	[ 4.09516842]    	[ 2.34590697]    	[ 1.62326991] 	[ 8.96202482]      (1.3682086314438724,)
60 	25   	[ 3.47516084]    	[ 2.04562518]    	[ 1.46159177] 	[ 8.55473097]      (1.3682086314438724,)
61 	25   	[ 3.7076567]     	[ 1.93779925]    	[ 1.42551431] 	[ 8.43402938]      (1.3682086314438724,)
62 	25   	[ 4.19005537]    	[ 3.47165634]    	[ 1.36632162] 	[ 14.0563216]      (1.3663216190306657,)
63 	25   	[ 3.47201881]    	[ 2.37938209]    	[ 1.25269939] 	[ 12.43620687]     (1.2526993936654058,)
64 	25   	[ 3.37679602]    	[ 2.43088547]    	[ 1.44212603] 	[ 12.70999923]     (1.2526993936654058,)
65 	25   	[ 3.49468879]    	[ 1.69085181]    	[ 1.45048342] 	[ 7.11206807]      (1.2526993936654058,)
66 	25   	[ 3.91552279]    	[ 2.26096296]    	[ 1.2632236]  	[ 8.82384738]      (1.2526993936654058,)
67 	25   	[ 2.70611554]    	[ 0.98772307]    	[ 1.27732518] 	[ 5.0352281]       (1.2526993936654058,)
68 	25   	[ 3.21069037]    	[ 1.65228538]    	[ 1.29456494] 	[ 8.84789053]      (1.2526993936654058,)
69 	25   	[ 4.03461778]    	[ 2.41976448]    	[ 1.33833872] 	[ 11.12775365]     (1.2526993936654058,)
70 	25   	[ 4.03434798]    	[ 2.80543723]    	[ 1.61260551] 	[ 11.77309672]     (1.2526993936654058,)
71 	25   	[ 3.78907198]    	[ 1.8433346]     	[ 1.61864182] 	[ 9.66543229]      (1.2526993936654058,)
72 	25   	[ 3.45592057]    	[ 1.55057057]    	[ 1.61253058] 	[ 7.61591768]      (1.2526993936654058,)
73 	25   	[ 3.48613883]    	[ 1.86451431]    	[ 1.33872084] 	[ 8.46832979]      (1.2526993936654058,)
74 	25   	[ 3.5496879]     	[ 1.87397797]    	[ 1.4566294]  	[ 8.84277528]      (1.2526993936654058,)
75 	25   	[ 3.83339665]    	[ 2.85380814]    	[ 1.32893719] 	[ 15.9779682]      (1.2526993936654058,)
76 	25   	[ 4.23361263]    	[ 3.54643867]    	[ 1.62961747] 	[ 16.19373455]     (1.2526993936654058,)
77 	25   	[ 3.73849667]    	[ 1.76092068]    	[ 1.16735503] 	[ 8.56344877]      (1.1673550348976971,)
78 	25   	[ 4.60217746]    	[ 3.12872545]    	[ 1.62942759] 	[ 16.58673849]     (1.1673550348976971,)
79 	25   	[ 2.9807203]     	[ 1.45429012]    	[ 1.4428731]  	[ 6.5983656]       (1.1673550348976971,)
80 	25   	[ 4.27416102]    	[ 2.44219]       	[ 1.37938388] 	[ 10.08278825]     (1.1673550348976971,)
81 	25   	[ 4.12594023]    	[ 3.03324894]    	[ 1.24313165] 	[ 13.48965538]     (1.1673550348976971,)
82 	25   	[ 3.21346196]    	[ 2.31348582]    	[ 1.22472595] 	[ 10.55906579]     (1.1673550348976971,)
83 	25   	[ 3.67090933]    	[ 2.69918989]    	[ 1.2341627]  	[ 14.48191209]     (1.1673550348976971,)
84 	25   	[ 3.46313985]    	[ 2.4319263]     	[ 1.37447353] 	[ 12.19905662]     (1.1673550348976971,)
85 	25   	[ 4.61929177]    	[ 4.25688713]    	[ 1.28841265] 	[ 20.78398367]     (1.1673550348976971,)
86 	25   	[ 3.1457355]     	[ 1.91885312]    	[ 1.24619673] 	[ 8.24537689]      (1.1673550348976971,)
87 	25   	[ 3.09008331]    	[ 1.86580515]    	[ 1.224305]   	[ 9.52859305]      (1.1673550348976971,)
88 	25   	[ 3.62404584]    	[ 1.88330558]    	[ 1.37952593] 	[ 7.22132678]      (1.1673550348976971,)
89 	25   	[ 3.52323715]    	[ 1.98066804]    	[ 1.44135]    	[ 10.54536808]     (1.1673550348976971,)
90 	25   	[ 4.15172077]    	[ 2.6730504]     	[ 1.34962394] 	[ 11.31385283]     (1.1673550348976971,)
91 	25   	[ 3.25995154]    	[ 3.40370125]    	[ 1.297775]   	[ 18.57559421]     (1.1673550348976971,)
92 	25   	[ 3.59001815]    	[ 2.40054542]    	[ 1.13408127] 	[ 12.20079986]     (1.1340812659859361,)
93 	25   	[ 4.60386699]    	[ 4.5240589]     	[ 1.13665234] 	[ 21.93102336]     (1.1340812659859361,)
94 	25   	[ 3.58782268]    	[ 2.63809336]    	[ 1.17085995] 	[ 11.81472074]     (1.1340812659859361,)
95 	25   	[ 4.33984538]    	[ 5.05574958]    	[ 1.20480852] 	[ 24.80467738]     (1.1340812659859361,)
96 	25   	[ 4.19658443]    	[ 3.32944762]    	[ 1.1495212]  	[ 16.48522768]     (1.1340812659859361,)
97 	25   	[ 3.96674851]    	[ 3.15403974]    	[ 1.08993346] 	[ 17.40323353]     (1.0899334551228015,)
98 	25   	[ 3.20425179]    	[ 1.84987858]    	[ 1.22119431] 	[ 8.6683728]       (1.0899334551228015,)
