In file included from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1761:0,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa4175.cpp:22:
/usr/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg              	std             	min            	max               
1  	25   	[ 75113.33304532]	[ 66914.1823917]	[ 140.38563873]	[ 168033.76081287] (140.38563873367659,)
2  	25   	[ 65418.6108919] 	[ 65713.48802879]	[ 152.58664937]	[ 166845.9288481]  (140.38563873367659,)
3  	25   	[ 46360.36854549]	[ 56993.13156221]	[ 45.22683923] 	[ 166824.06150078] (45.226839225848479,)
4  	25   	[ 39994.07873966]	[ 53924.48381202]	[ 30.65181567] 	[ 166854.79333188] (30.651815666866828,)
5  	25   	[ 31252.18284863]	[ 47506.48538115]	[ 37.71481799] 	[ 166910.9142863]  (30.651815666866828,)
6  	25   	[ 20393.73767931]	[ 39490.43147152]	[ 30.70062911] 	[ 166805.43240148] (30.651815666866828,)
7  	25   	[ 16797.90911886]	[ 32792.24301039]	[ 21.21769854] 	[ 125351.81587902] (21.217698538867474,)
8  	25   	[ 3586.03938943] 	[ 7706.02556363] 	[ 17.90328832] 	[ 28736.34901842]  (17.903288319750217,)
9  	25   	[ 1018.44070111] 	[ 2284.27100643] 	[ 16.09654598] 	[ 10521.49961048]  (16.096545977128457,)
10 	25   	[ 397.37367965]  	[ 997.35453746]  	[ 19.58229127] 	[ 4951.46317858]   (16.096545977128457,)
11 	25   	[ 180.67937704]  	[ 455.45034473]  	[ 20.07450695] 	[ 2274.32545189]   (16.096545977128457,)
12 	25   	[ 170.7320785]   	[ 599.84069679]  	[ 18.31139532] 	[ 3076.89770921]   (16.096545977128457,)
13 	25   	[ 151.51843817]  	[ 578.83924526]  	[ 14.93376399] 	[ 2978.92634561]   (14.933763986364802,)
14 	25   	[ 45.0916757]    	[ 105.5370176]   	[ 11.96443594] 	[ 558.78704255]    (11.964435941957774,)
15 	25   	[ 26.0163022]    	[ 26.35231314]   	[ 11.15879674] 	[ 150.25351576]    (11.158796737359445,)
16 	25   	[ 23.19132683]   	[ 32.72040754]   	[ 9.51485631]  	[ 182.11361814]    (9.5148563078067365,)
17 	25   	[ 19.53797127]   	[ 23.9042049]    	[ 8.54865657]  	[ 134.5474248]     (8.548656570974952,)
18 	25   	[ 16.45568943]   	[ 15.99105861]   	[ 6.08509127]  	[ 92.97576784]     (6.0850912741605505,)
19 	25   	[ 13.89243568]   	[ 13.71283031]   	[ 4.56835746]  	[ 78.99519163]     (4.5683574645713607,)
20 	25   	[ 12.63478173]   	[ 13.17260172]   	[ 3.51297137]  	[ 66.71291936]     (3.5129713748255709,)
21 	25   	[ 6.22248542]    	[ 3.23621707]    	[ 1.72970776]  	[ 16.63517042]     (1.7297077604249105,)
22 	25   	[ 4.25622236]    	[ 2.67042847]    	[ 1.52176102]  	[ 11.00341899]     (1.5217610179644334,)
23 	25   	[ 2.8286277]     	[ 1.94543862]    	[ 0.66379737]  	[ 7.52683977]      (0.66379737446057607,)
24 	25   	[ 4.28803965]    	[ 5.26753907]    	[ 0.64996175]  	[ 27.81895431]     (0.64996174665131634,)
25 	25   	[ 1.7882148]     	[ 1.18295108]    	[ 0.55959675]  	[ 5.88362804]      (0.55959674536779214,)
