In file included from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1761:0,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa4188.cpp:22:
/usr/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg              	std              	min           	max              
1  	25   	[ 68823.27988706]	[ 73908.74988653]	[ 86.98979884]	[ 167029.2398407] (86.98979883646939,)
2  	25   	[ 66723.25255284]	[ 72625.59369647]	[ 26.15118112]	[ 167246.23781473] (26.151181123352242,)
3  	25   	[ 55855.21435824]	[ 67048.1450894] 	[ 21.41264173]	[ 167092.10322419] (21.412641734272015,)
4  	25   	[ 50743.7976134] 	[ 64289.79588633]	[ 14.79158171]	[ 167081.72752214] (14.791581709738438,)
5  	25   	[ 40929.36736361]	[ 56787.40727549]	[ 38.78491612]	[ 167065.31003963] (14.791581709738438,)
6  	25   	[ 28235.20184155]	[ 50169.14574849]	[ 17.68089627]	[ 167022.61515923] (14.791581709738438,)
7  	25   	[ 22271.01633724]	[ 44704.72454664]	[ 7.39163859] 	[ 166767.52984799] (7.39163858658282,)
8  	25   	[ 10928.37721521]	[ 23908.39978915]	[ 15.49536324]	[ 86102.32612378]  (7.39163858658282,)
9  	25   	[ 6724.91884529] 	[ 14732.14644]   	[ 7.28592512] 	[ 59005.32098055]  (7.2859251196649062,)
10 	25   	[ 10643.39943882]	[ 33774.23367787]	[ 5.11181705] 	[ 166353.08819386] (5.1118170477495521,)
11 	25   	[ 9427.51726889] 	[ 32733.49020964]	[ 9.84073844] 	[ 160199.88351128] (5.1118170477495521,)
12 	25   	[ 2927.93843936] 	[ 13041.84319914]	[ 3.7819874]  	[ 66786.70149485]  (3.7819873989961961,)
13 	25   	[ 3377.31640699] 	[ 15553.2529901] 	[ 5.67810298] 	[ 79552.75565854]  (3.7819873989961961,)
14 	25   	[ 2142.2002119]  	[ 9964.90840696] 	[ 1.73245527] 	[ 50950.2103614]   (1.7324552711384158,)
15 	25   	[ 952.51287387]  	[ 4482.86485195] 	[ 2.41240729] 	[ 22912.37814364]  (1.7324552711384158,)
