In file included from /usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1804:0,
                 from /usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa5147.cpp:22:
/usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg       	std  	min       	max       
1  	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
2  	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
3  	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
4  	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
5  	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
6  	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
7  	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
8  	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
9  	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
10 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
11 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
12 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
13 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
14 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
15 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
16 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
17 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
18 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
19 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
20 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
21 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
22 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
23 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
24 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
25 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
26 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
27 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
28 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
29 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
30 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
31 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
32 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
33 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
34 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
35 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
36 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
37 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
38 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
39 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
40 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
41 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
42 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
43 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
44 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
45 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
46 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
47 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
48 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
49 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
50 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
51 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
52 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
53 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
54 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
55 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
56 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
57 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
58 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
59 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
60 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
61 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
62 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
63 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
64 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
65 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
66 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
67 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
68 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
69 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
70 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
71 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
72 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
73 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
74 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
75 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
76 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
77 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
78 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
79 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
80 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
81 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
82 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
83 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
84 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
85 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
86 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
87 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
88 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
89 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
90 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
91 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
92 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
93 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
94 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
95 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
96 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
97 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
98 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
99 	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
100	50   	[ 100000.]	[ 0.]	[ 100000.]	[ 100000.] (100000.0,)
