1_prot,1_ct,1_tr,,,
caspase8,3798.816066,11838.08526,,,
parp1,282.6449617,3328.847561,,,
traf2,11776.25279,21571.42283,,,
bid,176103.4274,136356.7339,,,
caspase3,9139.571334,26291.92439,,,
mcl1,11209.06024,9109.281506,,,
caspase7,9726.287203,9346.21173,,,
bax,73010.44432,70388.90566,,,
tradd,4696.088209,9228.297647,,,
fadd,3109.217962,4328.360253,,,
bad,8477.392371,7431.664718,,,
bclxl,7213.829007,17032.0458,,,
mlkl,5544.471576,25556.95075,,,
rip3,10653.69369,10674.9966,,,
nfkb2,528.5578234,702.1680607,,,
tnip1,4827.41771,3260.226753,,,
ikbe,,4450.357761,,,
nemo,3493.27671,2753.854732,,,
rela,6112.89867,5868.950186,,,
