23_prot,23_ct,23_tr
caspase8,11505.73412,5907.897248
bid,134150.3696,193589.7858
caspase3,10495.19606,30566.73319
mcl1,8404.215169,8123.34953
bax,52328.25258,119922.9879
tradd,13906.37774,9845.840558
fadd,4451.025373,2808.788474
bad,8336.047538,10537.2022
bclxl,12269.26843,9943.411861
mlkl,4450.261319,8173.415663
smac,3872.476456,6720.330247
rip3,6192.591327,6773.904635
nfkb2,329.8094333,2290.113652
caspase7,9508.209205,19469.93118
ikbb,1827.296747,2013.609572
tnip1,3852.123005,5928.13524
ikbe,593.2368261,2818.639039
nemo,6157.477278,11913.11032
rela,5632.639022,11197.71031
