#Time,mBid,aSmac ,cPARP
180,0,0,2000
360,0,0,1800
540,0,0,1500
720,0,0,5100
900,0,0,3800
1080,0,0,4200
1260,0,0,5700
1440,0,0,2200
1620,0,0,2700
1800,0,0,7100
1980,0,0,2700
2160,0,0,6000
2340,0,0,6000
2520,0,0,6400
2700,0,0,6800
2880,0,0,4600
3060,0,0,7500
3240,0,0,9100
3420,0,0,11500
3600,0,0,14400
3780,0,0,10600
3960,0,0,7700
4140,0,0,11000
4320,140,0,8600
4500,680,0,12800
4680,744,0,17700
4860,828,0,19400
5040,1240,0,18800
5220,1408,0,16800
5400,1936,0,19900
5580,2200,0,24100
5760,2720,0,23000
5940,2920,0,25200
6120,2968,0,28900
6300,4268,0,30900
6480,4144,0,36200
6660,4756,0,38600
6840,5800,0,39100
7020,6528,0,44600
7200,6304,0,51900
7380,7116,0,54100
7560,7588,0,58300
7740,8936,0,54300
7920,9108,0,60100
8100,9744,0,63400
8280,11332,0,67600
8460,11680,0,67400
8640,12236,0,71800
8820,13128,0,70900
9000,13600,0,73800
9180,15156,0,87500
9360,15704,0,96100
9540,16280,0,107300
9720,17044,0,120000
9818,17200,19444,140000
9872,17600,39444,160000
9890,18000,49444,180000
9908,18200,59444,200000
9926,18300,69444,210000
9944,18600,79444,215000
9971,18500,94444,217800
10080,18900,100000,389400
10260,21064,100000,551200
10440,24952,100000,661700
10620,27700,100000,770500
10800,30452,100000,839000
10980,32364,100000,914500
11160,34936,100000,983200
11340,37056,100000,1000000
11520,38724,100000,1000000
11700,40000,100000,1000000
11880,40000,100000,1000000
12060,40000,100000,1000000
12240,40000,100000,1000000
12420,40000,100000,1000000
12600,40000,100000,1000000
12780,40000,100000,1000000
12960,40000,100000,1000000
13140,40000,100000,1000000
13320,40000,100000,1000000
13500,40000,100000,1000000
13680,40000,100000,1000000
13860,40000,100000,1000000
14040,40000,100000,1000000
14220,40000,100000,1000000
14400,40000,100000,1000000
14580,40000,100000,1000000
14760,40000,100000,1000000
14940,40000,100000,1000000
15120,40000,100000,1000000
15300,40000,100000,1000000
15480,40000,100000,1000000
15660,40000,100000,1000000
15840,40000,100000,1000000
16020,40000,100000,1000000
16200,40000,100000,1000000
16380,40000,100000,1000000
16560,40000,100000,1000000
16740,40000,100000,1000000
16920,40000,100000,1000000
17100,40000,100000,1000000
17280,40000,100000,1000000
17460,40000,100000,1000000
17640,40000,100000,1000000
17820,40000,100000,1000000
18000,40000,100000,1000000
18180,40000,100000,1000000
18360,40000,100000,1000000
18540,40000,100000,1000000
18720,40000,100000,1000000
18900,40000,100000,1000000
19080,40000,100000,1000000
19260,40000,100000,1000000
19440,40000,100000,1000000
19620,40000,100000,1000000
19800,40000,100000,1000000
19980,40000,100000,1000000
20160,40000,100000,1000000
